FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	Protection_H1hesc_protection_mean	Protection_H1hesc_protection_median	Protection_H1hesc_protection_std	Protection_GM12878_protection_mean	Protection_GM12878_protection_median	Protection_GM12878_protection_std	Protection_protection_ks_stat	Protection_protection_ks_pvalue	Protection_H1hesc_tc_mean	Protection_H1hesc_tc_median	Protection_H1hesc_tc_std	Protection_GM12878_tc_mean	Protection_GM12878_tc_median	Protection_GM12878_tc_std	Protection_tc_ks_stat	Protection_tc_ks_pvalue	Protection_H1hesc_fos_mean	Protection_H1hesc_fos_median	Protection_H1hesc_fos_std	Protection_GM12878_fos_mean	Protection_GM12878_fos_median	Protection_GM12878_fos_std	Protection_fos_ks_stat	Protection_fos_ks_pvalue	Protection_H1hesc_flr_mean	Protection_H1hesc_flr_median	Protection_H1hesc_flr_std	Protection_GM12878_flr_mean	Protection_GM12878_flr_median	Protection_GM12878_flr_std	Protection_flr_ks_stat	Protection_flr_ks_pvalue
RFX2	0.2164441333	5.4421975556	5.6586416889	0.03097828588	0.0272395912546	0.0157313874231	0.0256545744197	0.0226649283942	0.014056188748	-0.0181934603752	300.0	0.594830161419	0.599957862362	0.0359479650262	0.45360925983	0.461967479853	0.0299710972957	-0.00832586922525	300.0	0.486851496494	0.473099464231	0.0616145676614	0.477321030934	0.471912944058	0.0373343700313	-0.0308569101696	18.5636751836	0.305955381564	0.30574137568	0.0475858210026	0.305498092869	0.304341952125	0.0335591325896	-0.0401113132385	9.40934353504
PAX2	0.2255426222	5.2315701111	5.4571127333	0.0110603382664	0.00856485165977	0.0133583380326	0.0092017334477	0.00639843777881	0.00885155933543	-0.0503828612675	168.37145768	0.482094867164	0.486041953462	0.0413674006476	0.372776006956	0.381333895545	0.0358159506573	-0.0821803293916	300.0	0.259566833283	0.249854384024	0.0597025440057	0.2877790166	0.261394533168	0.0950802853171	0.00389323366247	10.0520317275	0.298182328225	0.297129017214	0.0415324509763	0.297528210067	0.296925935988	0.0313914871142	-0.072985410751	0.622814899583
FOSL1	0.2495109	5.9053088889	6.1548197889	0.068662511707	0.0567889710931	0.0403507952261	0.0544238795912	0.0467795915022	0.0276714817113	-0.0112772632228	300.0	0.442139089474	0.446145262295	0.0327827759023	0.344470722301	0.348968716526	0.0272152328759	-0.101905438651	300.0	0.351491743862	0.349596322753	0.0522454905174	0.347900180967	0.343750580051	0.0402149339778	-0.0415009827169	8.72617531162	0.296895730569	0.296699667367	0.0202858729057	0.296567304091	0.296547256785	0.0167440572494	-0.0421397783154	9.87089939037
PAX6	0.2689653	3.2277611111	3.4967264111	0.03652804928	0.0306343979485	0.0228671801552	0.0516331995926	0.048257763668	0.0292531801417	0.0598095649602	300.0	0.48207747829	0.487230178581	0.0324130843359	0.373726918621	0.377732281317	0.0264135940739	-0.0560857245648	300.0	0.441921765442	0.43809917642	0.0727640844812	0.440296462002	0.428688898508	0.0568138756772	-0.0172238562768	3.71850900721	0.5007136499	0.500747049349	0.0333492359164	0.499656781159	0.499946771674	0.0287771103397	-0.0426782422825	3.80313731211
NR2F1	0.2710186722	5.3702576667	5.6412763389	0.0099541536189	0.00821779814819	0.00968710364748	0.0117454614662	0.00994281646506	0.0114933958259	0.0468437821006	273.155673177	0.569467984749	0.574273447878	0.0353556900334	0.442272816535	0.447877373662	0.0235336429508	-0.00376868907779	300.0	0.397902343154	0.393988808855	0.067454814972	0.397774552255	0.384755038675	0.0474373430284	-0.00396595436436	6.84201462696	0.289438200797	0.288697302248	0.0320340210632	0.288452164339	0.288557779565	0.0173829402053	-0.0759768171804	0.438761268326
FOXC1	0.2817084333	6.6542359444	6.9359443778	0.0318320488492	0.0244201981668	0.0219687988841	0.0384897827187	0.0297757434278	0.0230392411968	0.292348096673	300.0	0.440715491095	0.446705795575	0.0332916169888	0.352897622476	0.356643270065	0.0279282815064	-0.12859803747	300.0	0.574547952966	0.569421138724	0.0621424531502	0.59408172532	0.590348567855	0.0763074116482	0.0476748037495	3.95413441411	0.23662295438	0.237169684724	0.0107061609099	0.238101365592	0.23835171596	0.0124252527946	0.0120710142161	11.1924537786
SREBF2	0.2865639111	9.1103612778	9.3969251889	0.0677600191682	0.0613566064858	0.0212633479167	0.0644317977823	0.0600231445819	0.0203328018572	-0.131156103874	133.275919888	0.557400812587	0.562267437742	0.0334195373738	0.432700052155	0.43762018212	0.025934313887	-0.0149829333397	300.0	0.571062147277	0.569410402979	0.0437484483205	0.568928065533	0.562938129427	0.0319976464227	-0.0185199706641	11.1148858921	0.305805645719	0.305398196323	0.0247997776289	0.305500467458	0.305139119008	0.0190720353464	-0.0729430776497	0.867775674651
THAP1	0.3018008222	5.8000158333	6.1018166556	0.00475203408644	0.00381209577583	0.00507017635353	0.00458092812381	0.00357391733697	0.0050505931005	-0.140259141879	300.0	0.575798919016	0.576237028831	0.0287932065121	0.439876524054	0.445487732388	0.0276322988145	-0.00209592062591	300.0	0.389621400255	0.383052475583	0.0344665085871	0.394517688141	0.392810665675	0.0468229333805	0.00943765553616	73.377265683	0.323060121313	0.322654480349	0.0313010942842	0.322918455537	0.322511273229	0.0262095569898	-0.0776388434272	1.65311567478
SOX17	0.3243661	6.3657267222	6.6900928222	0.00497541713536	0.00385655841202	0.00761222267447	0.00467633711289	0.00358087292772	0.00711522600151	-0.179510021761	103.957909383	0.497619105233	0.500270915835	0.0339868769207	0.384791784681	0.390466881097	0.0308442896604	-0.0646808709467	300.0	0.435919847247	0.43313507541	0.0560301580112	0.432077015535	0.424344187362	0.0412194241632	-0.022789073937	22.7777559229	0.279075716276	0.279208966317	0.030387669694	0.2785844194	0.278330606063	0.0255157994826	-0.0535192303123	3.99490299341
HOXA5	0.3250339778	3.5496091111	3.8746430889	0.0143523891493	0.0127255970477	0.012599372082	0.0130377378241	0.0105205832822	0.0123093592123	-0.0679172300068	300.0	0.547425042039	0.550965427228	0.0305039570853	0.424834852863	0.430522491662	0.0267964352565	-0.0157490138509	300.0	0.353933669866	0.349408754947	0.0717373555732	0.351677706292	0.33926393215	0.0512063558561	-0.00155350186314	21.9227926729	0.27990046384	0.278882374456	0.0332644213296	0.279163680762	0.27886123724	0.0262618367653	-0.0795182273873	0.548131423348
