FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	PIQ_99_H1hesc_protection_mean	PIQ_99_H1hesc_protection_median	PIQ_99_H1hesc_protection_std	PIQ_99_GM12878_protection_mean	PIQ_99_GM12878_protection_median	PIQ_99_GM12878_protection_std	PIQ_99_protection_ks_stat	PIQ_99_protection_ks_pvalue	PIQ_99_H1hesc_tc_mean	PIQ_99_H1hesc_tc_median	PIQ_99_H1hesc_tc_std	PIQ_99_GM12878_tc_mean	PIQ_99_GM12878_tc_median	PIQ_99_GM12878_tc_std	PIQ_99_tc_ks_stat	PIQ_99_tc_ks_pvalue	PIQ_99_H1hesc_fos_mean	PIQ_99_H1hesc_fos_median	PIQ_99_H1hesc_fos_std	PIQ_99_GM12878_fos_mean	PIQ_99_GM12878_fos_median	PIQ_99_GM12878_fos_std	PIQ_99_fos_ks_stat	PIQ_99_fos_ks_pvalue	PIQ_99_H1hesc_flr_mean	PIQ_99_H1hesc_flr_median	PIQ_99_H1hesc_flr_std	PIQ_99_GM12878_flr_mean	PIQ_99_GM12878_flr_median	PIQ_99_GM12878_flr_std	PIQ_99_flr_ks_stat	PIQ_99_flr_ks_pvalue
FOXI1	0.0879529222	4.8473536111	4.9353065333	0.0251869018361	0.02059698987	0.0150476202935	0.0314345528133	0.0252665935852	0.018296567373	0.0293296749946	300.0	0.410362501715	0.4162245679	0.0294184679374	0.525853282989	0.534530970056	0.0408153748961	0.00870833676337	300.0	0.480030264861	0.481504857347	0.011875574228	0.482725385799	0.484374155359	0.017342960694	0.0662949447733	300.0	0.268039391168	0.266857222215	0.0413870583877	0.266737493485	0.266256882311	0.00270585730632	-0.0350633386881	92.7862333512
GATA1	0.0912818111	5.2011149444	5.2923967556	0.00760423891772	0.00579035319515	0.00852921795875	0.0104430114095	0.00795091994702	0.00971877515539	0.0746029404929	300.0	0.487189144452	0.494606783226	0.0377032222059	0.384164532194	0.390104568706	0.026796254743	-0.00185276543728	300.0	0.460960174551	0.462358810956	0.0155985724326	0.462509260131	0.46361302003	0.0243805552417	0.054963548508	300.0	0.475864029595	0.475915600153	0.0477698344676	0.475160050429	0.475195188679	0.00383297693548	-0.0251987435382	137.057272933
NKX3-2	0.1107807556	5.7578586667	5.8686394222	0.0842073919408	0.0691567032388	0.0427493759873	0.0729051461256	0.0582737177904	0.0374040273514	-0.0503719424167	280.965077802	0.405374734013	0.413450448326	0.0420101996886	0.329722081067	0.335759336398	0.0326575292883	-0.16526827044	300.0	0.538338011596	0.539169332752	0.0242144250729	0.537129141486	0.537855532741	0.0179255810555	-0.0672717818168	108.5783792	0.481713664073	0.481325102982	0.0628850304486	0.479839439522	0.479896847506	0.00534911540686	-0.01365401543	65.604595935
SOX10	0.1169655111	5.24596	5.3629255111	0.0173485098825	0.0144185183177	0.00917666911388	0.019427119373	0.0157474244508	0.0100718578297	0.010993118138	300.0	0.42260498512	0.427386941856	0.0280748668883	0.541705654894	0.546606965739	0.0345839384446	0.0221327527447	300.0	0.522042555859	0.520554767173	0.0240409938736	0.518642231492	0.519330679326	0.0215628173368	-0.0681484487768	300.0	0.223070065626	0.222176682929	0.00277685783148	0.223777732174	0.223873095178	0.0496236168596	0.0309607203888	111.674846246
MYOG	0.1172990389	5.0492238889	5.1665229278	0.019979866323	0.0180598169741	0.0101594075634	0.0174906833387	0.0156235817603	0.00914104491321	-0.0888156986731	278.010079767	0.527295362171	0.533385717312	0.0538291447844	0.39303563985	0.397610597537	0.0398186714612	-0.0700160104637	300.0	0.478673053999	0.473405780133	0.0321673899823	0.477168438854	0.473266538644	0.0218687275354	-0.0911107733961	107.82325457	0.321539457145	0.319531526355	0.00242794751548	0.329415694423	0.32157235462	0.115941036835	0.0436407543009	166.530306158
SRF	0.1628057278	8.3513662778	8.5141720056	0.0104005298118	0.00895982721753	0.00953259450159	0.0132161698527	0.0113678053382	0.0103215769414	0.0551758390651	300.0	0.454715705164	0.459653242305	0.0283197493434	0.587373555123	0.596156476956	0.0353860837466	0.0418957980151	300.0	0.45851854226	0.459743879965	0.0220615431403	0.458097805808	0.45895323219	0.0159600200069	-0.0635412181484	161.280675694	0.260122498039	0.258917412353	0.0414901786527	0.258939934094	0.25820849636	0.00229576505698	-0.0111680929873	79.7721784833
LHX3	0.1647734778	5.8396682778	6.0044417556	0.0251486860745	0.0204380408773	0.0179016743962	0.0198575253584	0.0160396299948	0.014892806182	-0.0286112461745	300.0	0.345905845422	0.357133772277	0.0497722396649	0.282411912958	0.292121466738	0.0354136340714	-0.253568736976	228.666932954	0.460246256957	0.463122851682	0.0163933457791	0.464163584333	0.466724893056	0.0255259870848	0.019796335913	300.0	0.276039768144	0.275652316588	0.0400353115259	0.27531176878	0.274565005949	0.00317121616455	-0.0386256399121	71.6509520704
E2F4	0.1745461	8.0240553333	8.1986014333	0.025978068352	0.0224133059033	0.0132611781863	0.0246441778223	0.0216792848051	0.0116031110619	-0.194528688679	165.548141192	0.439110059693	0.44521741024	0.0293399433475	0.570093321867	0.574053206467	0.037161199616	0.031064018733	300.0	0.479600359213	0.477221272461	0.0240965488503	0.477058477885	0.473764496345	0.0219439776748	-0.0982692216298	250.826702589	0.292513734787	0.29221702082	0.00230746521303	0.294023334556	0.292553987857	0.0627867195026	0.025519721651	178.587185203
ESRRA	0.1783612333	7.2754227222	7.4537839556	0.0236636088611	0.0207605708101	0.0104061576731	0.021128606975	0.0185676466275	0.00920737521575	-0.0320066996167	300.0	0.40219914074	0.406494328052	0.0279426140202	0.50869282206	0.514427171131	0.034139408495	0.00729606761224	300.0	0.545166472027	0.546649296178	0.0165604348259	0.544648106906	0.546038650652	0.0139227293559	-0.104780007772	153.244066846	0.266131882846	0.266116628311	0.0396949039083	0.265829989033	0.265559887782	0.00230889366056	-0.0128091344754	84.6125935534
HNF1A	0.2036627778	4.7222006111	4.9258633889	0.0248570678484	0.0198419389099	0.0167205508588	0.0313659315328	0.0249241477788	0.0193209692937	0.0811575898501	300.0	0.405980020294	0.416150117989	0.0436714822646	0.327167218995	0.33411189104	0.0326477563638	-0.113855463367	300.0	0.465601553665	0.468214748198	0.0274454341582	0.462740102153	0.465120063075	0.0174901007191	-0.0163103993717	222.946923091	0.232749963665	0.231393592371	0.044519967134	0.230993105088	0.231233204738	0.00306239941527	-0.0301292980961	65.841942427
RFX2	0.2164441333	5.4421975556	5.6586416889	0.0359223328437	0.0312308516836	0.0185022643334	0.0322350971994	0.0275757271302	0.0167301750157	-0.14284978532	203.344511926	0.43948371475	0.446410359434	0.0304869031008	0.575718420494	0.581889360361	0.0379412952252	0.0400916601588	300.0	0.423918711813	0.422450506182	0.0234532288953	0.423901939447	0.422036492407	0.0182131491269	-0.102875523234	125.476217168	0.303498012915	0.302553366025	0.00269043752209	0.303935529169	0.303510766214	0.058607748066	0.00206173042382	119.453229993
PAX2	0.2255426222	5.2315701111	5.4571127333	0.0157326877758	0.0129265233375	0.0143049052862	0.0132272776871	0.0106585785492	0.0121833710013	-0.121105209032	68.8717457551	0.433524679173	0.440113106045	0.0469846491093	0.342681825213	0.350549980778	0.0387910054892	-0.194340439096	300.0	0.434197249785	0.427940441798	0.0361003314464	0.430129800835	0.426859891598	0.0244347659411	-0.142801769881	13.8902778283	0.26542229965	0.264105370636	0.0019974669122	0.266248093171	0.265611446072	0.0521466167019	0.00260700728653	106.863257164
FOSL1	0.2495109	5.9053088889	6.1548197889	0.0492570949919	0.0430141907055	0.0227347273735	0.0649361740611	0.0531037576491	0.0304370487267	0.150080820268	300.0	0.435057829476	0.442544518875	0.0323757053099	0.349058752605	0.352682091977	0.0288830333753	-0.0766485135153	300.0	0.559097253354	0.556664361494	0.0269464750835	0.555430038439	0.556372818611	0.0157192021037	-0.0101401697885	300.0	0.654124435922	0.65420173306	0.0551319543899	0.652277210235	0.652677743523	0.00450009257672	-0.0108307961885	214.210602257
PAX6	0.2689653	3.2277611111	3.4967264111	0.025813691401	0.0204585505056	0.0165427215613	0.0333796022177	0.0264920524195	0.0190403909073	0.0969124366341	300.0	0.412031226404	0.420053009842	0.0392330133588	0.334328067072	0.340172652846	0.0332643296607	-0.153664315746	300.0	0.589573390242	0.588075031929	0.0345881305301	0.587049171648	0.587924968071	0.0228552990402	-0.0908598229065	52.9048366707	0.474462683521	0.474633436072	0.0452969215139	0.473838804018	0.473745061789	0.00466687529086	-0.0534565003407	48.4151693204
NR2F1	0.2710186722	5.3702576667	5.6412763389	0.00899624159387	0.00647752607808	0.010518779009	0.0111312812614	0.00830359045364	0.0112058532789	0.0555675334985	300.0	0.431695957706	0.438104709571	0.0255226930164	0.553309311272	0.559863734344	0.0411966833379	0.038597250737	300.0	0.39609411713	0.397310355283	0.0236964724416	0.395280371278	0.397220233946	0.0194316553677	-0.0889329977671	59.733188514	0.261233283961	0.26142209391	0.0406187673228	0.260926624407	0.260147291956	0.00279195135781	-0.0190059470039	66.4255136973
FOXC1	0.2817084333	6.6542359444	6.9359443778	0.0438117579711	0.0320729358678	0.0411328393114	0.0349135480397	0.0243043453145	0.0368732279388	-0.0776525681358	50.3274267621	0.473508794911	0.479693895299	0.0349558429872	0.381154730507	0.384724404793	0.02883938168	-0.0123360922299	238.598767038	0.610784905136	0.612092473533	0.0328597031754	0.609232940241	0.611368184007	0.0249735194577	-0.0819544415964	21.2097358965	0.749575801683	0.749675861124	0.0532123459876	0.742414422683	0.74461198329	0.00747073904865	-0.0226019068659	65.7987898414
SREBF2	0.2865639111	9.1103612778	9.3969251889	0.0318100201214	0.0267359260942	0.0168429890508	0.0368393715824	0.0313822547468	0.0189281340004	0.064108360856	300.0	0.434239753413	0.439333166291	0.0258977214908	0.556301880887	0.56240599536	0.0359352585265	0.0367471874722	300.0	0.52476969623	0.52593029674	0.020411062356	0.524510082411	0.52592389095	0.0170914134747	-0.101383513418	126.818013182	0.246194962619	0.245798019073	0.037783166161	0.24542769574	0.245349912944	0.00242143593776	-0.0255460888825	79.789474552
THAP1	0.3018008222	5.8000158333	6.1018166556	0.00613842756182	0.00481043844426	0.00528790036954	0.00517689308102	0.00398519405751	0.00458806429035	-0.000468460847159	300.0	0.395577058695	0.400274466008	0.0286356636282	0.505649194065	0.51125917168	0.0337383536911	0.0133829410366	300.0	0.491099939278	0.489418906168	0.0203778127397	0.490053591566	0.48932189514	0.0157523485699	-0.0895205450584	300.0	0.283883536616	0.282631499296	0.00229214333671	0.284003911726	0.283997487673	0.0504949595655	0.014583683838	203.068081085
