FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	Boyle_H1hesc_protection_mean	Boyle_H1hesc_protection_median	Boyle_H1hesc_protection_std	Boyle_GM12878_protection_mean	Boyle_GM12878_protection_median	Boyle_GM12878_protection_std	Boyle_protection_ks_stat	Boyle_protection_ks_pvalue	Boyle_H1hesc_tc_mean	Boyle_H1hesc_tc_median	Boyle_H1hesc_tc_std	Boyle_GM12878_tc_mean	Boyle_GM12878_tc_median	Boyle_GM12878_tc_std	Boyle_tc_ks_stat	Boyle_tc_ks_pvalue	Boyle_H1hesc_fos_mean	Boyle_H1hesc_fos_median	Boyle_H1hesc_fos_std	Boyle_GM12878_fos_mean	Boyle_GM12878_fos_median	Boyle_GM12878_fos_std	Boyle_fos_ks_stat	Boyle_fos_ks_pvalue	Boyle_H1hesc_flr_mean	Boyle_H1hesc_flr_median	Boyle_H1hesc_flr_std	Boyle_GM12878_flr_mean	Boyle_GM12878_flr_median	Boyle_GM12878_flr_std	Boyle_flr_ks_stat	Boyle_flr_ks_pvalue
HNF4A	-0.0595492111	4.6226812222	4.5631320111	0.103232124497	0.0212082990324	0.20577828484	0.0102943257299	0.00579092045415	0.0140815374929	-0.0715843752044	-4.78857023646	0.598883049081	0.603764583698	0.0353380984266	0.460666476794	0.465616899465	0.0254153415815	-0.0438521085895	-300.0	0.41709261358	0.411646243477	0.0366254491191	0.403866937782	0.399804539107	0.0299832032879	-0.0806340100029	-1.97830596347	0.614263741232	0.607674700747	0.0572103376024	0.622435916301	0.613070949233	0.0590299317261	0.027539341917	-0.226658662189
NRF1	-0.0572260667	6.468081	6.4108549333	0.109789677068	0.022507095413	0.212901310662	0.00977722193932	0.00565622361221	0.0118596828106	-0.104180861222	-5.07193816552	0.370288672794	0.377791360453	0.0339416164127	0.469038799425	0.477266008169	0.0411804234625	0.0488418361544	-300.0	0.374428925183	0.366975234228	0.0274533414529	0.358839303071	0.356789216105	0.0229905009092	-0.153972868217	-2.99362782026	0.72262571522	0.7292100666	0.0336275249429	0.729606221591	0.729316822277	0.0554499172109	0.0358781362007	-0.249671588258
NR2C2	-0.0475113889	7.6477857778	7.6002743889	0.0955057131489	0.0127750100249	0.186082151781	0.0117388217166	0.00698683675381	0.0139420760996	-0.0412153006961	-6.15444785839	0.570584908294	0.575224607693	0.0382355095682	0.440011544198	0.446612351441	0.0289812199316	-0.0279845611462	-300.0	0.534013821916	0.530206130649	0.0293104464634	0.543062642036	0.535502431582	0.0363220212696	0.034225221033	-0.868868904825	0.203478827214	0.203469559497	0.0222759678871	0.201415535458	0.202644460953	0.00656751088028	-0.0556511056511	-2.0657173299
NFYA	-0.0402215444	8.3467323333	8.3065107889	0.11394120717	0.00676637888737	0.252479140529	0.00970051103529	0.00498308314253	0.0135067019306	-0.0613266470153	-2.08223560858	0.406678544181	0.409584825807	0.0372337945966	0.547520457386	0.548887836732	0.05124804976	0.0162478120061	-300.0	0.81828682248	0.796583185552	0.072421969319	0.802796618356	0.790750339691	0.0498093464386	-0.068598615917	-0.723096470965	0.667439713743	0.672989397247	0.0790442602014	0.655088395979	0.65676105918	0.0294644298158	-0.219061085973	-1.60240266467
CREB1	-0.0344421889	9.2302054444	9.1957632556	0.562103848494	0.49022702102	0.370617930146	0.0258921458131	0.0153557872428	0.0282206805619	-0.645409229143	-2.8011682621	0.29376916803	0.301300159911	0.0382131693244	0.372547452894	0.379304500471	0.0466400711814	0.244330724792	-121.750833159	0.396930991895	0.382021962151	0.106564360871	0.366857080671	0.363639172468	0.0461186194296	-0.188235294118	-0.188886977254	0.674533061743	0.673742098999	0.0668739808537	0.658129712196	0.660571682183	0.00461878036497	-0.470320855615	-1.25048374101
HLF	-0.0325434111	3.2289502222	3.1964068111	0.0097337157211	0.00466175297369	0.0113711160838	0.124406420508	0.00550901052625	0.266542717264	0.043873380111	-1.07352260887	0.352299405791	0.362202522735	0.0388467620368	0.448153490693	0.456484881332	0.0473742738238	0.123751642074	-178.959445251	0.631068315542	0.634116753949	0.0294839140005	0.63844469476	0.636986727182	0.0348187293782	0.00220909324428	-0.285428163627	0.498898090012	0.505762383055	0.0551492400641	0.491929576696	0.502461636615	0.047940901357	-0.0757779739572	-0.670292436009
PPARG	-0.0284577778	2.7755172778	2.7470595	0.159211654638	0.0462681484523	0.246027173175	0.00923126992508	0.00564244345157	0.011821232921	-0.180254983926	-5.64773614546	0.592411046181	0.598394281031	0.0369106261583	0.455065015798	0.460963698019	0.0281868084709	-0.0373685365305	-300.0	0.625423375912	0.613902659222	0.0703623599532	0.597525897885	0.593701231715	0.060706361752	-0.0157360406091	-0.688112791207	0.177402122291	0.175851147056	0.0180511836932	0.174448877858	0.175465682645	0.00443432070582	-0.139192503065	-2.06736042477
FOXA2	-0.0203151889	5.80296	5.7826448111	0.103731996375	0.0141870175479	0.207991125425	0.00958609364965	0.00556741983517	0.0123156827393	-0.0445496372522	-4.64536581526	0.376286012981	0.384464979242	0.0282282573479	0.476508480277	0.483342450029	0.0417480640257	0.0232052219561	-300.0	0.483320418539	0.479546061791	0.0382979014435	0.471615132654	0.470577458785	0.0345062384651	-0.0738604275918	-2.09130989356	0.168713285361	0.16763646996	0.00817614714673	0.168948556385	0.168312337625	0.0217151526034	0.0375780707842	-0.285417598401
HSF1	0.0113552056	6.99869	7.0100452056	0.0106608177663	0.00589189017848	0.0131262451649	0.144593617339	0.0437876892059	0.235874075476	0.133357150116	5.21316060344	0.415271345809	0.422978259724	0.0293371033963	0.53659350341	0.542749859765	0.0387272594244	0.0152422011465	300.0	0.273908840655	0.268836681442	0.048205645956	0.298613380482	0.287887416337	0.0489886814153	0.107895083696	1.94035539189	0.444737742181	0.450480899964	0.0541665813535	0.454459295809	0.456210017718	0.0823046784551	0.0818664307828	1.41992874629
TFAP2A	0.02361145	3.46334025	3.4869517	0.0101685109796	0.00612232238002	0.0121355144268	0.0784529193031	0.00946571665486	0.173192637753	0.0259413577866	5.60976901377	0.457779833817	0.464058156545	0.0282731798766	0.596389287037	0.601355377728	0.0377689714614	0.0345538055778	300.0	0.425850695011	0.419339316306	0.0446235403146	0.414180536677	0.411435755588	0.0398413310915	-0.0312360178971	0.895859712648	0.280002234863	0.280287131919	0.00525027043058	0.28199153519	0.282040449591	0.0211597996816	0.0644708321553	2.87024275852
YY1	0.0336983778	9.2155432222	9.2492416	0.0935523222643	0.00618639556732	0.19512953423	0.00964120446816	0.0053850912867	0.0123403478676	-0.0302095251182	3.63449863547	0.444319050303	0.450320428789	0.0291287144478	0.578172503123	0.581910211698	0.0371673103223	0.0388137561657	300.0	0.540593872424	0.522223910741	0.0712534213467	0.512345056463	0.508741036764	0.0623696395293	-0.010193452381	1.09643907874	0.544810655987	0.545016303863	0.0256928792722	0.549747579869	0.547711765925	0.0503155603434	0.00366832638959	0.736541299281
ESR1	0.0364005167	3.9774695556	4.0138700722	0.102726699158	0.00618875351233	0.202496629043	0.0105160545426	0.00612973737032	0.0126023546538	-0.00884309814894	3.82927981527	0.400250670611	0.409213667368	0.02761098412	0.510280878193	0.51729263103	0.0451887830359	0.00883420811254	300.0	0.6249530988	0.623774734543	0.0168882153121	0.623718646966	0.622334367516	0.0164511339026	-0.065924286656	0.347177000766	0.266397760013	0.265396443075	0.00512488706504	0.26752207118	0.267259160674	0.0171297911274	0.0743083003953	2.05298472085
FOXP2	0.0823085278	2.351259	2.4335675278	0.0757332744388	0.00630380561566	0.189408297687	0.0112108108854	0.00603832016658	0.0133589452736	-0.0673879882501	2.27282320092	0.372888483625	0.381717791958	0.0418261193122	0.306206088907	0.313830109303	0.0330861458347	-0.19582454158	300.0	0.600951851842	0.597315958617	0.0290116460177	0.597506363755	0.596453489106	0.0213895874951	-0.0785373395174	0.200300065388	0.382376057484	0.370943988073	0.0977666915398	0.372529081244	0.367656788679	0.0507473011293	-0.00449455676516	0.587503454104
FOXI1	0.0879529222	4.8473536111	4.9353065333	0.0832797272426	0.00941971133275	0.190048565727	0.00974826208116	0.00586715146922	0.0118519633137	-0.00430608503101	4.07509813935	0.419700059028	0.427330717759	0.0272265793336	0.536040669447	0.543492517818	0.0385841856755	0.0208980952732	300.0	0.408954999847	0.402244165662	0.0242012537677	0.402633374492	0.402169069618	0.0231560495568	-0.0510870080045	0.528148605295	0.637718996693	0.640866595095	0.0210933496344	0.64772817001	0.64428399831	0.0410458014802	0.0635539437897	2.03423539856
GATA1	0.0912818111	5.2011149444	5.2923967556	0.0100227000756	0.00563644939023	0.0132790620992	0.119380226841	0.0118826198635	0.254880207844	0.0255659250591	1.6815212423	0.466053673537	0.472436945108	0.0388434723654	0.370113680119	0.376691030899	0.0271265914342	-0.0170063710658	300.0	0.217775255329	0.217642590165	0.0284787644169	0.215044821537	0.216122744099	0.0280510506786	-0.0767857142857	0.0160095581676	0.258113969987	0.25011895605	0.0440509109291	0.298747204218	0.254070146254	0.193925248829	0.0595724907063	0.325891521671
NKX3-2	0.1107807556	5.7578586667	5.8686394222	0.0117593365406	0.00632461045722	0.0156201799343	0.115289258734	0.00777135579936	0.241837940393	0.060169315929	2.67196108212	0.350374087234	0.359423700142	0.0453080953097	0.286456038598	0.295662427956	0.0356090281092	-0.268470958243	223.756620087	0.423933442496	0.415554969548	0.101220689701	0.462060670661	0.416570030452	0.141746263997	0.00927318295739	0.490663765309	0.577891899234	0.581620254585	0.0216910583988	0.588142492267	0.590207240587	0.0704935791299	0.230404135338	2.0569624518
SOX10	0.1169655111	5.24596	5.3629255111	0.0801346705809	0.00726742098461	0.194364738473	0.00985524443023	0.0056303005038	0.0124154668765	-0.0861779829642	1.91900772753	0.495059971107	0.499878820773	0.0401335326882	0.385567125573	0.391905167696	0.0313576809874	-0.0250967769909	300.0	0.452337235758	0.45201254102	0.0916068052729	0.450403922445	0.442375327819	0.0740836901404	-0.0720125375473	0.249772160601	0.222596559272	0.220763168805	0.0177195188242	0.221002815714	0.220472186986	0.0163809122591	-0.0497198879552	0.154298816374
MYOG	0.1172990389	5.0492238889	5.1665229278	0.0341147039844	0.0206919553449	0.0412224413601	0.252299173232	0.0452728073604	0.326612034344	0.0923151282531	1.93999104592	0.545297229439	0.546180584165	0.0524677440701	0.404161968488	0.40541324018	0.0371150866826	-0.0219875756042	300.0	0.713668577714	0.684139323161	0.0793720026909	0.717416894297	0.701235361221	0.0862025301794	0.0295578437311	0.320991396883	0.792451026524	0.792422938065	0.0757713893918	0.788963369909	0.78807407522	0.038049153081	-0.0377911079746	0.0382071740757
SRF	0.1628057278	8.3513662778	8.5141720056	0.0094390621249	0.00512459678711	0.0128921591984	0.133016708348	0.00528834249708	0.24507768596	0.0603056921195	3.24645415159	0.45318158865	0.459922590538	0.0292596048253	0.587483890316	0.595208965429	0.036407685427	0.0432849039013	300.0	0.320662971108	0.315005427615	0.0647949113339	0.343439819366	0.329997443592	0.0694752449779	0.0694988066826	1.27601009459	0.640819670112	0.635352339177	0.0702022615421	0.640305894387	0.635279560996	0.0211456956284	-0.00382262996942	0.247463844703
LHX3	0.1647734778	5.8396682778	6.0044417556	0.00963406755908	0.0054193136124	0.0132706837601	0.107476945496	0.00602380896283	0.21759615434	0.0970700809949	4.28738424646	0.438285592662	0.44575962585	0.0262481667787	0.562141096692	0.568817258773	0.0384410264845	0.0335649070119	300.0	0.650169446611	0.645697743569	0.0327353564222	0.646919151765	0.644604816554	0.0274945847468	-0.0312833128331	0.375094419052	0.284067912184	0.285494266903	0.0051756812331	0.287295298562	0.286391781772	0.0222701310007	0.0849337748344	1.57942748046
E2F4	0.1745461	8.0240553333	8.1986014333	0.0852314321631	0.00618341156912	0.24096458018	0.0105695510745	0.0043622755642	0.0133954602309	-0.123465688196	0.487678766597	0.419964051913	0.426445505826	0.0300719541322	0.547769779004	0.551561224028	0.0417078450324	0.0214001938351	300.0	0.541157879628	0.538510434101	0.0384227987283	0.534497228853	0.537671492889	0.0302428743306	-0.0294249022892	0.188806579451	0.69287621656	0.695042321265	0.0174997960268	0.69310874013	0.696749960197	0.0612513024583	0.05331157459	0.50947718554
ESRRA	0.1783612333	7.2754227222	7.4537839556	0.0108510999838	0.00682321605287	0.0141380481531	0.095078953759	0.00926217881717	0.192938055491	0.0218494275295	4.80487701094	0.48831908128	0.494089714365	0.0420721143891	0.383708538237	0.391281442676	0.0306222340113	-0.0124080881229	300.0	0.269744867099	0.25962702827	0.042916568798	0.254176816824	0.250321963207	0.0365374518019	-0.0174037089872	0.975732622901	0.568984702417	0.569168926202	0.0113912286922	0.570035564398	0.571546218047	0.0437867909162	0.0430158730159	1.93901273098
HNF1A	0.2036627778	4.7222006111	4.9258633889	0.00979724509029	0.00606339585788	0.0106823184544	0.130026005688	0.0427581262819	0.240187529251	0.157637354167	3.73525891618	0.410081206742	0.4183692086	0.043593909287	0.331597686362	0.339846264673	0.0323891990511	-0.0959356261481	300.0	0.556365621649	0.551105280563	0.0706469071451	0.580087602495	0.566978025362	0.076774662966	0.0512784751278	0.718769149882	0.252582564963	0.253816302196	0.00765979322747	0.25666317904	0.258443462719	0.01855510211	0.169622964867	1.82742440713
RFX2	0.2164441333	5.4421975556	5.6586416889	0.0102530886882	0.00559791376645	0.0125781952674	0.115107193378	0.0247096710424	0.221300805823	0.106264803147	4.3772378197	0.437515642794	0.445302975319	0.0324465687718	0.573107855827	0.5778108369	0.0427450918453	0.0337652408139	300.0	0.705900905871	0.692470535493	0.0774862867241	0.679225599519	0.67761223705	0.0614167786089	-0.0145502645503	0.501802904417	0.0984415217341	0.0986541101121	0.00444511858825	0.098943023588	0.0991750262775	0.0163434147879	0.0970986018459	1.29097263561
