FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	FLR_85_H1hesc_protection_mean	FLR_85_H1hesc_protection_median	FLR_85_H1hesc_protection_std	FLR_85_GM12878_protection_mean	FLR_85_GM12878_protection_median	FLR_85_GM12878_protection_std	FLR_85_protection_ks_stat	FLR_85_protection_ks_pvalue	FLR_85_H1hesc_tc_mean	FLR_85_H1hesc_tc_median	FLR_85_H1hesc_tc_std	FLR_85_GM12878_tc_mean	FLR_85_GM12878_tc_median	FLR_85_GM12878_tc_std	FLR_85_tc_ks_stat	FLR_85_tc_ks_pvalue	FLR_85_H1hesc_fos_mean	FLR_85_H1hesc_fos_median	FLR_85_H1hesc_fos_std	FLR_85_GM12878_fos_mean	FLR_85_GM12878_fos_median	FLR_85_GM12878_fos_std	FLR_85_fos_ks_stat	FLR_85_fos_ks_pvalue	FLR_85_H1hesc_flr_mean	FLR_85_H1hesc_flr_median	FLR_85_H1hesc_flr_std	FLR_85_GM12878_flr_mean	FLR_85_GM12878_flr_median	FLR_85_GM12878_flr_std	FLR_85_flr_ks_stat	FLR_85_flr_ks_pvalue
FOXP2	0.0823085278	2.351259	2.4335675278	0.00937565306701	0.00766212860986	0.0077054746966	0.0123649990048	0.00963514343408	0.00944030109835	0.0177272597064	300.0	0.382555658467	0.391344142321	0.0307247250624	0.450719911619	0.457378003584	0.0358259578844	0.252192572347	26.3284618919	0.602466082021	0.600589782372	0.0340820729927	0.596716707767	0.597315958617	0.0298802117769	-0.077903118779	0.271842736741	0.397515778618	0.388261927664	0.0866344230429	0.390943547563	0.386101321181	0.0539557323524	-0.0137941737751	0.63795428137
FOXI1	0.0879529222	4.8473536111	4.9353065333	0.0255018592989	0.0210069299596	0.0146993511319	0.0320845403768	0.025824971344	0.018545556239	0.0121274054117	300.0	0.383065669405	0.388116359585	0.0194693888539	0.450928624791	0.458097159726	0.0303110711334	0.245355261059	29.4032282896	0.419163991264	0.417119010998	0.0305814781823	0.415254551551	0.413840043116	0.0297122775264	-0.025918762089	0.931038940789	0.636960717862	0.641087459887	0.0191384311247	0.64845767875	0.646130340224	0.0426021182353	0.0976405946994	3.72024998602
GATA1	0.0912818111	5.2011149444	5.2923967556	0.00686444138118	0.00496659813278	0.00772673820154	0.0101944793484	0.00735269385706	0.00944104424098	0.12022446648	300.0	0.356716503165	0.363592206452	0.0321902343868	0.415951325082	0.423443148547	0.0531044533892	0.193423067916	9.79994997168	0.312660447371	0.312889628222	0.0425226707257	0.303691577367	0.309126881594	0.0419504302045	-0.0250915750916	0.270381098088	0.288666401386	0.255336896337	0.166270550383	0.258231104091	0.254071685003	0.0422365039219	-0.00104422604423	0.143503964849
NKX3-2	0.1107807556	5.7578586667	5.8686394222	0.0864660989464	0.0715621537863	0.0445893379466	0.0737098751514	0.0590200806782	0.0378103455851	-0.0365704842684	300.0	0.320721439117	0.329602207233	0.0328501025346	0.298461457871	0.302498862505	0.0249068863952	-0.0117605086324	6.95008210099	0.496928066249	0.487136235487	0.101164007643	0.525024697448	0.510392180148	0.128163111781	0.0153134635149	0.538933710521	0.576399278383	0.578663105853	0.0206653086079	0.587718602874	0.590208674539	0.0680823904592	0.243768702693	2.71338116833
SOX10	0.1169655111	5.24596	5.3629255111	0.0173820438647	0.0145176095641	0.00922228793456	0.0196408229327	0.0162608881951	0.0104000563042	0.000598125694899	300.0	0.331389876082	0.337341408862	0.0307803885265	0.366459909864	0.374298991157	0.0316617980736	0.0183538180023	14.2399702073	0.313008575926	0.307270312286	0.0569944985744	0.317234402056	0.324320850619	0.0603112277319	0.00633174791914	1.17463704173	0.222185168751	0.220681443184	0.0171749598519	0.221031494958	0.220451063635	0.0159015483623	-0.0572457245725	0.126549166646
MYOG	0.1172990389	5.0492238889	5.1665229278	0.0196519778838	0.0176994070802	0.00996668390467	0.0169746581311	0.0151759150691	0.0087643637935	-0.0822378200437	300.0	0.283635830248	0.29109821608	0.0333423655529	0.273692754224	0.280376206306	0.0213523923287	-0.244026482892	1.5834720049	0.25735229099	0.232287120894	0.0668618988364	0.263285511944	0.250743834495	0.0710946241043	0.0633196721311	0.674381986188	0.792930161271	0.791493150529	0.0737840167958	0.789381158892	0.788513141493	0.036705816744	-0.033282674772	0.063598161703
SRF	0.1628057278	8.3513662778	8.5141720056	0.0104639118702	0.00887310696277	0.00872181032157	0.0133725662441	0.0113559890374	0.010066370925	0.0604802754026	300.0	0.384406422248	0.392087239957	0.0272933811112	0.4480089595	0.454496400464	0.0329880525966	0.267799725532	17.7468211013	0.532128048465	0.521909452885	0.0843031693129	0.556781162708	0.538929046585	0.0864140910913	0.0536362150678	1.29849026365	0.640066379422	0.635313495916	0.0203697367706	0.641198436814	0.635352339177	0.0686018685779	0.0188605031545	0.568423421112
LHX3	0.1647734778	5.8396682778	6.0044417556	0.0264341111211	0.0211277385446	0.0183759517117	0.0202457497263	0.0161087166998	0.0147637403402	-0.00177223643339	300.0	0.348499679546	0.350357825151	0.0139413799453	0.393135758973	0.399212915484	0.0320795818051	0.197370750668	16.4017979513	0.671225500055	0.667873849672	0.0308474821749	0.670869671385	0.666743386727	0.0308061026618	-0.0246146226707	0.477554846261	0.284159300615	0.285622288356	0.0050593633325	0.287370527217	0.286487410263	0.0216482661671	0.0814743589744	1.86501916166
E2F4	0.1745461	8.0240553333	8.1986014333	0.0265199730186	0.0230864413223	0.0132703421106	0.0249084142646	0.0219531727569	0.0116376517089	-0.171280641285	264.33230258	0.325140826288	0.334631177886	0.0334948163996	0.314401961441	0.311393275353	0.0194483292278	-0.247865464857	2.24320763534	0.581211774542	0.585533816775	0.0301147871657	0.593449007746	0.588623283496	0.0491347418825	0.0237439222042	0.598607112873	0.692840533498	0.695060949542	0.016766199324	0.693214536404	0.695826709785	0.060060667963	0.0572510822511	0.613589801626
ESRRA	0.1783612333	7.2754227222	7.4537839556	0.0241088044101	0.021325645215	0.0105876270337	0.0214725320832	0.018967743351	0.00928292468189	-0.0519862679728	300.0	0.31837209848	0.325505896952	0.032710411693	0.297606754305	0.304644495813	0.0253208602056	-0.126747814506	9.91664474873	0.346810010723	0.33765457423	0.0628396286716	0.334453343101	0.32908859552	0.046090043242	-0.0449259155717	0.697486105774	0.568891793597	0.568765358159	0.0109851438531	0.570257859145	0.571466912488	0.0425734563973	0.0568941209643	2.50998138172
