FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	Dnase2Tf_H1hesc_protection_mean	Dnase2Tf_H1hesc_protection_median	Dnase2Tf_H1hesc_protection_std	Dnase2Tf_GM12878_protection_mean	Dnase2Tf_GM12878_protection_median	Dnase2Tf_GM12878_protection_std	Dnase2Tf_protection_ks_stat	Dnase2Tf_protection_ks_pvalue	Dnase2Tf_H1hesc_tc_mean	Dnase2Tf_H1hesc_tc_median	Dnase2Tf_H1hesc_tc_std	Dnase2Tf_GM12878_tc_mean	Dnase2Tf_GM12878_tc_median	Dnase2Tf_GM12878_tc_std	Dnase2Tf_tc_ks_stat	Dnase2Tf_tc_ks_pvalue	Dnase2Tf_H1hesc_fos_mean	Dnase2Tf_H1hesc_fos_median	Dnase2Tf_H1hesc_fos_std	Dnase2Tf_GM12878_fos_mean	Dnase2Tf_GM12878_fos_median	Dnase2Tf_GM12878_fos_std	Dnase2Tf_fos_ks_stat	Dnase2Tf_fos_ks_pvalue	Dnase2Tf_H1hesc_flr_mean	Dnase2Tf_H1hesc_flr_median	Dnase2Tf_H1hesc_flr_std	Dnase2Tf_GM12878_flr_mean	Dnase2Tf_GM12878_flr_median	Dnase2Tf_GM12878_flr_std	Dnase2Tf_flr_ks_stat	Dnase2Tf_flr_ks_pvalue
ESRRA	0.1783612333	7.2754227222	7.4537839556	0.0442832321145	0.0367833449089	0.0294280410689	0.0567793553633	0.048287213099	0.0452575560518	0.0352043134908	40.784350821	0.312383164229	0.317640866395	0.0438712298076	0.258212511153	0.267002747006	0.0348466176726	-0.0655697665716	243.764667416	0.545443644866	0.546861834785	0.0160947604821	0.545027897776	0.546038650652	0.0133615008552	-0.0893499845386	218.880601716	0.28423000227	0.284099702889	0.0138629738185	0.28354460482	0.283568507978	0.0128730248442	-0.0784896346106	58.5190709182
HNF1A	0.2036627778	4.7222006111	4.9258633889	0.0290239368251	0.0256797266891	0.0174328996728	0.0436760864992	0.0348538197608	0.064809636232	0.177827535503	30.3781804855	0.328150395923	0.335963393896	0.0400810381507	0.273104651937	0.277102135044	0.0365419456146	-0.0297308893606	71.2801637183	0.457358636299	0.459860654285	0.0156657392435	0.46075165722	0.462972260854	0.0271770657393	0.0572893991086	300.0	0.346770308735	0.346723399649	0.0153663838301	0.345920279937	0.34635551299	0.0113717761413	-0.065330713964	37.249559733
RFX2	0.2164441333	5.4421975556	5.6586416889	0.0750697426175	0.0681069900677	0.0502531324702	0.0560905366639	0.0515187367162	0.0371889647476	-0.0257508341674	71.6968941793	0.3748117147	0.380828591875	0.0324562582988	0.48567615683	0.489805546953	0.0398273504854	0.273004682554	300.0	0.423925370834	0.422450506182	0.0224002154949	0.423862446247	0.422036492407	0.017073715874	-0.072256844979	228.813637951	0.309014006435	0.308606142765	0.0243880816978	0.308226748535	0.308103887576	0.0210383759631	-0.0844089472278	45.2200920949
PAX2	0.2255426222	5.2315701111	5.4571127333	0.130589855218	0.118680412472	0.083086688472	0.100115047738	0.0880906263945	0.0525695430687	-0.0776530908758	25.4503203772	0.311757663244	0.315306535971	0.0507116333247	0.253233094772	0.25984217919	0.0415165046264	-0.144735719635	107.594678814	0.433323088767	0.42754626884	0.0328002002519	0.429777943491	0.426859891598	0.0224117361975	-0.139370257135	19.2077226762	0.297546798728	0.297448430317	0.0305423711149	0.297100225107	0.297048194686	0.0240146553626	-0.108276336773	4.53473936555
FOSL1	0.2495109	5.9053088889	6.1548197889	0.0735372544003	0.0704859487439	0.0446120137371	0.0565109855224	0.0534901039884	0.0365868416327	-0.00356064993002	20.9762171249	0.325940299791	0.329275654465	0.0301415884774	0.41314942428	0.417214092131	0.0308405733668	0.229156920592	300.0	0.555798738274	0.556372818611	0.0144087075265	0.559170934285	0.556664361494	0.0263249286142	0.000336174604686	300.0	0.296510838644	0.29677964115	0.010835924556	0.296489559455	0.296624208185	0.00981067811509	-0.0761184599355	91.7271821176
PAX6	0.2689653	3.2277611111	3.4967264111	0.0782339445214	0.0670347267752	0.0522521669259	0.108141222278	0.093783243648	0.0854299524968	0.03188162155	15.5828941537	0.315019940861	0.320592255916	0.0402524160697	0.259523038787	0.266370774026	0.0365987751865	-0.0497761263946	79.1030516782	0.58947544141	0.588075031929	0.0337055575831	0.58748059511	0.587924968071	0.0195600133518	-0.0530221882793	116.744440194	0.295424882726	0.295313527554	0.0133259637107	0.29503260708	0.295042291209	0.0127259328882	-0.0814476277024	14.5522348478
NR2F1	0.2710186722	5.3702576667	5.6412763389	0.117214822656	0.102570043474	0.0582489277376	0.169920509997	0.137651569443	0.110096535082	0.0604392526575	26.1918347863	0.301782781286	0.307677909791	0.0456027898751	0.249438890881	0.25772668972	0.0354384293417	-0.0985491365925	97.8356558612	0.396246519875	0.397310355283	0.0227527092375	0.395636471599	0.397220233946	0.0173683450831	-0.0537143240344	120.200070723	0.327814625698	0.327795533205	0.0174240885102	0.327640740174	0.327575067308	0.0129971561263	-0.0586787400838	29.2478752125
FOXC1	0.2817084333	6.6542359444	6.9359443778	0.0640271537743	0.0651379626006	0.0324530773005	0.129211893273	0.100202315101	0.134289447805	0.242228313951	9.32310415603	0.269218195219	0.27075694733	0.0397849781971	0.228498560944	0.234731361839	0.0328071918869	-0.158448222182	24.8920737043	0.610833088633	0.612092473533	0.0309076707482	0.609509019842	0.611818713251	0.0212476264699	-0.0341380679754	57.5951573989	0.237558185161	0.238279152187	0.0128121138524	0.236762276174	0.237454569957	0.0111200540982	-0.0731580584317	7.54906765768
SREBF2	0.2865639111	9.1103612778	9.3969251889	0.181620633052	0.154619599758	0.101066849839	0.143018184437	0.123213066149	0.0817170442608	-0.0540378300048	20.9221772229	0.280157369722	0.28814588238	0.0355504774437	0.344269971653	0.350386858661	0.042393219556	0.0278878885836	293.617796159	0.525116207173	0.52593029674	0.0197676868055	0.524969718801	0.52592389095	0.0152327767806	-0.0570151358229	294.513902988	0.305282191431	0.305138580789	0.0120042391921	0.305190060403	0.305134864225	0.0117565569807	-0.113644639086	12.1366744971
THAP1	0.3018008222	5.8000158333	6.1018166556	0.046437363994	0.0409263562693	0.0291613871108	0.0601010787872	0.0529512576536	0.0305663605591	0.0201814953152	129.516057173	0.388861598312	0.393745620089	0.0285725279082	0.494211086083	0.497946988622	0.0317302880491	0.307073542083	300.0	0.491021928433	0.489418906168	0.0197054493703	0.490014249492	0.48932189514	0.0148071566215	-0.0596614782829	300.0	0.322813978208	0.322958413132	0.0130705956435	0.322802932211	0.32288686937	0.0129530536549	-0.117435353979	36.3058138205
