FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN	BOYLE	NEPH	CUELLAR	PIQUE
EGR1	0.763513484225	0.48085695682	0.051216719346	0.150053205156	0.683799653312	0.70846544391	0.74805015188	0.625599819522	0.614793960597	0.151530211757	0.459509571635
EJUNB	0.69021680169	0.178507381059	0.00786381303975	0.0105975227363	0.603611334534	0.621269710238	0.616407766565	0.488185405395	0.459275626236	0.0109280482372	0.0748870669171
EJUND	0.737108537119	0.195583749068	0.0103152472011	0.0105286317105	0.598344776243	0.614223234944	0.611045129677	0.499911451036	0.46686574074	0.0106847577364	0.0747046296605
ELF1	0.308332265108	0.285215384559	0.00604114265181	0.0303154813848	0.655707293835	0.670244528199	0.668450232715	0.536643692276	0.547020949124	0.0305534739117	0.123925305355
ELK1	0.455771814968	0.793158812415	0.0454788201922	0.049973640524	0.920239943933	0.971244802883	0.97211815526	0.937398944956	0.932655589455	0.0821832999322	0.602733824546
ETS1	0.585564334152	0.632706406134	0.0037739244898	0.0167162396305	0.921199296163	0.951265162271	0.947454298963	0.887175951245	0.903106994917	0.0168353971063	0.227009031308
FOS	0.738568124619	0.380797283835	0.0106208576705	0.00471717974083	0.823471902459	0.848848747467	0.847602910778	0.743242525856	0.726922046199	0.0061871055726	0.124935323617
FOSL1	0.752207666107	0.273311485278	0.00944302526231	0.00507328367783	0.695845301363	0.716390190331	0.711211077892	0.563159556036	0.575342505159	0.00558481545131	0.0851008836936
GABP	0.463500531325	0.699430987792	0.0337749364638	0.1385154938	0.893751813217	0.903847754526	0.912020449083	0.84244912565	0.848567455256	0.152564925541	0.57255767477
GATA1	0.838360666041	0.571673098862	0.0361525182436	0.00232166753312	0.884717639258	0.909356287065	0.90771785226	0.826121783301	0.835960815956	0.00242124922982	0.103071117577
GATA2	0.803147857326	0.396161078227	0.0196303027636	0.0031187923013	0.775320586207	0.795328459676	0.796028238363	0.6904752192	0.687651720316	0.00342121692787	0.0993411222499
IRF1	0.876927353785	0.0711025449074	0.00695174948169	0.0695378171197	0.27895305942	0.275483406706	0.281106865411	0.187064737904	0.183314601601	0.0695378171197	0.0170624084489
JUN	0.70375016811	0.35317184355	0.111089174664	0.00549436944785	0.743183526894	0.768528923452	0.766679101571	0.672595957153	0.640528333135	0.00553913510456	0.15534601147
JUND	0.744622666669	0.194951382723	0.0109874594893	0.00891829326202	0.565896712168	0.579057031506	0.576078980912	0.468652331315	0.442262497003	0.009054930395	0.0788849052277
MAFF	0.627273230589	0.0437133580919	0.00649883029184	0.0470288877547	0.175788716877	0.178538872446	0.178097149043	0.137328082598	0.124594757533	0.047605434119	0.0234744728828
MAFK	0.607781675024	0.0587866876504	0.0125396831261	0.0439678877617	0.218733329393	0.223245168449	0.222525084415	0.172965016046	0.158305903027	0.0444890020171	0.0323194279226
MAX	0.45307600016	0.308865931149	0.00592395179694	0.000892653007288	0.707327375721	0.720813657661	0.712481530413	0.583517192685	0.590351276987	0.000933205443336	0.208636290495
MEF2A	0.817226869474	0.188186492273	0.0109896735214	0.0137682516291	0.545010733439	0.547174957666	0.548408737941	0.452746780693	0.416921210238	0.0136417286431	0.0465777054035
MYC	0.266216093732	0.502194965823	0.00295579577951	0.00123677771924	0.869899793546	0.908120057823	0.890214525445	0.815577964763	0.816947744711	0.00136177121214	0.254755044217
NFE2	0.563238926177	0.231145228174	0.0506151213948	0.162226386399	0.686478330945	0.717421594677	0.711439423415	0.593602122289	0.548791400217	0.162226386399	0.0849680592459
NFYA	0.4442794763	0.307316350711	0.0274599661774	0.0167134684845	0.654464136585	0.714156027517	0.713146439234	0.590349604359	0.599712012235	0.0167134684845	0.0725504728897
NFYB	0.39409043756	0.135335559575	0.01305179616	0.0548426474437	0.410396299964	0.438520904984	0.437198227065	0.321358538102	0.336971084055	0.055299788016	0.0541375112024
NR2F2	0.592578609471	0.183563885495	0.00729924603728	0.00180748462023	0.610100149419	0.618688171035	0.618605378298	0.523541440509	0.469057233772	0.00211231242467	0.088991999995
NRF1	0.358511386411	0.823595982057	0.597361688579	0.550059829764	0.77561060894	0.932985545555	0.934027364964	0.923414676383	0.879983022246	0.56290977715	0.735752493445
PU1	0.560204927134	0.0900744127316	0.00544278175755	0.0586182839903	0.323790673814	0.328485416534	0.328218323988	0.260678060994	0.231610206632	0.0590459599475	0.0476098810051
RAD21	0.146943213521	0.532363736183	0.197357175	0.446042076847	0.862634257782	0.890596080818	0.886920538	0.804719492688	0.768077777858	0.447221782327	0.581042941246
