FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	PIQ_99_H1hesc_protection_mean	PIQ_99_H1hesc_protection_median	PIQ_99_H1hesc_protection_std	PIQ_99_K562_protection_mean	PIQ_99_K562_protection_median	PIQ_99_K562_protection_std	PIQ_99_protection_ks_stat	PIQ_99_protection_ks_pvalue	PIQ_99_H1hesc_tc_mean	PIQ_99_H1hesc_tc_median	PIQ_99_H1hesc_tc_std	PIQ_99_K562_tc_mean	PIQ_99_K562_tc_median	PIQ_99_K562_tc_std	PIQ_99_tc_ks_stat	PIQ_99_tc_ks_pvalue	PIQ_99_H1hesc_fos_mean	PIQ_99_H1hesc_fos_median	PIQ_99_H1hesc_fos_std	PIQ_99_K562_fos_mean	PIQ_99_K562_fos_median	PIQ_99_K562_fos_std	PIQ_99_fos_ks_stat	PIQ_99_fos_ks_pvalue	PIQ_99_H1hesc_flr_mean	PIQ_99_H1hesc_flr_median	PIQ_99_H1hesc_flr_std	PIQ_99_K562_flr_mean	PIQ_99_K562_flr_median	PIQ_99_K562_flr_std	PIQ_99_flr_ks_stat	PIQ_99_flr_ks_pvalue
FOXC1	0.183250754	6.6542359444	6.8374866984	0.119143052829	0.0747651762445	0.0951041359501	0.0727752370417	0.0548038229709	0.0603325870842	-0.0607943255566	126.848561231	0.652572397111	0.657969792846	0.0598946191555	0.629202622545	0.640129640321	0.025976712498	-0.236601290198	2.48939824344	0.518010033784	0.493591328007	0.143580249893	0.493840097569	0.488996401692	0.136328905129	-0.0184210526316	0.225588709095	0.167003001361	0.169346984742	0.0184963977314	0.175843098442	0.172513649795	0.0673227545104	0.0354830183692	9.74709466161
NRF1	0.2133622169	6.468081	6.6814432169	0.0309922810293	0.0230408862016	0.0232001784223	0.0523328179949	0.0398033502975	0.0313977323726	0.0247111256687	300.0	0.609267421409	0.624182281996	0.0775164905273	0.608145941461	0.612882066156	0.0392899280009	-0.320929608168	10.2067157022	0.353650520999	0.346897902194	0.0376623388595	0.353777209778	0.348750649408	0.055820093383	0.0673118454004	12.6546624045	0.316688367928	0.316805668556	0.0360038762485	0.32918941359	0.322266586084	0.059417561944	0.165084470968	139.064819246
HNF4A	0.2292460529	4.6226812222	4.8519272751	0.0714682934149	0.0625448917981	0.0200441992162	0.0932501989877	0.0814759280994	0.0292378521202	0.0820389593676	300.0	0.687901346569	0.692448128447	0.0687516714899	0.622261631406	0.6374338709	0.0353810537818	-0.025731544436	110.055598639	0.299795995643	0.294208495002	0.0480465198818	0.297936080008	0.292710363783	0.0340841739148	-0.00646439123254	6.73871667021	0.297751529553	0.298808623857	0.0238782642148	0.305366251528	0.302248176329	0.0589002945587	0.0706055692313	172.869570811
LHX3	0.2294760397	5.8396682778	6.0691443175	0.0320080487633	0.024428372197	0.0206846412958	0.0537311108356	0.0410119206336	0.0291606392549	0.149421119984	300.0	0.55359078873	0.55868605172	0.0401520106792	0.625653014859	0.645856430385	0.0791084952312	0.125942978971	44.7894123797	0.309456676075	0.304040026118	0.0289207124014	0.314717472588	0.306754985573	0.0578852857763	0.0833124986529	11.1466335583	0.294468060243	0.299500318754	0.0254575523259	0.30845699333	0.304708442911	0.0551343178813	0.169534028458	124.993738044
FOXL1	0.2431875291	6.5360874444	6.7792749735	0.0456302802511	0.036732786105	0.03277521285	0.0268397159511	0.0204721950438	0.0235053239517	-0.0501865716126	300.0	0.652331977648	0.66167275958	0.07169892792	0.62888941548	0.643579574571	0.0513148664381	-0.318420766166	4.56060171434	0.605497442147	0.60129284496	0.0318845117549	0.611146484869	0.606813136152	0.0570374030794	0.155030703826	20.9263126247	0.194498687721	0.131641914213	0.174548603273	0.367367427395	0.384000440874	0.187623719342	0.334011232902	10.4958151541
RUNX2	0.2524618492	4.7753810556	5.0278429048	0.0974675244785	0.0836037868036	0.0336540810848	0.129077183821	0.110926501213	0.0463764102539	0.025671698401	300.0	0.623937392199	0.63573522733	0.0415666419614	0.703105553494	0.709432600239	0.0682765924051	0.0855399738072	160.727280202	0.488044906393	0.484046112518	0.0369759364909	0.493327473482	0.487308128096	0.0469242782714	0.0405654482974	15.3844244133	0.293911021017	0.296102350818	0.0274991673434	0.300385470186	0.29930163183	0.0629149655405	0.0630477526338	165.290331062
FOXI1	0.2527243095	4.8473536111	5.1000779206	0.0362494664008	0.0269709282698	0.0239192671708	0.0594652550662	0.0460713788638	0.0343783347089	0.0173949346364	300.0	0.571443906487	0.578430438523	0.0421061673305	0.628161534928	0.640823400665	0.0678236563295	0.0486502980875	71.6644565432	0.458876685241	0.454172184284	0.0389350845485	0.46346908616	0.458272541916	0.0529994096218	0.0823462777813	21.0222992652	0.314120610583	0.317828924555	0.0218503955459	0.325042012631	0.3244529944	0.0501795441453	0.114634857938	177.147492435
FOXA2	0.2621107354	5.80296	6.0650707354	0.0404305966694	0.0325221977978	0.0213569088309	0.0628575256541	0.0517259620061	0.0313068838644	0.0768420388024	300.0	0.627938054463	0.639344568337	0.0648982245333	0.619834453984	0.625091522245	0.0361968661236	-0.294084738267	10.7599023835	0.421996685581	0.412539471585	0.0494738730838	0.425469682683	0.416469874209	0.0687234834309	0.0831236011332	14.4436814059	0.338210599611	0.340480436697	0.0218597296982	0.341406201397	0.343403157456	0.0453610798581	0.0260280807196	73.041114422
HSF1	0.2691316561	6.99869	7.2678216561	0.0363527036436	0.0275482012307	0.0246822402528	0.062161673104	0.0497831386441	0.033508187459	0.108584218316	300.0	0.6654178269	0.669704479938	0.0713079582277	0.620289943479	0.634765620253	0.0377720893968	-0.177715614994	44.6006254873	0.450102757656	0.443266698395	0.0625605408715	0.452703214604	0.447546871103	0.0675034627185	0.0126767950805	5.80544958986	0.328496081377	0.329302248596	0.0226903186515	0.330397496319	0.331756798958	0.0602423922009	0.0157155854909	68.7033858011
E2F4	0.2733595026	8.0240553333	8.297414836	0.106356053617	0.092314314382	0.0451593186433	0.0753616984823	0.0662056195849	0.0305479494705	-0.01527561606	300.0	0.595354043274	0.60661232993	0.0318919739835	0.738075813441	0.741161928618	0.0654114339392	0.376233363538	300.0	0.470900642907	0.467007953963	0.0549497917278	0.469206059686	0.463586375487	0.0440474056683	-0.0181166371711	3.90695501262	0.33507695916	0.337325787546	0.0268792397401	0.357866783052	0.345017775448	0.100558931574	0.118447608683	300.0
ZNF143	0.2803748095	6.154257	6.4346318095	0.0705244002806	0.0595101520825	0.0299226819831	0.0535145347224	0.0466864794226	0.0228518984406	-0.00277180522678	300.0	0.625759134883	0.640961144698	0.0423651428264	0.707078735835	0.712616153685	0.0716455457494	0.126909484719	96.5244239912	0.50620927963	0.500529163274	0.0327353347821	0.509901946623	0.505465387135	0.0526279496379	0.0884565400199	11.1252694644	0.34509376534	0.34472111059	0.0256694010144	0.351424990022	0.348179276319	0.0629738266177	0.104130601428	102.507752697
FOXP1	0.2832819392	6.9324866111	7.2157685503	0.0365049745416	0.0310010790848	0.0205640748761	0.0548417646829	0.0428605879532	0.0286427244667	0.0113679750498	300.0	0.652307576684	0.659716021174	0.0626621468989	0.632623521307	0.646040392286	0.0345450228183	-0.362516620815	17.5881261413	0.470056314032	0.46579133027	0.0254400858504	0.473165000089	0.470088249259	0.0365390152837	0.0855580579277	49.8848961858	0.386159217584	0.388593422582	0.0228932120009	0.39067271755	0.392752115716	0.0506076120137	0.0622056118804	300.0
FEV	0.287073381	6.4151153333	6.7021887143	0.0741782425352	0.0628801136275	0.0343160520844	0.0505076648375	0.0433830847687	0.0246944716267	-0.00856875038217	300.0	0.602623924101	0.603596998993	0.0757957164982	0.587693118963	0.597001693176	0.0366468828994	-0.341987877499	18.6120275248	0.338047538993	0.328404983976	0.0506755857635	0.343251948038	0.331684036795	0.0646678411681	0.0700532968654	9.51853529441	0.339778031341	0.336762287678	0.0271640716966	0.351370949036	0.349763907606	0.0730242410194	0.0856884266665	180.969718158
TFAP2A	0.3036580992	3.46334025	3.7669983492	0.119928558988	0.109142300347	0.0292352168248	0.15049888273	0.134069024303	0.0413563685984	0.0625355098688	300.0	0.622807800121	0.636007091595	0.0348635411694	0.744452885502	0.748171027432	0.0681762056063	0.312544087869	300.0	0.544750301887	0.540161861606	0.064635360618	0.542356546108	0.5381182245	0.0558839341972	-0.0380999749824	6.77974273937	0.304763524849	0.307480342659	0.0270413841435	0.315433614038	0.311550959092	0.0750116471357	0.0947880609016	300.0
FOXQ1	0.3141935317	6.1010293889	6.4152229206	0.0261053092949	0.0204748168993	0.0204587866479	0.0458622017976	0.0383949735469	0.029624388019	0.0553424861501	300.0	0.474505885357	0.482790126566	0.0418006357475	0.602314731584	0.623354210557	0.0859471453329	0.274640989363	74.6791573486	0.312522620501	0.306519020381	0.0302172816457	0.314239408945	0.306989749791	0.0520235209458	0.0846485168434	10.6525656284	0.334280815316	0.337734695478	0.026120233899	0.337232050349	0.340518282946	0.0457082114096	0.0499335120417	51.6347079659
ELF5	0.3373030741	3.2673951111	3.6046981852	0.0734645880327	0.0623604782499	0.0355546285029	0.0505110814775	0.0433632129757	0.0265458607318	-0.0608980685552	300.0	0.668774384815	0.674791636849	0.0714588932767	0.621817036326	0.634330483822	0.0441657658347	-0.162636826378	39.7379322519	0.561953414591	0.558114076072	0.0396306354555	0.571411982621	0.564200805308	0.0580755220004	0.172190405046	19.656830373	0.289929645207	0.294497299349	0.0252120573837	0.29955116686	0.298852607695	0.0628032200964	0.064518964383	118.434728344
ZNF263	0.3405215608	6.3759042222	6.7164257831	0.074133030795	0.0679824418976	0.032768146132	0.0549297525679	0.048920723357	0.0244066504346	-0.142309709514	300.0	0.612082999058	0.623446615984	0.03212353468	0.745052854437	0.748534044982	0.0661772749999	0.369448502706	300.0	0.426121195843	0.423240842321	0.0256928766737	0.430511072045	0.427651545385	0.0354782397831	0.0700360812513	74.4563049956	0.336132805008	0.336965717966	0.0254462682007	0.349259600587	0.345212518722	0.0667407350457	0.107022575858	300.0
E2F3	0.3468039153	7.6233014444	7.9701053598	0.079274553054	0.0674652777644	0.0370858310978	0.0581045863609	0.0495915979884	0.0289259039788	-0.0749896470679	300.0	0.608804407322	0.621177010551	0.03368183405	0.743130831347	0.746733370478	0.0669450927284	0.362575588962	300.0	0.467596903129	0.46219644792	0.0407528945708	0.469718280861	0.467317680267	0.0473604460989	0.00546489324223	11.066130975	0.310399183277	0.311888930103	0.0283199852491	0.332291556636	0.319947300092	0.0887862509206	0.143824303137	300.0
PAX4	0.3612699048	4.8246142222	5.185884127	0.083427500196	0.0861764065208	0.0403029385399	0.0505953846004	0.0509953443659	0.0301794603117	-0.0428451094745	300.0	0.68906307389	0.69551726149	0.0614972600593	0.635853226707	0.649794226595	0.0371148550391	-0.087125689438	86.2735254445	0.223048369866	0.217115692109	0.050738658583	0.220899252253	0.215287728797	0.0341972846246	-0.00229815299572	9.31424716485	0.163380779065	0.142723328481	0.116918727096	0.279363781591	0.252415997443	0.174337835204	0.193647004466	18.248282989
ESRRA	0.3644815	7.2754227222	7.6399042222	0.0650278259004	0.0588898581126	0.0203734036537	0.0865728204919	0.0778905266467	0.0293926645253	0.00979988541974	300.0	0.636346524866	0.644637974158	0.0781936302774	0.611683417933	0.630161709922	0.0423283745794	-0.328732010804	11.5497340902	0.279970037861	0.274257941365	0.0622757034646	0.279610317168	0.274151802675	0.0513676999982	-0.0510144386358	2.58299621494	0.289651936481	0.290796971559	0.0241503439993	0.300089501241	0.295202466252	0.0601738373571	0.134955120792	196.095889323
T	0.3738660185	5.3688017222	5.7426677407	0.0443505398258	0.0341150450336	0.0319113643096	0.0679974492096	0.0513315485289	0.0385939028397	0.0706529463457	300.0	0.548120721116	0.554770552793	0.0402270758217	0.608490283349	0.624523393136	0.0843855087663	0.0904768521506	52.0941930359	0.586189741638	0.574673530044	0.0818037963235	0.590264615135	0.576096543237	0.0845530104575	0.0581856540084	4.79622688926	0.269583892108	0.27040828782	0.0221703806653	0.283657594423	0.276054578378	0.0545048171475	0.175215102553	99.7170595145
EN1	0.419525881	5.5023358333	5.9218617143	0.0765572333084	0.0619779908606	0.0430141244604	0.110000236029	0.0833306473893	0.0575426548137	0.0286208082819	300.0	0.479191766628	0.483407130573	0.0400265218034	0.601288341051	0.618315304795	0.0877883664848	0.240918384202	85.9353242016	0.482906851687	0.475384467492	0.0564202940559	0.485686930072	0.481286602521	0.0652564983426	0.0834523393742	9.12200920522	0.313836083607	0.31405259677	0.0263743697985	0.321354387208	0.318451636987	0.0629878980088	0.129036401642	78.9608008975
FOXD1	0.4319428095	4.8520043333	5.2839471429	0.0621333531328	0.0548127810108	0.0422718633497	0.107260905536	0.0967143923855	0.0655443508593	0.0312410097895	300.0	0.470681344569	0.475806834234	0.0435159631046	0.592076305848	0.611574519811	0.0886773745778	0.247943887102	76.4213951104	0.352336210092	0.34507636048	0.0346212973926	0.360893350715	0.349439392144	0.0641208428923	0.116691663542	10.5609701525	0.280927861941	0.28457846643	0.0262334746577	0.289095894194	0.290156565023	0.0507948716112	0.113667233414	93.9760906559
HLTF	0.4444497063	8.3729281667	8.817377873	0.0533880625356	0.0447008188126	0.020487621684	0.0753410561448	0.0638966702181	0.0303163757475	0.0631985798008	300.0	0.62190113858	0.634325186128	0.034263736278	0.746366364224	0.750624214901	0.0675720374263	0.354714543352	300.0	0.544031407019	0.540848419123	0.0639145120082	0.540980047001	0.53594739102	0.0542611195847	-0.0117174945904	5.73484776149	0.277313755314	0.280281033411	0.0267195392114	0.291817684659	0.285423441699	0.0708058580072	0.146415159257	300.0
MAX	0.460274119	6.1784626111	6.6387367302	0.0335899141499	0.02395166	0.0218603588896	0.0596283609598	0.0455665135938	0.0338532205363	0.118354654702	300.0	0.563853449859	0.570717192046	0.0404211973174	0.619932954136	0.637447513578	0.0763970742042	0.0448112779651	68.7810346552	0.382148727701	0.377116392305	0.0389181678907	0.387421773504	0.381071026563	0.0584185921884	0.0501910189098	23.6227212864	0.316517515918	0.318398980891	0.026616445429	0.318949549049	0.320801077923	0.0535391724352	0.0416711242238	69.3230069716
CDX2	0.4654728386	5.6034792778	6.0689521164	0.0778030621664	0.0614923609099	0.0512473858172	0.128568214408	0.102479359036	0.0761349983815	0.0530523025715	300.0	0.62465497938	0.64100795486	0.0700140278786	0.61446058674	0.619405028026	0.0352714052357	-0.246667103877	9.89100817635	0.314595514645	0.307963457107	0.0361997967643	0.321433246306	0.312047074752	0.0639320925614	0.0728734357675	10.093265168	0.310310299165	0.312960170899	0.0350940222113	0.315517548229	0.317333727714	0.0551695990855	0.0987101184292	64.8490819831
FOXO3	0.5266289947	5.4082502222	5.9348792169	0.063123186457	0.0572975229328	0.0404080840405	0.0413217248729	0.0343914539989	0.0284928703424	-0.0979648444353	300.0	0.622572544389	0.637109490735	0.0734877615062	0.617845230752	0.623814551094	0.0372133807803	-0.262182184147	16.4555833701	0.244135831481	0.235935641032	0.0523310931193	0.247524185921	0.238309488857	0.0733312914367	0.0225124617049	6.81805901678	0.310408974875	0.311886282193	0.0226618195678	0.318658046165	0.316852592513	0.0529841860753	0.152788136129	180.657227915
THAP1	0.5344718069	5.8000158333	6.3344876402	0.0722763295346	0.0608554513154	0.0364726312807	0.0522438224907	0.0442947796855	0.0285746313427	-0.0757902781298	300.0	0.62461895004	0.636312421085	0.0365587766203	0.728999814042	0.734384748856	0.064474686073	0.261445801953	300.0	0.317405571068	0.307885834875	0.0595694987341	0.320010226269	0.311677021202	0.0665404	0.00542843263835	12.8985898146	0.321452608913	0.321851367868	0.0228222058946	0.333465103152	0.332626409234	0.0534565231796	0.161249506246	300.0
SREBF1	0.6178158188	7.1390808056	7.7568966243	0.0570378082631	0.0498561740948	0.025137331461	0.0744517294582	0.0598398432124	0.0331728939693	0.00106244928764	300.0	0.66311285124	0.668343836937	0.0759846563701	0.607523906713	0.619974267219	0.0380766074502	-0.102833027533	47.2179127729	0.590877247378	0.58541599973	0.0352609603706	0.597216598183	0.594319371291	0.0532970476207	0.1082221103	22.9593089982	0.310935602424	0.312937660011	0.0247127895909	0.324960864169	0.318534038984	0.0718163075555	0.168042100521	188.312235528
GFI1	0.6229520794	4.7750645556	5.3980166349	0.0300736956449	0.0231128358824	0.0220512410608	0.0548701546811	0.0426276303773	0.0356044203839	0.0180442610464	300.0	0.627987531952	0.631128041972	0.089168183959	0.581245447223	0.595880457086	0.0398346027912	-0.198433841697	28.1522795735	0.305997982614	0.29933745888	0.0498217126176	0.312734700703	0.301369191663	0.0829311943263	0.0425263119293	5.72734632863	0.306220742881	0.309792784267	0.0316134813613	0.337360676428	0.31882548544	0.10184969446	0.315457417024	300.0
GATA4	0.633933381	5.2971232222	5.9310566032	0.0372022563183	0.0290696405568	0.0287157577143	0.0724068652846	0.0583287369849	0.0412792520183	0.168300505294	300.0	0.488876661742	0.491791543499	0.0371303438796	0.587868339224	0.594893900098	0.0717899245011	0.218312714938	70.973833005	0.401452978698	0.396148460226	0.0474715187564	0.412347560111	0.401648893059	0.0693502899359	0.108464809338	8.77709024589	0.298615315575	0.299803415807	0.0235597346153	0.305096443562	0.3046357435	0.0620597954569	0.121808701227	132.193309808
ZBTB33	0.648920373	7.0321475	7.681067873	0.153039999972	0.134662028263	0.0540510925636	0.207010559246	0.182686660768	0.0727806739792	0.0806278223744	300.0	0.583625597711	0.593273182836	0.0334995394575	0.676389268975	0.679029378042	0.0685416214469	0.177688937427	289.269176575	0.266041853204	0.255826910942	0.101180177726	0.263980846769	0.25192256951	0.0782509963478	-0.0486805979256	0.442394018914	0.320048667439	0.320329576612	0.0328189758294	0.342426798742	0.326870314252	0.126219185861	0.074600797588	94.686014151
FOSL1	0.7027668783	5.9053088889	6.6080757672	0.0701614164614	0.0582014338553	0.0395819867138	0.126897467383	0.104205654194	0.0650423049865	0.182705926125	300.0	0.607449061761	0.614639713375	0.0614678992618	0.60589770625	0.60876422557	0.0380867580604	-0.342020073701	4.33558102068	0.324883303212	0.308170790474	0.0786023505042	0.327162195077	0.311889436003	0.0811200327299	0.0514867384998	4.68642719816	0.29468681152	0.295708771266	0.0236578752222	0.304600146333	0.306949073187	0.0473993211567	0.196824972253	300.0
FOXA1	0.7202825794	5.2266942778	5.9469768571	0.0469017122517	0.0380616809123	0.0223442015467	0.0703988161534	0.0578652798028	0.0320248783306	0.0917827615511	300.0	0.630828691469	0.645225596301	0.0682133033059	0.618998555389	0.625617320931	0.0365411852083	-0.236925799032	16.3767811092	0.367968449138	0.359907184714	0.0436276663148	0.372967655588	0.365159666298	0.0621771047882	0.0981815496152	18.7874926478	0.324803628552	0.325291206271	0.0218956090342	0.334832225801	0.337760767247	0.0492899347395	0.167828791638	265.425009715
FOXF2	0.7380687725	5.0133983333	5.7514671058	0.0346017719234	0.0261653076133	0.0206583939737	0.0561733486864	0.0461122854784	0.031373968677	0.106264830465	300.0	0.499804304378	0.505599772568	0.0434266271955	0.594961176274	0.610123257014	0.082497943676	0.216079763204	79.6524025663	0.47599916115	0.462967148717	0.0552150466359	0.479573788519	0.471432692299	0.0702782084537	0.144956206584	16.0195474095	0.28699777073	0.286134999013	0.0222156506236	0.299088361595	0.300013013075	0.0571033449282	0.15152207409	136.009319005
ELK1	0.7458734788	7.0989505	7.8448239788	0.0764323510626	0.0630635284516	0.0403504355956	0.115942425183	0.0971111265257	0.053988931541	0.0634642795774	300.0	0.6211426458	0.623423241829	0.0724236407626	0.576880157018	0.588340155633	0.0350450679743	-0.174881967617	74.2004075304	0.427342791757	0.415835157888	0.106198234296	0.423384104196	0.41423841917	0.0987683047585	-0.0514040700258	0.610566734121	0.32017344237	0.322400278332	0.0347045997134	0.336846645534	0.32962008042	0.10878195899	0.0943883223869	132.168180935
RFX2	0.7711111852	5.4421975556	6.2133087407	0.0718259746411	0.0618999223934	0.0376995581927	0.118766532317	0.104766060467	0.0539381974629	0.0550989160095	300.0	0.609410271344	0.621588860717	0.0398972385455	0.716431896201	0.720533305096	0.0725337197971	0.2577500988	300.0	0.360666660273	0.355820590058	0.041293047613	0.368389405223	0.362544266562	0.0572966718993	0.0609087541672	7.57531100935	0.310008668828	0.313038020481	0.0336791478523	0.336550668291	0.321811096166	0.104101560464	0.221859803523	300.0
MAFF	0.8222550873	5.2145415	6.0367965873	0.0768324824755	0.0697889877117	0.0291928569735	0.119479251292	0.105270229944	0.0433604193897	0.191021316098	300.0	0.629964636553	0.639506457476	0.0637561578551	0.608647656715	0.614790460494	0.0396799971259	-0.192731246433	18.8660246246	0.603553378054	0.598528023149	0.0365574055404	0.613323675924	0.609987068027	0.0496644821486	0.21029265303	28.7901839243	0.264821596101	0.270523943341	0.0207542041928	0.278909038206	0.278061170074	0.0556951505873	0.225354921502	300.0
SP2	0.8391561746	5.1814583333	6.0206145079	0.0462653812743	0.0368100428117	0.0317789673632	0.0732250763749	0.0621578151283	0.0426940964409	0.0103425053076	300.0	0.66771827645	0.673836282084	0.0628759708793	0.630067087393	0.642847595041	0.0328689311201	-0.197141868373	57.5208298775	0.633465704193	0.62848955734	0.0329233920897	0.645093871471	0.639698482841	0.0490052930639	0.213010122424	70.5699496401	0.325173811987	0.326759952554	0.0293826950663	0.333136963154	0.333469360144	0.0599221138301	0.165531741699	300.0
