FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Cuellar_85_H1hesc_protection_mean	Cuellar_85_H1hesc_protection_median	Cuellar_85_H1hesc_protection_std	Cuellar_85_K562_protection_mean	Cuellar_85_K562_protection_median	Cuellar_85_K562_protection_std	Cuellar_85_protection_ks_stat	Cuellar_85_protection_ks_pvalue	Cuellar_85_H1hesc_tc_mean	Cuellar_85_H1hesc_tc_median	Cuellar_85_H1hesc_tc_std	Cuellar_85_K562_tc_mean	Cuellar_85_K562_tc_median	Cuellar_85_K562_tc_std	Cuellar_85_tc_ks_stat	Cuellar_85_tc_ks_pvalue	Cuellar_85_H1hesc_fos_mean	Cuellar_85_H1hesc_fos_median	Cuellar_85_H1hesc_fos_std	Cuellar_85_K562_fos_mean	Cuellar_85_K562_fos_median	Cuellar_85_K562_fos_std	Cuellar_85_fos_ks_stat	Cuellar_85_fos_ks_pvalue	Cuellar_85_H1hesc_flr_mean	Cuellar_85_H1hesc_flr_median	Cuellar_85_H1hesc_flr_std	Cuellar_85_K562_flr_mean	Cuellar_85_K562_flr_median	Cuellar_85_K562_flr_std	Cuellar_85_flr_ks_stat	Cuellar_85_flr_ks_pvalue
E2F1	-0.3329436296	7.4081001111	7.0751564815	0.0855965020676	0.0782341598563	0.030703470863	0.132012528118	0.117560162635	0.0556769178576	0.118082667306	-300.0	0.662870603508	0.684212122556	0.0298370871324	0.731902044137	0.738663766776	0.0659571310204	0.138221650242	-300.0	0.236304696135	0.211357193729	0.117834644055	0.117175591279	0.107315262457	0.0550480434926	-0.139839512771	-300.0	0.305224802414	0.302279988197	0.0560148628704	0.343849350218	0.30346192062	0.191123917991	0.00450934778292	-3.56110788928
STAT4	-0.3171848783	2.786079	2.4688941217	0.244972088777	0.221390376749	0.0755660167631	0.175484639546	0.165944097477	0.039867770195	-0.0729424439784	-300.0	0.766661448732	0.771246451087	0.0396300265523	0.69775316406	0.705629362595	0.0172456057048	-0.213130032046	-300.0	0.161426231864	0.130624565292	0.111651051058	0.0709105788229	0.0580701136971	0.0512107683942	-0.111035675442	-300.0	0.272962947105	0.264552902634	0.104801363501	0.289120330526	0.267524192637	0.137024006869	0.0334524463991	-0.469291848982
MAFK	-0.2998918466	6.9924892222	6.6925973757	0.185908810723	0.163412794515	0.0897465867786	0.0874871684237	0.0759662567415	0.0475357083549	-0.100620489501	-300.0	0.69138241051	0.701226640476	0.0183345714175	0.718702544149	0.723352352822	0.0451936163344	0.339987702564	-300.0	0.174121891764	0.149904322588	0.103578372668	0.0452507172453	0.0378699144574	0.029632307177	-0.30740877968	-300.0	0.27046559398	0.250572964501	0.127989770087	0.244004503292	0.243815976766	0.0244896391487	-0.0672445255474	-1.8491013851
NFYA	-0.2796747566	8.3467323333	8.0670575767	0.174038239636	0.162032839606	0.0742194829325	0.093885087691	0.0880632465967	0.0380713329419	-0.0336999307688	-300.0	0.800758106039	0.811819438725	0.0787974105378	0.659603187786	0.687666506224	0.0323370945744	-0.204208323497	-300.0	0.227770169004	0.210822773177	0.157491534415	0.0730330498022	0.0601879257009	0.0524353243459	-0.0457657174325	-300.0	0.434432293477	0.332997439008	0.290122263371	0.320112362573	0.313208247524	0.0936322705546	-0.0902940985522	-8.52456738069
GABPA	-0.261986254	8.661842	8.399855746	0.0760748551781	0.0668632005424	0.0292206299437	0.127151032478	0.110038173498	0.0568208039576	0.00236529464446	-300.0	0.638756706195	0.649048425535	0.0349154785294	0.655712761284	0.683737387769	0.0779192601675	0.185488683665	-300.0	0.224902720863	0.201588164242	0.119197020275	0.0954068066247	0.0849256557225	0.0526700446752	-0.122972901302	-300.0	0.315184637086	0.274767348058	0.194261733601	0.272373117238	0.270373944253	0.0506330987329	-0.0221231528	-4.01515045079
YY1	-0.2405441005	9.2155432222	8.9749991217	0.148610818069	0.131171561268	0.0437001256246	0.213237309283	0.180319249038	0.0839859029097	0.0356362912404	-300.0	0.76872244929	0.77397578066	0.0491716534994	0.688428340739	0.701851493529	0.0230274762348	-0.170497632844	-300.0	0.134081857074	0.10326859025	0.0987593211082	0.0570861922446	0.044908579383	0.042360776915	-0.081617743924	-300.0	0.327100039182	0.304908256027	0.1423177471	0.300427819519	0.295946684686	0.0752778022515	-0.0778703562146	-4.27585222332
KLF4	-0.2292124233	4.3891591111	4.1599466878	0.0896405501457	0.0810839453966	0.0301315987668	0.12791752251	0.110193869915	0.0552692725214	0.207940634394	-300.0	0.759783608983	0.769187211999	0.0652746015573	0.667990229633	0.691351723694	0.0297002146487	-0.0910134802484	-300.0	0.298253066225	0.311425278253	0.171316599614	0.129715107501	0.131212872893	0.0733303953966	-0.0219735120441	-300.0	0.386001993496	0.320324295247	0.222283811231	0.327774677524	0.319739758393	0.0726139793454	-0.0119373671476	-19.6327238829
SRF	-0.2054848492	8.3513662778	8.1458814286	0.189512053517	0.166774282847	0.0928955290315	0.101067964871	0.0967410772344	0.0464898628291	-0.0698165414139	-300.0	0.77407014366	0.778083877857	0.0408689964542	0.696585894361	0.705430799834	0.0179861822278	-0.220636736843	-300.0	0.108894372828	0.0819203204114	0.0874297686357	0.0393251106838	0.0314764383936	0.0308572016966	-0.139052799627	-300.0	0.237574875729	0.22958723789	0.103705055196	0.232746153268	0.226693872232	0.0988388174188	-0.0126373626374	-0.810085931012
STAT3	-0.2035441402	10.0107785	9.8072343598	0.171592510279	0.161693492034	0.0917136875224	0.081424055468	0.0775556192736	0.0413310462489	-0.0213828654843	-294.965686254	0.666544600055	0.67901938461	0.0176258011899	0.67990860256	0.686802529484	0.0604642016803	0.346999615026	-300.0	0.167212003781	0.145564576937	0.108794883715	0.0322912341011	0.0242357490848	0.0272430245677	-0.288617763756	-300.0	0.266052057421	0.245287300122	0.101007731544	0.252480379166	0.243613055485	0.100439716086	-0.107092198582	-2.80095200478
HOXA5	-0.2024921587	3.5496091111	3.3471169524	0.0688872667555	0.0600668176063	0.0366076763352	0.106472951441	0.0925116934362	0.050699981321	0.069482533718	-300.0	0.746989468569	0.751342257029	0.0426367725761	0.688662382457	0.698246994607	0.0211328168434	-0.0815165611346	-300.0	0.134399390228	0.103918141796	0.100846251338	0.0664178350368	0.0520365808014	0.0522461863273	-0.0649857770655	-300.0	0.285520835116	0.274058644413	0.109790036028	0.279184115802	0.273785364662	0.0675896961479	-0.016863362182	-1.86667613932
