FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	TC_H1hesc_protection_mean	TC_H1hesc_protection_median	TC_H1hesc_protection_std	TC_K562_protection_mean	TC_K562_protection_median	TC_K562_protection_std	TC_protection_ks_stat	TC_protection_ks_pvalue	TC_H1hesc_tc_mean	TC_H1hesc_tc_median	TC_H1hesc_tc_std	TC_K562_tc_mean	TC_K562_tc_median	TC_K562_tc_std	TC_tc_ks_stat	TC_tc_ks_pvalue	TC_H1hesc_fos_mean	TC_H1hesc_fos_median	TC_H1hesc_fos_std	TC_K562_fos_mean	TC_K562_fos_median	TC_K562_fos_std	TC_fos_ks_stat	TC_fos_ks_pvalue	TC_H1hesc_flr_mean	TC_H1hesc_flr_median	TC_H1hesc_flr_std	TC_K562_flr_mean	TC_K562_flr_median	TC_K562_flr_std	TC_flr_ks_stat	TC_flr_ks_pvalue
ESRRA	0.3644815	7.2754227222	7.6399042222	0.253657734456	0.229882706684	0.0774023144969	0.182698641346	0.171763536288	0.0414928181346	-0.0547495993941	300.0	0.662034825664	0.667732369616	0.0559204364686	0.651188947614	0.663585128485	0.0277632682525	-0.380380812737	57.4400067237	0.242300546765	0.225745172367	0.0763192723308	0.32218986742	0.253106407494	0.200632006986	0.0247998169755	3.04081897921	0.282886512431	0.282319486081	0.0235916580677	0.28832651342	0.285589190704	0.0606342940803	0.00638038738465	47.0028624098
T	0.3738660185	5.3688017222	5.7426677407	0.0895093772508	0.0677517759494	0.0477122639585	0.168428469493	0.126751595937	0.0946208697356	0.0403240402648	300.0	0.551184041483	0.55975207396	0.0317534983471	0.634737560562	0.648549380477	0.0645779062142	0.269003767353	300.0	0.19917484179	0.187854451319	0.0541485926278	0.251071836899	0.208180499063	0.176632822091	0.0423363711682	1.5550807532	0.280692678276	0.277966463098	0.0515147649581	0.275762636622	0.275212619075	0.0177279951049	-0.0117083488864	22.161940617
EN1	0.419525881	5.5023358333	5.9218617143	0.257337243248	0.21986211871	0.0887324650259	0.189505592383	0.164811241514	0.0523797713876	-0.017289290691	300.0	0.545500003977	0.553758550014	0.0323726390056	0.642855101524	0.658578457848	0.0653364712823	0.302439616531	300.0	0.215452132746	0.20523541401	0.0437991599468	0.254716240463	0.206355159817	0.180852576659	0.0224025974026	1.16088834506	0.232164676857	0.232358459878	0.0149623128795	0.237133314745	0.235161679345	0.0531896043791	0.0109448754815	30.7278025348
FOXD1	0.4319428095	4.8520043333	5.2839471429	0.105338115417	0.0993962866873	0.0389134126006	0.171677353474	0.156345608002	0.0775661328443	0.017951450653	300.0	0.519315373266	0.52946201549	0.0333283745658	0.641325574732	0.657156798649	0.0692116499854	0.355454825989	300.0	0.452720959736	0.446199482355	0.0723462232266	0.476176573739	0.474723708526	0.11964168837	0.1302578019	2.70815822364	0.282348569663	0.282463612066	0.0193362260216	0.287524627158	0.286978568571	0.0376669145412	0.121664529815	123.152892027
HLTF	0.4444497063	8.3729281667	8.817377873	0.0751380843101	0.068895677178	0.0240531231677	0.116468389909	0.101668247535	0.042154134047	0.0548311357821	300.0	0.655737330732	0.669504620282	0.0272953984895	0.726199986663	0.731804369553	0.0570767413237	0.148958646099	300.0	0.440922989697	0.371475239445	0.179654731004	0.387977467588	0.364402830755	0.0685889791074	-0.0184247211896	3.28184202951	0.313785897491	0.309882755504	0.0779611281398	0.307395080197	0.306523170458	0.0271232472208	-0.0118837640888	37.6321650941
MAX	0.460274119	6.1784626111	6.6387367302	0.10932551487	0.0970891402352	0.0436989362456	0.186725174349	0.157647487167	0.0813635337026	0.127084809851	300.0	0.647004534975	0.661098872521	0.062136790378	0.63362112487	0.643049058399	0.0335761260309	-0.148777853723	157.282146663	0.274526094487	0.221224091058	0.186067262565	0.230520077377	0.211878784727	0.0582759317057	-0.00651932337326	1.22209935437	0.310269815045	0.310134641771	0.0222165233099	0.31691469621	0.314668846213	0.048728295473	0.0827502116516	96.140618525
CDX2	0.4654728386	5.6034792778	6.0689521164	0.0797439371617	0.0624219720477	0.0427817610383	0.143915557113	0.115805244073	0.0783949568281	0.0443649795056	300.0	0.648694191986	0.661583843046	0.0589491992126	0.63711481801	0.646321587427	0.031013099093	-0.13725256878	104.768009531	0.379840228849	0.362905298949	0.064423992694	0.404750775429	0.383628300554	0.172298253067	0.0516042780749	1.45684003902	0.305009158425	0.304217359288	0.0266270664508	0.309432324669	0.308309652641	0.0432017381823	0.082190232813	70.6075102759
FOXO3	0.5266289947	5.4082502222	5.9348792169	0.139154286332	0.122252198572	0.0784543498537	0.0797411632806	0.0731838050708	0.0414788840147	-0.116591977746	300.0	0.648562567802	0.661480737668	0.0576495133614	0.636054909244	0.644246399631	0.0283814000902	-0.11424340721	234.645490272	0.314636909916	0.297182890956	0.0711174499162	0.322521508852	0.30656101871	0.147187114685	0.0118852021765	1.65737181873	0.303620765429	0.303757945255	0.0161327424532	0.308176615558	0.307663177913	0.0444003625204	0.0623858694723	96.1680956088
THAP1	0.5344718069	5.8000158333	6.3344876402	0.108125057056	0.0905888779262	0.0546843648767	0.0667670679361	0.058395575484	0.0364474258274	-0.138207154481	300.0	0.658416021523	0.663986089511	0.0576281131216	0.637533781176	0.650679014031	0.0284319482598	-0.328088073174	294.523106728	0.472096994245	0.464070456157	0.0466886510956	0.511046764032	0.481083588574	0.131664685228	0.0137314763783	7.81263881721	0.320621199466	0.32035910221	0.0260231010506	0.32844716242	0.325232766751	0.0665576026275	0.0410471910721	131.627171373
SREBF1	0.6178158188	7.1390808056	7.7568966243	0.229246049964	0.203670253325	0.0882986152862	0.157658421457	0.138458354745	0.0479620281842	-0.0206187898853	300.0	0.705459427007	0.711595553298	0.0603363922214	0.652284071483	0.667785271799	0.0272038301694	-0.0483442485381	300.0	0.305579233739	0.28996888824	0.0669306491206	0.378673399089	0.315683237556	0.175959993202	0.0582864290181	3.48554291158	0.299257058362	0.299055445778	0.0225112654082	0.307735810693	0.303443960356	0.0690197237343	0.068279777175	75.7901863535
