FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	HINTBC_H1hesc_protection_mean	HINTBC_H1hesc_protection_median	HINTBC_H1hesc_protection_std	HINTBC_K562_protection_mean	HINTBC_K562_protection_median	HINTBC_K562_protection_std	HINTBC_protection_ks_stat	HINTBC_protection_ks_pvalue	HINTBC_H1hesc_tc_mean	HINTBC_H1hesc_tc_median	HINTBC_H1hesc_tc_std	HINTBC_K562_tc_mean	HINTBC_K562_tc_median	HINTBC_K562_tc_std	HINTBC_tc_ks_stat	HINTBC_tc_ks_pvalue	HINTBC_H1hesc_fos_mean	HINTBC_H1hesc_fos_median	HINTBC_H1hesc_fos_std	HINTBC_K562_fos_mean	HINTBC_K562_fos_median	HINTBC_K562_fos_std	HINTBC_fos_ks_stat	HINTBC_fos_ks_pvalue	HINTBC_H1hesc_flr_mean	HINTBC_H1hesc_flr_median	HINTBC_H1hesc_flr_std	HINTBC_K562_flr_mean	HINTBC_K562_flr_median	HINTBC_K562_flr_std	HINTBC_flr_ks_stat	HINTBC_flr_ks_pvalue
PAX4	0.3612699048	4.8246142222	5.185884127	0.109750210343	0.080481460582	0.109433896455	0.0576507502661	0.0414971740904	0.0595901959744	-0.00817182030188	300.0	0.435750633263	0.436311479518	0.0170093887924	0.442962301176	0.4412617319	0.0403294014146	0.097272617411	300.0	0.435750633263	0.436311479518	0.0170093887924	0.442962301176	0.4412617319	0.0403294014146	0.097272617411	300.0	0.223995145559	0.203314680963	0.135775614723	0.383591384243	0.40952821094	0.163789652096	0.274081836844	75.6249980944
ESRRA	0.3644815	7.2754227222	7.6399042222	0.0369563564846	0.0274749083291	0.0346937171794	0.0753225924025	0.0587545610474	0.066142686048	0.0422635941857	256.047507001	0.611974296663	0.614368436725	0.0182314394734	0.618360233181	0.619454294546	0.0411624802508	0.094678637284	300.0	0.611974296663	0.614368436725	0.0182314394734	0.618360233181	0.619454294546	0.0411624802508	0.094678637284	300.0	0.264423752505	0.264408595879	0.00229407434888	0.267598992516	0.267553737874	0.00349071843493	0.304395641128	126.527423099
T	0.3738660185	5.3688017222	5.7426677407	0.0645014548877	0.0477328472374	0.0644665932303	0.127007816401	0.100134841461	0.109509639648	0.0502490778609	115.566713688	0.461616500399	0.463097814491	0.02343815705	0.471163422093	0.468787220591	0.057195870076	0.0553559820461	87.026674332	0.461616500399	0.463097814491	0.02343815705	0.471163422093	0.468787220591	0.057195870076	0.0553559820461	87.026674332	0.260412429728	0.260572879333	0.00313712562155	0.263525510558	0.26358415728	0.00371775284035	0.329828221545	104.211533416
EN1	0.419525881	5.5023358333	5.9218617143	0.0892759550352	0.0673669276324	0.0821971605909	0.184778659839	0.135184510793	0.162979079517	0.0452183606178	105.747734302	0.45403247341	0.45787400447	0.0329175485581	0.460826249969	0.461090812529	0.0689795279522	0.0277490933713	71.4124211035	0.45403247341	0.45787400447	0.0329175485581	0.460826249969	0.461090812529	0.0689795279522	0.0277490933713	71.4124211035	0.232498496113	0.232263912926	0.00379079497666	0.235364975896	0.235118422485	0.00449303504725	0.281138545953	84.3515621945
FOXD1	0.4319428095	4.8520043333	5.2839471429	0.0771667425427	0.0618950643339	0.0621214049167	0.153593331027	0.128294626476	0.119136123562	0.0761524986896	92.7470842153	0.523655845217	0.528399846014	0.0212134814571	0.527249835071	0.530643051354	0.0515700005558	0.0266361775447	147.181733478	0.523655845217	0.528399846014	0.0212134814571	0.527249835071	0.530643051354	0.0515700005558	0.0266361775447	147.181733478	0.278802789533	0.278708963192	0.00274272127215	0.282323854204	0.282232867379	0.00330107880254	0.395226379695	118.853423535
HLTF	0.4444497063	8.3729281667	8.817377873	0.0550744911685	0.0409136800855	0.0555458657785	0.111646073851	0.0840529751375	0.10443996638	0.0357981316989	300.0	0.547781852777	0.544868439646	0.029656348122	0.560569308014	0.554488219031	0.0740814172142	0.044877978862	282.18874783	0.547781852777	0.544868439646	0.029656348122	0.560569308014	0.554488219031	0.0740814172142	0.044877978862	282.18874783	0.272231820383	0.272169441211	0.00300282281825	0.27522870933	0.275605467864	0.00689692826678	0.30961949887	144.544405189
MAX	0.460274119	6.1784626111	6.6387367302	0.0849852544247	0.0626945576729	0.0774086306896	0.157320987127	0.120875941273	0.136551214285	0.0252264728357	101.076043912	0.38587218602	0.387065930144	0.0116856366816	0.387229535194	0.387863790674	0.0326490899709	0.0677675497723	260.2492812	0.38587218602	0.387065930144	0.0116856366816	0.387229535194	0.387863790674	0.0326490899709	0.0677675497723	260.2492812	0.308283240294	0.308575739053	0.00242632764563	0.31227197026	0.312494172581	0.0045412223837	0.432174397668	136.162143063
CDX2	0.4654728386	5.6034792778	6.0689521164	0.0971684987409	0.0753058723307	0.0836222642194	0.183798845712	0.150109961214	0.147816448614	0.041824149098	70.4473885488	0.708262088832	0.710224519168	0.0172817650305	0.712618426663	0.713222363329	0.0433956616148	0.109582672573	195.411658877	0.708262088832	0.710224519168	0.0172817650305	0.712618426663	0.713222363329	0.0433956616148	0.109582672573	195.411658877	0.279783150258	0.279866006658	0.00272188926111	0.283076466292	0.283033935549	0.00364897687366	0.380476992358	106.289205275
FOXO3	0.5266289947	5.4082502222	5.9348792169	0.0793794493631	0.0616509252624	0.0681723051247	0.149523997639	0.121488764961	0.123198638838	0.0303726620588	130.688283464	0.567697272836	0.569783243925	0.0182696141533	0.570440349335	0.573664087449	0.0423242798384	0.0933999007898	300.0	0.567697272836	0.569783243925	0.0182696141533	0.570440349335	0.573664087449	0.0423242798384	0.0933999007898	300.0	0.303695310219	0.30375565098	0.00243949168264	0.308030010571	0.30797813333	0.00345157661115	0.469543393908	199.559934364
THAP1	0.5344718069	5.8000158333	6.3344876402	0.0502279484043	0.0382383085494	0.0444251171617	0.100763865627	0.0772874214494	0.0882219863599	0.0447821862212	300.0	0.543719642418	0.542667166629	0.0191924731116	0.556067219747	0.554326313313	0.0440646220907	0.143871043422	300.0	0.543719642418	0.542667166629	0.0191924731116	0.556067219747	0.554326313313	0.0440646220907	0.143871043422	300.0	0.281983495428	0.281977117077	0.00227583692838	0.285953377973	0.286012742855	0.0035228406203	0.425134771429	300.0
