FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	HINTBCN_H1hesc_protection_mean	HINTBCN_H1hesc_protection_median	HINTBCN_H1hesc_protection_std	HINTBCN_K562_protection_mean	HINTBCN_K562_protection_median	HINTBCN_K562_protection_std	HINTBCN_protection_ks_stat	HINTBCN_protection_ks_pvalue	HINTBCN_H1hesc_tc_mean	HINTBCN_H1hesc_tc_median	HINTBCN_H1hesc_tc_std	HINTBCN_K562_tc_mean	HINTBCN_K562_tc_median	HINTBCN_K562_tc_std	HINTBCN_tc_ks_stat	HINTBCN_tc_ks_pvalue	HINTBCN_H1hesc_fos_mean	HINTBCN_H1hesc_fos_median	HINTBCN_H1hesc_fos_std	HINTBCN_K562_fos_mean	HINTBCN_K562_fos_median	HINTBCN_K562_fos_std	HINTBCN_fos_ks_stat	HINTBCN_fos_ks_pvalue	HINTBCN_H1hesc_flr_mean	HINTBCN_H1hesc_flr_median	HINTBCN_H1hesc_flr_std	HINTBCN_K562_flr_mean	HINTBCN_K562_flr_median	HINTBCN_K562_flr_std	HINTBCN_flr_ks_stat	HINTBCN_flr_ks_pvalue
FOXO1	-2.201485627	8.8310241667	6.6295385397	0.13682436197	0.10814078981	0.116396645407	0.100643606838	0.0771160086014	0.089139155764	-0.0365617561183	-60.7566091601	0.725146301903	0.731965206218	0.0631925622892	0.574378597636	0.58437196131	0.0309704056744	-0.519549930666	-259.27190426	0.643805531966	0.645995360559	0.0385065712094	0.617119117666	0.619520491826	0.0172296216236	-0.405667803241	-300.0	0.304474422967	0.304368468602	0.032755515031	0.293674653574	0.29365139697	0.0162046678685	-0.486888715929	-300.0
NR5A2	-2.0764958254	5.4651116667	3.3886158413	0.0578166478122	0.0456363233404	0.0520402394864	0.0372437319549	0.0279375205542	0.0358602084875	-0.0885686644111	-159.257847088	0.571145760917	0.578793721137	0.0307768329462	0.590465110665	0.597499644713	0.0468674235665	0.107263257319	-44.5850895	0.580606113196	0.583284507931	0.0504922097233	0.561699358669	0.563015058154	0.024580137346	-0.208259102175	-300.0	0.282313951364	0.282199443759	0.0337004197298	0.273441329447	0.273049405717	0.0156593961129	-0.443839107171	-300.0
FLII	-1.1177311693	8.8445722222	7.7268410529	0.0680303276851	0.0535820938863	0.0578735140689	0.0461240071803	0.0354637808433	0.0409748734363	-0.0373139653651	-95.7059329042	0.574902353183	0.585566109341	0.0352925997048	0.589912924127	0.599503665622	0.0702932695804	0.250739005466	-7.61650654158	0.549005355138	0.543840978951	0.064862289236	0.540505987361	0.540405838111	0.0231103777507	-0.0657944313898	-300.0	0.24755354249	0.247891436853	0.0393259697567	0.244855316442	0.24422524805	0.0110197542693	-0.186143973519	-300.0
FOXH1	-1.0990882063	7.0327085556	5.9336203492	0.0546377001242	0.0426442663312	0.0493605221204	0.0397066306943	0.0298306140333	0.0369141450543	-0.00197720229941	-34.0899323105	0.639818168781	0.645841469618	0.0843874909744	0.573441977284	0.586821843511	0.0291756902665	-0.279334619617	-118.894783339	0.424076941537	0.425448088029	0.0324513316816	0.416003599339	0.417117304158	0.0128900361129	-0.175600102298	-300.0	0.239377721439	0.239093049739	0.0411657585616	0.237394875334	0.235372562344	0.0122380041615	-0.173409821342	-135.858707142
CREB1	-1.0226017196	9.2302054444	8.2076037249	0.219093789513	0.174722146952	0.168502758553	0.13777248332	0.102354896998	0.121815596758	-0.0746603108276	-35.5489373011	0.576596512137	0.583411422961	0.032729114492	0.593205379763	0.600379984506	0.0407215592209	0.152088470069	-8.68498776571	0.477604432672	0.475152501947	0.0270040630484	0.479893327855	0.479889574615	0.0586994586191	0.0227295506333	-21.0640872319	0.255587389114	0.25522395493	0.03662178458	0.252968539951	0.251824433509	0.0153832013637	-0.146375622023	-112.84083379
EGR2	-0.9853411587	4.5985511111	3.6132099524	0.0813545852537	0.0634315823622	0.0757283816	0.0560364795328	0.0431854908974	0.0519848700443	-0.000863027139292	-300.0	0.625019527899	0.633599672683	0.0506229589493	0.573149459868	0.583482050886	0.0319233805566	-0.159966360863	-300.0	0.461866425111	0.457831770065	0.0287208943506	0.47225219888	0.461000689237	0.0640063325782	0.017975123126	-300.0	0.321193967381	0.319583670293	0.0799285705167	0.320217269921	0.315036322053	0.0310580809614	-0.142182731396	-300.0
REST	-0.9317503519	8.5147308333	7.5829804815	0.0900941994443	0.0720078041915	0.0818081475024	0.0575698193621	0.0436574281254	0.05570377213	-0.0423916825146	-281.997905502	0.622007158484	0.630451631871	0.0548935129603	0.573066252477	0.583467785943	0.033364224861	-0.145044576692	-205.406438937	0.533323541263	0.53354789366	0.0506866282412	0.529370875169	0.527086639591	0.0241954648948	-0.0124555436329	-280.069072834	0.29038692496	0.290554098902	0.0429018649182	0.289368148546	0.287290806171	0.0168704152034	-0.0811011657941	-117.610854574
RFX5	-0.9070030291	7.3384705	6.4314674709	0.0909588858181	0.0716995070933	0.0810734175071	0.0599842339074	0.0452602745122	0.0567035350922	-0.0350346952985	-193.456358056	0.574296926986	0.582664112199	0.0321176284259	0.598497753635	0.607131627798	0.0466285157916	0.103139709545	-55.325142227	0.507018484592	0.502687017496	0.0267092772964	0.507123453039	0.505529620108	0.059474973009	0.0300842250929	-133.111468127	0.30789038345	0.307493562949	0.0551893924877	0.307714098965	0.304046698196	0.0199798748664	-0.114473064464	-166.741945731
SOX3	-0.8815224709	7.0991445556	6.2176220847	0.0733884454503	0.0591457727392	0.0625571948301	0.049553282181	0.0374857827648	0.0439482734416	-0.0292672181951	-100.46725726	0.706753535009	0.71412866261	0.0999459380272	0.571477660668	0.590461745059	0.0308008782556	-0.448705947621	-188.368591923	0.391552915202	0.392883048375	0.0321742940407	0.383354331771	0.385294945958	0.0147442120098	-0.155697758888	-300.0	0.240603709497	0.240169338429	0.0231484700568	0.237070204475	0.237370771657	0.0174763241545	-0.134614152602	-148.474850368
FOXD3	-0.6445018836	6.6675806667	6.0230787831	0.0536873199039	0.0402672491813	0.046700830387	0.0710125558286	0.05731699226	0.0584893929141	0.00995778794022	-43.9716035162	0.713553056953	0.721274810221	0.0811809740964	0.578206354035	0.592805104531	0.0317521100022	-0.44787124278	-300.0	0.4745112352	0.476174124819	0.0230948088603	0.467166129888	0.46905620767	0.0094722625176	-0.169835303701	-300.0	0.316269607722	0.317657060598	0.0321888627284	0.315903990344	0.315302540387	0.0119297880164	-0.0869252275935	-176.877955287
HNF4G	-0.6026098016	2.9244216111	2.3218118095	0.145681318616	0.119276842481	0.121279438734	0.105670942094	0.0782275721508	0.096765320988	-0.0100866862535	-32.7744078868	0.579389590604	0.586872855145	0.0666363727334	0.545615951715	0.550698713159	0.0292974895942	-0.0580047308029	-44.7499585891	0.344155141466	0.345918826666	0.0363004088511	0.340729157089	0.341251203636	0.0137686727101	-0.049152208862	-113.561287286	0.287527082528	0.287047645864	0.031905461678	0.283217504675	0.284286109824	0.0109644464023	-0.151481358001	-120.277222096
SOX9	-0.5931329762	6.5152251667	5.9220921905	0.14733419867	0.114836565011	0.131159970057	0.10334262436	0.0762761844341	0.0948454223029	-0.0057287936946	-33.8230001901	0.709771185397	0.715268498867	0.088045788915	0.583921035104	0.596576858906	0.0262587285516	-0.460242486608	-94.3704018686	0.522911283331	0.522977084603	0.0492691178798	0.512954034744	0.515487198864	0.0220215273961	-0.0982813782429	-150.516027322	0.319945538867	0.31847892525	0.0217308897081	0.315592165062	0.316168837041	0.0205912847641	-0.129240678541	-100.612326272
NKX3-1	-0.5837772725	5.3454291667	4.7616518942	0.0509564946193	0.0369230888347	0.0484854505957	0.0686525603386	0.0535387682823	0.0621723606498	0.0239099775589	-19.1805678723	0.574982353982	0.587549568926	0.032628195497	0.580043590643	0.590512911917	0.0930824890944	0.223023606519	-8.68758255137	0.366386115165	0.368692501934	0.0585129454794	0.362213386641	0.363762083284	0.0226418905631	-0.0531989481115	-88.2288845274	0.238859465121	0.238488970976	0.0357142733446	0.23798141344	0.237427849981	0.0105135133261	-0.00699060371538	-27.0099098835
INSM1	-0.5296980979	6.7003285	6.1706304021	0.0570137734195	0.0453581895887	0.0526021324637	0.0375709027117	0.0287336092033	0.0348503084498	-0.00711967432411	-221.586345099	0.669478805058	0.676948976867	0.0586847728057	0.582161014988	0.591463904757	0.0292392721469	-0.383938965087	-300.0	0.606675199751	0.603869096159	0.0223128171763	0.607836033893	0.606827675398	0.0445922986314	0.0608171512779	-166.693998444	0.296797122898	0.295193940427	0.0211273280775	0.298344567789	0.296314431927	0.0546916480143	0.0422708686355	-31.1751689031
ERG	-0.4811139683	3.9203937778	3.4392798095	0.139051300066	0.111757199567	0.115245330611	0.0911318328557	0.0699259552125	0.0805939139064	-0.0343239362821	-300.0	0.632364962909	0.639009106253	0.0651061363603	0.580844858386	0.590697575675	0.0307157683342	-0.141086698936	-216.893590402	0.551705595431	0.550915724284	0.0197753986716	0.554031803923	0.551221159776	0.044069467975	0.0124102394869	-300.0	0.293493384042	0.292079018488	0.0153111255696	0.294677820924	0.293247648402	0.0518980152713	0.0271216471752	-70.5495441555
STAT1	-0.4733130873	8.6787737222	8.2054606349	0.0726435320799	0.059052974589	0.0596817285689	0.0477704810276	0.0361582311599	0.0438032763483	-0.0410081897318	-134.273554653	0.65730953767	0.665158419608	0.0780206699208	0.57665432884	0.590887705095	0.0330321477955	-0.346827935591	-161.261914746	0.456853841464	0.455696726636	0.014552302473	0.459382873646	0.455755859536	0.0332417740468	0.00590643468625	-133.552611502	0.300958448428	0.301208130342	0.0356551177041	0.300675567632	0.299974181856	0.010660052432	-0.0183744894952	-74.3952966677
USF1	-0.4081315146	7.4895785833	7.0814470688	0.0829308266741	0.0660074174284	0.0729853203328	0.0519062051108	0.0395811949426	0.0513937465294	-0.0358354400815	-140.69292567	0.665399522426	0.671535172095	0.0613408428326	0.578990638035	0.59000597393	0.0295129145462	-0.364021051626	-229.696177648	0.542502875908	0.534382699631	0.0626016397399	0.533229680727	0.530794565312	0.0267938470455	-0.0299241657117	-174.899772589	0.321833625951	0.320372251876	0.0189972176516	0.328035026204	0.320927621991	0.0849739267144	0.0492174858951	-32.3236804269
