FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	FS_H1hesc_protection_mean	FS_H1hesc_protection_median	FS_H1hesc_protection_std	FS_K562_protection_mean	FS_K562_protection_median	FS_K562_protection_std	FS_protection_ks_stat	FS_protection_ks_pvalue	FS_H1hesc_tc_mean	FS_H1hesc_tc_median	FS_H1hesc_tc_std	FS_K562_tc_mean	FS_K562_tc_median	FS_K562_tc_std	FS_tc_ks_stat	FS_tc_ks_pvalue	FS_H1hesc_fos_mean	FS_H1hesc_fos_median	FS_H1hesc_fos_std	FS_K562_fos_mean	FS_K562_fos_median	FS_K562_fos_std	FS_fos_ks_stat	FS_fos_ks_pvalue	FS_H1hesc_flr_mean	FS_H1hesc_flr_median	FS_H1hesc_flr_std	FS_K562_flr_mean	FS_K562_flr_median	FS_K562_flr_std	FS_flr_ks_stat	FS_flr_ks_pvalue
SOX3	-0.8815224709	7.0991445556	6.2176220847	0.0118858724108	0.00938911383123	0.0090702176998	0.0186067523951	0.0148245267157	0.0143314013998	0.138435928629	-300.0	0.678763217146	0.689029597052	0.0244543320682	0.701042089807	0.706028073512	0.0486787118689	0.428973183586	-300.0	0.575436721539	0.575434476674	0.000563462283098	0.581966329797	0.581957670685	0.000904485373398	0.00117576888662	-300.0	0.341472136564	0.341257541351	0.0617314098111	0.337200504337	0.335423174802	0.0256641266289	-0.00514092962663	-78.3366099084
FOXD3	-0.6445018836	6.6675806667	6.0230787831	0.00994492727721	0.00740318539789	0.00801810843827	0.0182655090256	0.0140762484005	0.0134100261004	0.195739863127	-300.0	0.686322677211	0.695826112916	0.0469691770223	0.628370739976	0.635073671591	0.0196208849755	-0.145759751727	-300.0	0.532698321574	0.532677731477	0.000444397727058	0.536410045226	0.536403925901	0.00100357993853	0.00210805949752	-300.0	0.361716826243	0.362306618394	0.0247546583702	0.365463498172	0.363303785988	0.0720601522714	0.017215176628	-65.4279047303
HNF4G	-0.6026098016	2.9244216111	2.3218118095	0.0146045548159	0.0117669164302	0.00912369266661	0.0249124127535	0.0197893196855	0.0154621616427	0.0231235971996	-300.0	0.684243250682	0.691633427218	0.019617976912	0.684550064761	0.694737514291	0.0496145971676	0.271351923629	-300.0	0.531429443689	0.531409195088	0.00096490851654	0.534729644046	0.534719837169	0.00113568920476	0.0021418660794	-300.0	0.325293110476	0.324651145091	0.052470298865	0.316336657314	0.317725077064	0.0197657515597	-0.0716528749432	-91.795070358
SOX9	-0.5931329762	6.5152251667	5.9220921905	0.0177900503831	0.0112706459265	0.0177351253867	0.0349105380749	0.0236050629816	0.0289387336046	0.129797824695	-300.0	0.682609698287	0.692057577694	0.0237552164107	0.701500834964	0.706108859431	0.0481561122876	0.457435528107	-225.443648888	0.557627138523	0.557631276263	0.000391434391095	0.561017836211	0.561008786746	0.000479073947896	0.00121223579336	-300.0	0.321438342653	0.320452000161	0.052004249328	0.314503086541	0.314632162139	0.0256181622982	-0.036802281515	-67.684022589
NKX3-1	-0.5837772725	5.3454291667	4.7616518942	0.0131603694621	0.0067550931889	0.013779890507	0.0282433363992	0.0192712329358	0.0253599670415	0.151054085262	-300.0	0.694122797237	0.702804272878	0.014575543534	0.71387008306	0.720971939011	0.0385192058086	0.387838441793	-300.0	0.551558983517	0.551861751412	0.00199090296224	0.555049986926	0.555110058228	0.00693913154006	0.0462824239784	-300.0	0.29050373761	0.290589839294	0.0154586738057	0.293886277424	0.290924657668	0.0546726203361	0.065869995563	-21.9005751624
INSM1	-0.5296980979	6.7003285	6.1706304021	0.020003888253	0.0170484354452	0.0115775839553	0.0301058700799	0.0253684405911	0.0186241164818	0.259854825251	-300.0	0.791765717964	0.797992473663	0.0455130185605	0.683983613855	0.696358604987	0.0229403371629	-0.244103422448	-300.0	0.573425206767	0.573411559667	0.00134305180287	0.576258128765	0.576220916109	0.00165140114911	0.00911542374143	-300.0	0.298293410611	0.296306787591	0.0409965839932	0.313454464154	0.297051791374	0.125980063096	0.0425745629223	-55.2790102427
ERG	-0.4811139683	3.9203937778	3.4392798095	0.00544678304282	0.00418339253004	0.00458088151227	0.00874972722467	0.00691478964961	0.00752075705003	0.234632239524	-300.0	0.686792880217	0.697691030292	0.0238993981715	0.735965203814	0.741615093859	0.0459912545653	0.0359727565505	-300.0	0.599719191233	0.599711090615	0.000865895142792	0.602130403482	0.602118177678	0.00124118416302	0.0039158044551	-300.0	0.308318663508	0.307668444	0.0332064430734	0.317930530877	0.308127287483	0.107928417283	0.0423092710425	-81.7108443443
STAT1	-0.4733130873	8.6787737222	8.2054606349	0.0107344964252	0.00861170990661	0.00726323405605	0.0186587924031	0.0148939553477	0.0126208274217	0.111405771181	-300.0	0.764277410519	0.768997985613	0.0481708992213	0.680914324115	0.691812554269	0.0229073312865	-0.179080166913	-300.0	0.500583064234	0.50057299719	0.000815979715598	0.502506758501	0.50251102418	0.00142532743204	0.00324312955504	-300.0	0.33581378068	0.335328492609	0.0304839994428	0.33856252069	0.33621110567	0.0816102370382	0.0183288440133	-55.9396555984
USF1	-0.4081315146	7.4895785833	7.0814470688	0.0135616721844	0.0108759952023	0.0080578222474	0.0218509855074	0.0181131400337	0.0141226926693	0.140931078287	-300.0	0.650392850983	0.672354245187	0.0747959543752	0.59835094204	0.60627743428	0.0325031552382	-0.0048865632212	-300.0	0.605603318216	0.60558818553	0.00103552352402	0.607234802567	0.607214090429	0.00165564734384	0.00911013284641	-300.0	0.338722648746	0.336657061666	0.0351971007551	0.355753118201	0.337778060707	0.136569736625	0.0139890492414	-67.7111588519
EGR1	-0.3866965344	8.4510034444	8.0643069101	0.00857199322796	0.00763140859056	0.00424461273422	0.0120760012597	0.0105381161095	0.00703396981049	0.288388889703	-300.0	0.764112621987	0.771582705722	0.0608154519349	0.665402363473	0.685472523787	0.0285906663837	-0.126052088966	-300.0	0.590142483019	0.590113463592	0.00196744162371	0.591546727933	0.591467697046	0.00206601568287	0.0197152103398	-300.0	0.32708860995	0.325226241744	0.0516088998462	0.356339026945	0.325540174194	0.17067951698	0.0458836047952	-169.855930839
