FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	PWM_H1hesc_protection_mean	PWM_H1hesc_protection_median	PWM_H1hesc_protection_std	PWM_K562_protection_mean	PWM_K562_protection_median	PWM_K562_protection_std	PWM_protection_ks_stat	PWM_protection_ks_pvalue	PWM_H1hesc_tc_mean	PWM_H1hesc_tc_median	PWM_H1hesc_tc_std	PWM_K562_tc_mean	PWM_K562_tc_median	PWM_K562_tc_std	PWM_tc_ks_stat	PWM_tc_ks_pvalue	PWM_H1hesc_fos_mean	PWM_H1hesc_fos_median	PWM_H1hesc_fos_std	PWM_K562_fos_mean	PWM_K562_fos_median	PWM_K562_fos_std	PWM_fos_ks_stat	PWM_fos_ks_pvalue	PWM_H1hesc_flr_mean	PWM_H1hesc_flr_median	PWM_H1hesc_flr_std	PWM_K562_flr_mean	PWM_K562_flr_median	PWM_K562_flr_std	PWM_flr_ks_stat	PWM_flr_ks_pvalue
ESR1	0.1494903069	3.9774695556	4.1269598624	0.0156867668697	0.0124291937324	0.0137623797056	0.00862113838656	0.00670482183731	0.00793480597401	-0.277324612806	300.0	0.568939882284	0.576919465713	0.0201611546939	0.692341521767	0.702634136036	0.0508558988678	0.121172414575	300.0	0.478991554252	0.476996386677	0.027859116618	0.504411640652	0.500790093703	0.051792726514	0.10516840044	222.537221539	0.171473092532	0.170189882338	0.0460124689868	0.170617978747	0.16970931948	0.020108113505	-0.0142719037247	3.97921756977
NR2C2	0.1552944868	7.6477857778	7.8030802646	0.025145349981	0.021176443127	0.0179400833409	0.0161177389993	0.0136428803631	0.0108717974235	-0.273856326075	300.0	0.564527295314	0.573107296421	0.033188479136	0.663481818296	0.684672369775	0.0728545210375	0.0249453562862	300.0	0.349247901172	0.331945262933	0.0295904708171	0.355844826557	0.350944543857	0.0918454683949	0.015419398203	300.0	0.202194205945	0.202282365299	0.0232629005549	0.205682358634	0.203934348635	0.0492306827485	0.0253354288219	9.99705495037
FOXC1	0.183250754	6.6542359444	6.8374866984	0.0697119826962	0.0478598961296	0.062870187675	0.0323802695432	0.0197903736093	0.0355644108542	-0.211606818724	300.0	0.475699205493	0.483572149303	0.0232526560803	0.683582533053	0.696278164693	0.0575853440956	0.144303421161	300.0	0.502845132811	0.498541844039	0.0460311858087	0.55699632817	0.555511905925	0.091507468162	0.153097131451	60.3636752973	0.379731842001	0.368263598274	0.108131798077	0.411621869016	0.376898802728	0.14240064793	0.0191216584834	0.270954180992
NRF1	0.2133622169	6.468081	6.6814432169	0.0219746005644	0.0171560759261	0.0140956611841	0.012557479203	0.00962765466571	0.00760993303686	-0.0852683259861	300.0	0.703043603562	0.715456504636	0.0473913875227	0.663574391002	0.672125924107	0.0185736267331	-0.0155014706505	300.0	0.345616994612	0.342570576885	0.0262040102119	0.368650729151	0.365952459364	0.0523033245001	0.10922972338	215.486389571	0.715669092881	0.723786602896	0.0605085145202	0.727206759191	0.731147094998	0.0744083379987	0.0838990049135	8.03359387721
HNF4A	0.2292460529	4.6226812222	4.8519272751	0.0317875994592	0.0276081462634	0.0155002531281	0.0215794063164	0.018698411501	0.00898308378904	-0.194381957877	300.0	0.525749234265	0.5298159161	0.0265148666455	0.673225955631	0.686157963233	0.0578492410408	0.11564099162	300.0	0.365966184155	0.357028375101	0.0284410495564	0.390502123186	0.386851717366	0.0779142928279	0.102417242246	300.0	0.454761653861	0.445937898485	0.0768276888399	0.443892980365	0.441301611141	0.0706095600411	-0.00816644511757	3.91797174714
LHX3	0.2294760397	5.8396682778	6.0691443175	0.0405894871668	0.0321599136616	0.0271309797829	0.0205885140983	0.016023541651	0.0146264751821	-0.137730760293	300.0	0.590959123935	0.598870469352	0.0185462661376	0.701426600651	0.71016068619	0.0436181700773	0.130759323643	300.0	0.294341553602	0.293721405144	0.0369954194489	0.332560252539	0.327284383327	0.0581312064764	0.152890798577	115.05593541	0.282092654304	0.284072643293	0.0243972148024	0.290472098061	0.287504865926	0.0655413276518	0.132774202737	13.442321951
FOXL1	0.2431875291	6.5360874444	6.7792749735	0.014537027122	0.0118548175874	0.0135313691449	0.00774225160529	0.00635098784423	0.00810121441006	-0.256584095003	300.0	0.701809943107	0.712111188777	0.04356997079	0.664666963312	0.672781960008	0.017492896577	-0.0265897618586	300.0	0.307207067038	0.303782877657	0.0307398158056	0.33306468836	0.328632015286	0.0519287953985	0.14640604049	118.445239253	0.434201947704	0.409786779218	0.296446010558	0.59974365863	0.676153438608	0.332976940088	0.171781305115	4.48986150302
RUNX2	0.2524618492	4.7753810556	5.0278429048	0.0232469939622	0.0193703516371	0.0123850852883	0.0145911885888	0.011996979654	0.00725971312487	-0.179399442226	300.0	0.71517751364	0.722023097506	0.0451214931053	0.697923116683	0.708687157656	0.0181598052385	-0.555417376672	300.0	0.540790782532	0.535042489694	0.0242308485635	0.561083623395	0.557258161401	0.0578167177709	0.115314160359	300.0	0.14860801922	0.146151887167	0.0554346599769	0.146323904837	0.144937982232	0.0403022501436	-0.00930123678358	5.24287067756
FOXI1	0.2527243095	4.8473536111	5.1000779206	0.0450327452534	0.0362931470622	0.0269124929952	0.0259640767426	0.0209201147769	0.0147342621471	-0.145520210988	300.0	0.613954386311	0.620873454863	0.0198209331512	0.698839493059	0.708292431446	0.0453065084654	0.10164856858	300.0	0.511426783155	0.509476554824	0.0317251478369	0.539109404231	0.536195573711	0.0555833947758	0.0965156246576	197.241507954	0.54941065153	0.55483164219	0.0531949300247	0.564229347671	0.562914866242	0.0578868295728	0.114019581978	22.23034837
FOXA2	0.2621107354	5.80296	6.0650707354	0.0242939709336	0.0192922265981	0.0149415509082	0.0135917059636	0.0112936143135	0.00793149033412	-0.104420361734	300.0	0.693882675158	0.703758428526	0.0442507604373	0.664697131606	0.672312964396	0.0183470402707	-0.103093201417	300.0	0.519316338534	0.516067894189	0.0279785211579	0.543606828293	0.540807892337	0.0523319773446	0.10459130768	210.067183998	0.170624516535	0.168007562466	0.0666826532426	0.167756016525	0.166423367168	0.0225078964379	-0.0226660482089	2.8397213112
HSF1	0.2691316561	6.99869	7.2678216561	0.0447656616897	0.0368913720653	0.0276676029965	0.0257675530939	0.0204229939457	0.0165175755758	-0.175138417571	300.0	0.508840214841	0.514001089706	0.027052829647	0.67929538502	0.693617852535	0.0615396485324	0.12216490578	300.0	0.408047249429	0.404190381369	0.0280256807406	0.440326916016	0.436507505398	0.0672085951573	0.149994940339	300.0	0.458133015714	0.458977545497	0.0853664751009	0.451850578569	0.453664923906	0.0646736244229	-0.0304347826087	1.54616839957
E2F4	0.2733595026	8.0240553333	8.297414836	0.0355201584432	0.0306307754776	0.0195852049161	0.024966925526	0.0220288570354	0.011605105406	-0.323333070701	300.0	0.652455552495	0.678223201237	0.0790222197956	0.651043617444	0.657822853703	0.0347183845006	-0.492099659039	300.0	0.490086611895	0.47951028952	0.097255702585	0.484621029419	0.478538426079	0.0317895361491	-0.0928109026679	220.101063689	0.68901603048	0.690863295648	0.0616078598683	0.697281297575	0.698817224989	0.0648960176093	0.103105899441	10.830760407
ZNF143	0.2803748095	6.154257	6.4346318095	0.0685297034939	0.0580170667355	0.0335665062104	0.0449500324565	0.0385794962953	0.0186162727992	-0.161742965492	300.0	0.615490991793	0.619227218553	0.022108317508	0.690545203558	0.701338797776	0.0508900959913	0.0620308252772	300.0	0.42353322702	0.413792145387	0.0352908653677	0.453227287337	0.448573422415	0.0863198368405	0.116458747782	256.498650211	0.496660363162	0.497233193447	0.0608320032209	0.509229933587	0.505858622254	0.0680909151145	0.0854905437352	6.07521187171
FOXP1	0.2832819392	6.9324866111	7.2157685503	0.0210710751396	0.0173335941472	0.0137193382272	0.0122611802011	0.00970700168879	0.00795013956813	-0.238878616115	300.0	0.639619105428	0.647029217708	0.01918596079	0.693105845382	0.703731125478	0.0468921822874	0.017836100756	300.0	0.384933941443	0.382937521812	0.0309974160773	0.412753103901	0.409460424897	0.0541316662139	0.0976311798605	300.0	0.335216992752	0.340189770091	0.0372447319511	0.335151442003	0.337551560051	0.0272367058731	-0.0164791142782	30.9259562735
FEV	0.287073381	6.4151153333	6.7021887143	0.0201730587083	0.0163936300881	0.0135227023983	0.0117335363177	0.00949473768346	0.00777964083683	-0.19131812854	300.0	0.670519040744	0.694995179209	0.0748501811132	0.612221192592	0.623747506686	0.0325648389719	-0.054208241667	300.0	0.371895831194	0.355964253691	0.0402375839112	0.400765581036	0.393781326169	0.0932673127566	0.105595699652	300.0	0.183260393042	0.175926550601	0.0885264849816	0.17352792365	0.174427551318	0.017312633166	-0.00885167464115	1.78009747337
TFAP2A	0.3036580992	3.46334025	3.7669983492	0.0383952060007	0.0341943344908	0.014682376381	0.0274587712146	0.0248954681378	0.00891120979878	-0.200750664455	300.0	0.51844149795	0.525681272618	0.0319421049165	0.670408390996	0.688756891594	0.0680938819489	0.101179878134	300.0	0.455861796143	0.44328004101	0.0240774865112	0.466241433592	0.462843003981	0.0772322953027	0.0540032857055	300.0	0.279863248905	0.28006639436	0.023315028373	0.285280859352	0.283120418278	0.036095939738	0.151071200396	40.8532871611
FOXQ1	0.3141935317	6.1010293889	6.4152229206	0.015325109248	0.0118375323373	0.0129882978215	0.00747938548692	0.00614852498186	0.00703108700658	-0.103013269585	300.0	0.589083908093	0.597637274645	0.019185049513	0.698149253108	0.707959791202	0.0462092931301	0.125586109677	300.0	0.485828529321	0.484947679299	0.0277620708509	0.512847035618	0.510353110018	0.0536473613643	0.0944195834467	113.410832256	0.52068883808	0.524523568274	0.0479140838464	0.536150591212	0.54068623866	0.0759693004595	0.185167464115	12.0977624473
ELF5	0.3373030741	3.2673951111	3.6046981852	0.0195858044632	0.0155641879505	0.0142467248479	0.0114574647131	0.00948612132038	0.00828135555957	-0.217869978499	300.0	0.619890589594	0.628900394188	0.0232104019294	0.687765640062	0.70251323397	0.0573346964487	0.0252371736399	300.0	0.372042085144	0.367846274457	0.0346065627225	0.406835311488	0.402975013743	0.0730368439334	0.132018369279	300.0	0.136174210002	0.135624736313	0.0174534591631	0.146255054015	0.137441589476	0.0931183254101	0.0113548797367	2.35144476965
ZNF263	0.3405215608	6.3759042222	6.7164257831	0.0108706791695	0.0094433004582	0.0063064886276	0.00766947209529	0.00681279648916	0.00380275512321	-0.331458523636	300.0	0.724485774784	0.732471080355	0.0606226306349	0.677961824773	0.696381311537	0.0285498359867	-0.327205068613	300.0	0.494013565269	0.485761937319	0.0214762821433	0.505424420742	0.502229046662	0.0615242090756	0.0390312064639	300.0	0.260699987378	0.261149600928	0.0225911339831	0.264867137643	0.264042208918	0.031451338401	0.0956225492755	181.825062049
E2F3	0.3468039153	7.6233014444	7.9701053598	0.0118137658989	0.00996253108148	0.00882677655221	0.00815652577792	0.0070483723331	0.00518323507191	-0.309170103608	300.0	0.65977945886	0.685908696711	0.0759908539692	0.657903643473	0.666187694501	0.0346253076243	-0.49380950701	300.0	0.484764600619	0.480041939755	0.0896186423213	0.477907864971	0.46580090491	0.0291543386829	-0.0177144974611	300.0	0.58999960204	0.588115363094	0.0420387435736	0.596249589296	0.595216051512	0.0548601640323	0.106284120774	24.8980659166
PAX4	0.3612699048	4.8246142222	5.185884127	0.0261469495156	0.0261997917495	0.0157333832418	0.0151348154584	0.0157955340955	0.00913153169267	-0.188490718966	300.0	0.700395347976	0.709782883964	0.0181311830411	0.753384159888	0.758696230001	0.0420885919331	0.0375541243202	300.0	0.477095813178	0.472712665526	0.0259138729028	0.499024603284	0.496383362	0.0551238420503	0.0831004353812	300.0	0.370353014412	0.306711748418	0.28387259505	0.592844886138	0.424365804497	0.369974831919	0.173529411765	2.93911049983
ESRRA	0.3644815	7.2754227222	7.6399042222	0.0323444897876	0.028594045041	0.0158649069562	0.0215609497719	0.0191703013146	0.00927262671133	-0.208347924267	300.0	0.510349521143	0.514465859333	0.0258571446864	0.679921779918	0.69208561708	0.0578208095001	0.135457386247	300.0	0.559996090388	0.554814075816	0.025463458237	0.583855082632	0.580634337205	0.0657430996626	0.121474847249	300.0	0.548731895605	0.550450899551	0.064349090881	0.556933343491	0.557706692742	0.0694348537493	0.0328376076665	5.66099332055
