FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Neph_H1hesc_protection_mean	Neph_H1hesc_protection_median	Neph_H1hesc_protection_std	Neph_K562_protection_mean	Neph_K562_protection_median	Neph_K562_protection_std	Neph_protection_ks_stat	Neph_protection_ks_pvalue	Neph_H1hesc_tc_mean	Neph_H1hesc_tc_median	Neph_H1hesc_tc_std	Neph_K562_tc_mean	Neph_K562_tc_median	Neph_K562_tc_std	Neph_tc_ks_stat	Neph_tc_ks_pvalue	Neph_H1hesc_fos_mean	Neph_H1hesc_fos_median	Neph_H1hesc_fos_std	Neph_K562_fos_mean	Neph_K562_fos_median	Neph_K562_fos_std	Neph_fos_ks_stat	Neph_fos_ks_pvalue	Neph_H1hesc_flr_mean	Neph_H1hesc_flr_median	Neph_H1hesc_flr_std	Neph_K562_flr_mean	Neph_K562_flr_median	Neph_K562_flr_std	Neph_flr_ks_stat	Neph_flr_ks_pvalue
RXRA	0.0741517989	6.7146771111	6.7888289101	0.0325460354935	0.0218050589607	0.0331797936759	0.0190377494894	0.012495780986	0.0200267806933	-0.014836492012	22.7915835261	0.655797204768	0.668562944788	0.0244789075868	0.755489477557	0.759840620347	0.0491795130122	0.364492890289	300.0	0.594980658086	0.596323621845	0.0145878608972	0.598895675955	0.59995500411	0.0280244989931	0.038991766082	300.0	0.306934986487	0.306092982838	0.035367220028	0.304337282407	0.304425094154	0.0138361558537	-0.00511464092448	292.488423659
HINFP	0.0912427619	7.6395064444	7.7307492063	0.017940296469	0.0105766549673	0.0212597936587	0.0335559576223	0.0223274881076	0.0348156768832	0.114857314612	3.2144514958	0.539460102073	0.54672725663	0.0371234854717	0.595869555644	0.616360295281	0.0851003802182	0.0281251805541	183.346019367	0.426244294828	0.41617968009	0.0725654417852	0.414170699988	0.409813897586	0.034440852201	-0.0845600576093	35.6267251856	0.306196282258	0.306408329411	0.0198429819456	0.311765006405	0.308760024991	0.0644954180317	0.00146007908116	25.4315685055
MYOG	0.0953743757	5.0492238889	5.1445982646	0.126824130813	0.0842720998011	0.117169371131	0.0742442071018	0.0514537348008	0.0756399958958	-0.0120143466562	3.88735573291	0.598793646046	0.629502456046	0.0378096151364	0.71573903619	0.721564259399	0.0928119859532	0.0875865943583	300.0	0.474334697884	0.471323834098	0.0192842737715	0.495619909558	0.47906188663	0.055827428929	0.121712659694	300.0	0.349592957739	0.348506535149	0.0327178377621	0.370511333043	0.35131956601	0.126962568681	0.0236800876259	183.459360871
NKX3-2	0.1025526878	5.7578586667	5.8604113545	0.0224452558672	0.0148397768402	0.0237546087851	0.0373948268833	0.0260285328926	0.0351510846953	0.0103364228458	6.12730342605	0.596150599852	0.602578217256	0.0290039602169	0.639135550898	0.654123512265	0.0593571044459	0.0891269914227	300.0	0.536185171068	0.536738964803	0.0156636036087	0.54038865391	0.54028590069	0.0339913300835	0.0865251350187	300.0	0.329451397683	0.328911432	0.0150163047653	0.332389587678	0.33122927845	0.0330312830152	0.0383005445136	147.745522038
EBF1	0.114694918	3.7254591667	3.8401540847	0.0334087054166	0.0223180074944	0.0332795404193	0.0208582734623	0.0142606850159	0.0217712825835	-0.0392570555992	20.6564789007	0.65272265324	0.665861516117	0.025575097542	0.748079326058	0.749852723421	0.0510120364642	0.357686267353	300.0	0.538922679209	0.536967854743	0.0169083557767	0.544202779247	0.540635422826	0.030069226792	0.00440806510303	300.0	0.301782787684	0.301856327663	0.0142233617424	0.304194328129	0.303851713857	0.0295699954338	0.022679268992	300.0
HNF1B	0.1372934497	3.1828106667	3.3201041164	0.0173060692657	0.0110905584176	0.0174689255236	0.02935139662	0.0205253520584	0.0263419104956	0.0484503005054	9.05833966588	0.607615947493	0.611366696391	0.0218518605907	0.656779484409	0.667952300665	0.0519137924014	0.235724043932	300.0	0.404140402037	0.405964603173	0.0139684250618	0.404743813072	0.408905065072	0.0367315746674	0.153626520511	300.0	0.269903271229	0.269769081238	0.0160157725062	0.271677861324	0.271436689888	0.0337408949156	0.0485915870302	90.9111463065
ESR1	0.1494903069	3.9774695556	4.1269598624	0.0348713324333	0.0229431742436	0.0349261914038	0.0197902071641	0.0130880899251	0.0201905412112	-0.00123975448459	21.2362106555	0.650595865381	0.652076875525	0.0162182282006	0.665058221998	0.674178599435	0.0452955279729	0.0290206608229	300.0	0.466415823781	0.467567223799	0.00910850168648	0.467240960178	0.471058139222	0.0218342050828	0.213173771812	300.0	0.334077806387	0.334236690341	0.0121034265962	0.336393655054	0.336521253644	0.0212488444999	0.1578065036	300.0
NR2C2	0.1552944868	7.6477857778	7.8030802646	0.0346529353498	0.0239718324533	0.0346085202995	0.0210735661766	0.0141386761568	0.0227189375219	-0.0112957688458	22.8659912309	0.648242749147	0.664872485034	0.0275784644417	0.74221006097	0.745204771723	0.058484125648	0.307774951497	300.0	0.491355899863	0.490757657596	0.0188219287999	0.497997539353	0.494473798065	0.0355572784263	0.0151101713023	300.0	0.314241256315	0.314341867133	0.0149562230769	0.318374315375	0.316932807105	0.0410266798	0.0663011368271	300.0
FOXC1	0.183250754	6.6542359444	6.8374866984	0.0761035835167	0.0570750690893	0.0702806583355	0.13298814875	0.0893025364581	0.136294162479	0.026871903275	1.55452362015	0.595789975886	0.601755929944	0.0278147538157	0.64210328605	0.654941023782	0.0521258957736	0.1101505918	195.028878027	0.608395979085	0.609604334583	0.0203307141915	0.610827547932	0.614532116823	0.0445700957021	0.111495351627	250.838765278	0.236554737531	0.237241951685	0.0115387840655	0.23938904151	0.238872126159	0.0361918150437	0.0278707012205	33.1127193439
NRF1	0.2133622169	6.468081	6.6814432169	0.0319444021786	0.0202515845526	0.0334040287665	0.0201100985876	0.0138546153426	0.0193334690773	-0.0402904302741	8.95718279629	0.658867938754	0.671820843362	0.0533973514996	0.651748185813	0.657777932288	0.0252532185267	-0.156913108416	300.0	0.492527965267	0.493752839728	0.0138064104079	0.494122827157	0.498016202041	0.0340733386711	0.203016622818	300.0	0.339961965297	0.339992765756	0.0162317549237	0.34447376641	0.343172274205	0.0320144332214	0.194762398964	300.0
