CELL	FACTOR	BinDNase_80	BinDNase_85	BinDNase_90	BinDNase_95	BinDNase_99	BinDNase_rank	Boyle	Centipede_80	Centipede_85	Centipede_90	Centipede_95	Centipede_99	Cuellar_80	Cuellar_85	Cuellar_90	Cuellar_95	Cuellar_99	DNase2TF_TC	DNase2TF_rank	FLR_80	FLR_85	FLR_90	FLR_95	FLR_99	FS	HINTBCN	HINTBC	HINT	Neph	PIQ_80	PIQ_85	PIQ_90	PIQ_95	PIQ_99	PWM	Protection	TC	Wellington_TC	Wellington_rank
H1hesc	SRF	0.192230716781	0.201447828956	0.163337517921	0.16541377828	0.17645187883	0.186213392733	0.22128710876	0.088215120204	0.131897653301	0.133562403558	0.13256579465	0.130668608647	0.172195718506	0.172195718506	0.180568519184	0.180568519184	0.180568519184	0.269299179512	0.139852385167	0.120298838479	0.123789207003	0.125873593645	0.125154338897	0.123789207003	0.0155471111254	0.323769584076	0.329644763896	0.309462361607	0.21851063445	0.143879444078	0.194574595534	0.254984098467	0.242547206702	0.223277291948	0.0778212601417	0.0737238805023	0.0946098401536	0.230843531099	0.137517160926
H1hesc	TCF12	0.194651977005	0.21315745891	0.142287138022	0.142780532237	0.169456607726	0.187455596053	0.208884339106	0.0613152759789	0.105826255899	0.106212799556	0.105967914568	0.105469741787	0.0646849215274	0.0646849215274	0.0646849215274	0.0646849215274	0.0646849215274	0.260073424901	0.106078881728	0.0925776804142	0.0968239397085	0.098836422343	0.0981480364229	0.0968239397085	0.0039902438404	0.36792023756	0.368723203921	0.351935903597	0.200355605775	0.112690062444	0.17286453304	0.255255655906	0.242716738822	0.221495019917	0.00319280248312	0.0413675059316	0.0658171241029	0.210225399993	0.101584057062
H1hesc	USF1	0.443598317744	0.443846955564	0.425951468138	0.430968314257	0.429770156564	0.422396751539	0.439616209021	0.318001801677	0.3873976247	0.39163286938	0.388883467675	0.384232018213	0.372969431607	0.372969431607	0.372969431607	0.372969431607	0.372969431607	0.480951039639	0.391560648386	0.361694823853	0.371385067046	0.378666142011	0.375942426591	0.371385067046	0.115330703125	0.536983987009	0.548562145544	0.516863786813	0.438950950708	0.385536948044	0.417110169165	0.452218623204	0.434043313542	0.412160775959	0.133498566298	0.266969974796	0.319242394042	0.444680595904	0.377572866147
H1hesc	USF2	0.615691845503	0.626346042785	0.563542050019	0.56586294376	0.590050848283	0.593748261956	0.619246509175	0.39697245713	0.503977424833	0.505744822093	0.504613306667	0.502438799824	0.409266547454	0.409266547454	0.419097777122	0.419097777122	0.419097777122	0.673747733024	0.500008261424	0.447603704157	0.453925877416	0.457355962866	0.456196134412	0.453925877416	0.0803732968927	0.735895526196	0.741382872961	0.716551466291	0.615786616353	0.507916584525	0.585349926885	0.653699742101	0.634969353159	0.608758156443	0.0382045446285	0.382704853314	0.401016534569	0.63155933205	0.500643819954
H1hesc	YY1	0.556713932612	0.57066968517	0.500790132932	0.502181599778	0.530721118501	0.543579622009	0.560732106173	0.341163585536	0.443438599963	0.444513154946	0.443835822501	0.442482004834	0.366599280574	0.366599280574	0.377002546635	0.377002546635	0.377002546635	0.615046742625	0.441477789509	0.391361797981	0.395279707734	0.397375671627	0.396679060568	0.395279707734	0.034681297995	0.666865996295	0.670799755002	0.654535528773	0.556532063354	0.446831143462	0.528975252299	0.600145955211	0.586466967617	0.565893352113	0.0791175652335	0.251558706726	0.343888398861	0.576617300408	0.444357904701
H1hesc	ZNF143	0.45736105371	0.479832247724	0.3844029804	0.385701894608	0.425024229707	0.451461594783	0.499327953331	0.215722779444	0.319610511691	0.3205220669	0.319906041948	0.319035727668	0.198009152462	0.198009152462	0.198009152462	0.198009152462	0.198009152462	0.561105277585	0.319929240928	0.338615670123	0.342282314301	0.344195782009	0.343572683716	0.342282314301	0.015334472112	0.648637101758	0.651206228926	0.633855084599	0.487150172629	0.17525546848	0.24063110285	0.30551135331	0.299191700207	0.288335696168	0.0385230118864	0.226769999226	0.225064736969	0.517638677601	0.337876175316
K562	ARID3A	0.340192673071	0.376668070573	0.245977870293	0.245986899484	0.297166478356	0.339747736474	0.348106263199	0.104373131092	0.183357276257	0.183366906901	0.183361105495	0.183342805062	0.104361151524	0.104361151524	0.104361151524	0.104361151524	0.104361151524	0.43902405959	0.185596987838	0.180670273884	0.180774493523	0.180827127774	0.180809459736	0.180774493523	0.0137202345091	0.528205624235	0.518771789044	0.504173797425	0.398390643334	0.183332454602	0.296862770658	0.436242320615	0.435279679035	0.432430173279	0.000274277172434	0.0965263586113	0.104361151524	0.35814711884	0.169581106659
K562	ATF1	0.766926107363	0.774421896119	0.727016727585	0.728700315076	0.747631681391	0.752420826885	0.765518547845	0.562340572155	0.674238762199	0.675846469093	0.674860172674	0.672661697919	0.501061201834	0.501061201834	0.501061201834	0.501061201834	0.501061201834	0.811243390008	0.677817048139	0.64537459419	0.654122293336	0.658284815131	0.656874432806	0.654122293336	0.133192651278	0.847097472627	0.851783712578	0.83176606904	0.787595321615	0.620708177913	0.679942665733	0.724528358763	0.712810840878	0.693389177663	0.0949175294132	0.553062478857	0.565311110805	0.779975167674	0.674189872362
K562	ATF3	0.469133295903	0.513653727193	0.348500509427	0.348500713554	0.415438932127	0.468991786593	0.474993669756	0.153190390961	0.264430213755	0.264430400012	0.264430275153	0.264430092846	0.152308029924	0.152308029924	0.152308029924	0.152308029924	0.152308029924	0.598010944187	0.28116404514	0.257323284987	0.257329330974	0.257329637996	0.257329513196	0.257329330974	0.0897199995003	0.63410683568	0.63746048834	0.577434774106	0.467538349139	0.264445527814	0.415466040754	0.581684627316	0.581392166512	0.58121730248	0.00808249692446	0.119114247363	0.153198210299	0.522759298928	0.272013993321
K562	BACH1	0.326428705205	0.351200316425	0.250146845333	0.251314934422	0.29000957591	0.313439970109	0.320151671625	0.112754154253	0.190594809296	0.191421165535	0.190897323604	0.189816634897	0.106841642335	0.106841642335	0.106841642335	0.106841642335	0.106841642335	0.4023140789	0.18371094174	0.162512568432	0.168652585414	0.17092797236	0.170266514653	0.168652585414	0.0200277037532	0.469209462366	0.472058625782	0.449074764843	0.344369674474	0.212751335094	0.311066784952	0.42161513241	0.407130360679	0.379531925041	0.00726001360626	0.134059080298	0.112974572908	0.362611537011	0.198355534828
K562	BHLHE40	0.540638058482	0.553024740073	0.497507781808	0.498083791435	0.522689288337	0.538317905184	0.598693337627	0.364692092178	0.453160401973	0.453667306257	0.453326797021	0.45283473951	0.400301209963	0.400301209963	0.400301209963	0.400301209963	0.400301209963	0.65331311948	0.497179701432	0.455705068871	0.463740926803	0.467924092087	0.466488555323	0.463740926803	0.0396478396508	0.696831691876	0.703256531823	0.681190536914	0.60333886459	0.497534702927	0.569529744813	0.631959016248	0.613394910955	0.585920635792	0.0320473113347	0.328253861504	0.392652378757	0.612441888756	0.489553818975
K562	CCNT2	0.715983012639	0.743548933537	0.623935303888	0.62416146088	0.677232769527	0.711860365243	0.699810495147	0.388980049103	0.539470809522	0.539651885652	0.539542838021	0.539265746938	0.358641241036	0.358641241036	0.358641241036	0.358641241036	0.358641241036	0.77652225182	0.5143423171	0.484773361892	0.48670231359	0.487248639606	0.487083260242	0.48670231359	0.0150847714874	0.824688225836	0.82535064249	0.809956346885	0.739030651319	0.539243021118	0.674995241336	0.783308077064	0.777064464172	0.759151588136	0.0178373899842	0.375445855715	0.388803904066	0.741244050272	0.535780161405
K562	CEBPB	0.348901386794	0.350910347834	0.320962503392	0.324523371697	0.331688397629	0.325968206693	0.362856316483	0.211307027649	0.279794459287	0.282632629673	0.280801759837	0.277505480997	0.238503484838	0.238503484838	0.238503484838	0.238503484838	0.238503484838	0.410378541515	0.296252590366	0.259405385675	0.266530591689	0.271378036394	0.26961411468	0.266530591689	0.0383027294416	0.466891993496	0.47818591722	0.443994167601	0.367352781913	0.290118944173	0.337541565959	0.384904375938	0.368082860016	0.346095884255	0.0830112888992	0.158943781531	0.219682775591	0.372279177036	0.285787158128
