JUN_TP	JUN_FP	JUN_TN	JUN_FN
8.74959699066	1.149	0.293	2.084
8.498	1.141	0.289	2.21337323493
8.127	1.16	0.241	1.77
8.259	1.178	0.279	1.689
8.183	1.152	0.218	1.92090342314
7.837	1.125	0.22	1.934
8.158	1.064	0.257	1.96
8.164	1.195	0.279	1.912
7.453	1.243	0.243	2.242
8.411	1.307	0.237	2.27
8.528	1.156	0.262	2.39812827433
7.837	1.218	0.212	2.143
7.255	1.201	0.23973613814	2.188
7.63	1.131	0.271	2.364
7.05037448758	1.065	0.226	2.048
6.747	1.025	0.254	1.901
6.775	1.108	0.282	1.977
6.438	1.115	0.288	2.21024685964
7.15	1.29164331858	0.377	2.14
6.836	1.23	0.371	2.022
7.25779784164	1.214	0.289	1.91
7.359	1.116	0.312708563961	1.85726961871
6.959	1.167	0.294	1.892
7.59980176651	1.147	0.263	1.904
6.663	1.081	0.266	2.437
6.772	0.998	0.298708563961	1.931
6.991	1.025	0.329	1.693
6.272	1.291	0.275	1.724
5.655	1.76156167713	0.313417127923	2.022
6.08	1.54455443033	0.474	1.704
5.89	1.32554992492	0.302397742817	1.594
6.212	1.77670642025	0.254	1.655
5.795	1.494	0.252	1.551
5.922	1.125	0.226	1.505
6.085	1.074	0.396	1.553
6.052	0.996	0.451	1.678
6.069	0.975	0.342672242187	1.434
5.811	0.939	0.276919620366	1.555
5.644	0.928631932018	0.282	1.486
5.517	1.012	0.217	1.366
5.84	1.001	0.197	1.536
5.3	0.956	0.287	1.372
5.176	0.954	0.27873613814	1.277
5.142	0.885	0.241	1.723
5.50527382787	0.934	0.295	1.501
4.575	0.768	0.302	1.704
4.86945774793	0.777	0.316	1.696
4.842	0.841	0.262	1.67
4.306	0.868	0.286	1.493
4.444	0.871	0.449	1.272
4.296	0.827	0.346	1.601
4.446	0.881928058287	0.229708563961	1.37
4.11139760152	0.999	0.279	1.378
4.29	0.879	0.309326225577	1.374
4.158	0.864	0.26	1.271
3.995	0.918	0.296948059473	1.518
4.169	0.873	0.244	1.383
3.996	0.856	0.257	1.299
3.904	0.88	0.263	1.415
4.017	0.884	0.252708563961	1.464
4.268	0.840503789254	0.22073613814	1.402
4.088	0.856	0.326572997779	1.372
3.942	0.853	0.284910985093	1.333
3.675	0.743	0.249	1.214
3.603	0.827	0.255	1.243
3.682	0.835	0.319291518997	1.28
3.847	0.887591736492	0.301585048143	1.142
