ELK1_TP	ELK1_FP	ELK1_TN	ELK1_FN
9.703	3.256	0.352708563961	6.10576923077
10.007	3.68	0.512190362692	5.42307692308
10.584	3.763	0.356639164994	6.33653846154
9.741	4.00230259611	0.365397729442	6.60576923077
9.873	3.27848960366	0.339	7.24038461538
9.433	3.141	0.32	7.34615384615
9.215	3.013	0.320708563961	6.65384615385
9.067	3.065	0.278143099229	6.23076923077
9.65166934151	3.046	0.262676163075	6.55769230769
9.08	3.04649781402	0.284	5.69230769231
9.057	2.809	0.293	8.19230769231
9.344	2.949	0.285	7.54807692308
8.904	2.922	0.263	5.16346153846
9.105	3.077	0.271	5.54807692308
8.642	2.842	0.249	6.73076923077
8.947	2.88868595472	0.297	5.85576923077
9.364	3.012	0.271	7.10576923077
9.772	2.955	0.25	5.875
9.267	3.644	0.307708563961	6.68269230769
8.604	3.229	0.307	5.92307692308
8.608	2.845	0.309	5.40384615385
9.195	2.838	0.341708563961	7.00961538462
9.48037181425	2.84976534411	0.269	5.55769230769
8.86609975931	2.863	0.303	5.16346153846
8.34881221183	2.799	0.261	4.84615384615
9.326	2.969	0.346	4.56730769231
9.366	2.88	0.3	6.05769230769
9.15519639217	2.875	0.326	8.42307692308
8.715	2.611	0.283	6.75961538462
8.103	2.749	0.363961914173	7.0
8.24544112769	2.724	0.293505461819	7.875
8.349	2.891	0.319	6.80769230769
7.995	2.963	0.237	6.63461538462
8.312	2.801	0.309	10.138894119
8.22288484023	2.813	0.317	6.44230769231
7.479	3.146	0.309	4.99038461538
7.183	4.02318633789	0.343	4.40384615385
7.433	3.012	0.336708563961	4.68269230769
7.92	3.047	0.335	4.99038461538
7.439	3.91308455287	0.271	5.13461538462
7.681	2.95359275767	0.311	4.03846153846
7.364	2.944	0.306	4.84615384615
6.987	3.212	0.306	4.05769230769
7.045	3.016	0.361	4.23076923077
7.6341594041	2.892	0.35	4.63461538462
7.381	3.116	0.332	4.44230769231
7.407	2.886	0.277	4.54807692308
7.08303182492	3.044	0.328075165899	4.63461538462
7.131	2.82	0.284	4.78846153846
7.26953961295	3.02	0.298	4.13461538462
6.923	2.642	0.292	5.06730769231
7.151	2.733	0.336	4.76923076923
7.957	2.535	0.256	4.43269230769
6.93	2.631	0.282	4.79807692308
6.843	2.776	0.27	4.86538461538
7.01	2.567	0.257	4.33653846154
6.451	2.883	0.306	4.69230769231
6.75004876796	2.493	0.274	4.11538461538
6.796	2.90544839285	0.274	3.03846153846
7.032	2.738	0.374	3.5
6.638	2.6	0.348	3.29807692308
6.381	2.76264725688	0.327	3.27884615385
6.866	2.68	0.331708563961	3.49038461538
6.079	2.628	0.298	3.31730769231
5.866	2.584	0.274	3.66346153846
6.1967098343	2.254	0.264	4.48076923077
6.07	2.621	0.323	3.375
