MYC_TP	MYC_FP	MYC_TN	MYC_FN
5.034	1.017	0.208293612104	4.09768211921
5.787	1.117	0.26173613814	4.28311258278
6.268	1.137	0.257	4.12748344371
6.354	1.262	0.217708563961	4.37748344371
6.426	1.278	0.26	4.75
6.553	1.276	0.273	4.21357615894
6.11	1.336	0.264	4.06125827815
6.303	1.248	0.27973613814	4.39072847682
5.445	1.266	0.277	3.85264900662
5.14160785938	1.006	0.245225370124	4.03973509934
4.57	1.088	0.243	3.61589403974
5.528	1.18249157604	0.278	5.21523178808
5.025	1.18867609035	0.247	4.70198675497
6.232	1.333	0.283	4.66225165563
6.80239893783	1.397	0.26313206173	5.63245033113
6.147	1.233	0.257708563961	5.13741721854
5.988	1.228	0.289	4.69536423841
6.333	1.331	0.288	4.55960264901
5.397	1.383	0.235	4.2417218543
5.139	1.107	0.266	4.56953642384
4.968	1.155	0.241	4.89006855406
5.191	1.163	0.276	4.36092715232
4.837	1.086	0.298	4.63013477922
5.11	1.074	0.32	4.48863414031
5.369	1.025	0.294	5.02814569536
5.51	0.922	0.291	4.49834437086
5.541	1.03735097905	0.277	4.21688741722
5.421	0.972	0.367844572311	4.40231788079
5.641	0.98435097905	0.308	4.45529801325
5.542	1.048	0.254	4.3642384106
5.135	1.023	0.295	4.29635761589
5.34103248531	1.345	0.301	4.42715231788
5.10573729491	1.02	0.24	4.22185430464
4.87803248531	1.122	0.227708563961	4.19205298013
4.72619550104	1.116	0.283	4.15728476821
4.906	0.95	0.303	4.0298013245
5.448	1.141	0.283	3.95364238411
4.938	1.192	0.279	4.77483443709
5.172	1.014	0.28	5.1357615894
5.3171726708	1.047	0.292322845543	4.52317880795
5.116	0.926	0.279	4.28145695364
5.49	0.952850974641	0.262532771404	4.34602649007
4.982	1.075	0.286	3.88245033113
4.699	0.925	0.244	4.15728476821
4.879	0.918	0.308	3.75522760039
4.684	0.852	0.297	3.82284768212
5.197	0.878858737335	0.275	4.04635761589
4.96665586156	0.771	0.278	3.80298013245
4.711	0.833280164503	0.243	3.72516556291
4.57	0.764	0.275	3.76821192053
4.746	0.795	0.298	3.76821192053
4.97689744878	0.812	0.263	4.05132450331
4.91	0.842	0.264	3.79966887417
4.85293434117	0.876830943795	0.245	4.06456953642
4.672	0.773	0.273	4.16390728477
4.892	0.775	0.228	4.48178807947
5.149	0.706	0.283	4.41225165563
5.226	0.825	0.251708563961	3.71026490066
5.22956824401	0.866	0.28	4.3261589404
5.143	0.737	0.243708563961	3.80403111284
4.707	0.803	0.287	3.66721854305
4.865	0.793	0.278	3.74668874172
4.531	0.842	0.252	4.0678807947
4.54	0.997	0.243	4.15231788079
4.513	0.793	0.252	4.11754966887
4.839	0.798099132643	0.265	3.78145695364
4.784	0.808	0.249454936837	3.66556291391
4.902	0.909	0.253	3.99337748344
4.547	0.843	0.259	3.81427873993
4.691	0.777	0.292	3.91556291391
4.063	0.742	0.225778764997	3.98344370861
4.575	0.777	0.257	3.95364238411
4.372	0.855	0.238	3.84768211921
4.62138248937	0.815	0.236191074978	4.04635761589
4.177	0.994	0.239	4.50662251656
4.31938248937	1.158	0.358719494609	4.14238410596
4.143	0.73	0.254	4.0082781457
4.5833219326	0.961	0.269	3.32947019868
4.099	0.726	0.274	3.62251655629
4.044	0.862	0.237	3.63245033113
4.095	0.795	0.255	3.51986754967
4.205	0.833	0.275708563961	3.60761589404
4.46295525217	0.761	0.245708563961	3.84933774834
4.257	0.826	0.242	3.56622516556
4.371	0.809	0.275708563961	3.5761589404
4.43426987005	0.848	0.254	3.7159442091
4.021	0.765	0.246	3.69370860927
4.498	0.853	0.244	3.92880794702
3.9208920015	0.784	0.283	3.56953642384
4.1512784198	0.735	0.199	3.49538034066
3.90131104977	0.787	0.26273613814	3.28311258278
3.594	0.801	0.255	3.21523178808
3.66389116188	0.725	0.275708563961	3.73675496689
