NFYA_TP	NFYA_FP	NFYA_TN	NFYA_FN
24.3437992598	5.28546539801	0.291	3.70065518069
19.4486449076	4.387	0.265	2.54911397627
18.5842219891	4.82306951182	0.23	2.46033494111
16.1278801173	4.64789294734	0.275	2.00543442145
13.9079910223	3.654	0.293	1.703
16.461334947	4.61088833875	0.255069448631	2.70771190028
17.7980706924	3.69860360865	0.277	2.26346092545
12.9840360548	2.992	0.304	1.826
8.18327972428	2.401	0.267	1.38590406082
9.256	2.739	0.435503869481	1.528
11.3600664417	3.158	0.379882581396	1.672
9.00035739333	2.74447386759	0.383	1.662
7.066	1.943	0.248918314244	1.36876070191
9.345	2.81070856396	0.336279859382	1.73243277195
7.8	2.459	0.299	1.532
3.836	1.362	0.161	0.716881504854
5.46	1.244	0.155	1.008
5.406	1.48	0.203	1.106
4.063	1.226	0.158	0.874
7.642	2.61357387845	0.255902570031	1.6805648364
8.364	2.785	0.299414695822	1.73225222564
6.136	2.112	0.287	1.41812569188
9.431	2.88	0.288	2.076
11.039	3.516	0.266	1.86918067612
9.219	2.623	0.305491059327	1.671
8.173	2.325	0.339	1.3857302891
12.5041732204	3.213	0.274708563961	2.03665619733
16.8029869715	4.52585574371	0.319568697854	2.231
18.3430883544	3.88844716814	0.316589018325	2.80822406464
15.8902094523	3.23225588765	0.252	1.99657177924
16.5105608869	3.703	0.308	2.98351960655
17.1510104132	3.61380343258	0.359908842813	2.84864247794
18.0814120862	4.04163633233	0.308252487507	2.59735824326
23.8357290698	5.36875799002	0.305593320497	3.73193449203
15.873	3.43860792927	0.304	2.87527662611
13.1934881612	2.651	0.212708563961	1.852
19.6414820379	3.65625460582	0.298	2.51469774801
19.9929968958	3.42614853069	0.249	2.44224338143
17.1928312932	3.87655461593	0.209	2.228
22.6248700303	4.021	0.252874391074	3.65205693622
25.2425353073	4.30006792843	0.355	3.38041671463
21.2744876834	4.55149666333	0.311	4.62551100752
18.9313524573	4.296	0.2831992693	4.20969080916
16.4362333103	4.295	0.248	2.598
15.2868448475	3.805	0.285	2.71033442697
14.1946187669	3.67484295389	0.289	2.20969113999
14.4316124724	3.74760320184	0.258	2.51212569188
14.4612417558	4.41906887886	0.257	2.307
16.1920173072	3.36431034991	0.259739622401	2.638
15.5937479684	3.90043329131	0.257	2.2106260661
17.1297243936	3.667	0.249	2.58536401305
17.9273676831	3.467	0.242585048143	2.259
15.922	3.371	0.255	2.20486531428
15.414	3.88520809976	0.259	1.86702796147
12.264302475	3.51561213465	0.324	1.48989357521
11.3002177724	3.091	0.262	1.159
11.1684652693	2.91899711347	0.292868216866	1.29532547252
11.5395089049	2.85	0.273	1.63352463169
11.712	3.089	0.272	1.83803206984
12.69	3.65687346776	0.252	1.62411519299
12.869227015	2.83605708882	0.3	1.73187439107
12.737	3.069	0.313874391074	2.1131104341
12.398	2.928	0.355	1.81411723575
11.99	2.832	0.539585048143	1.77
10.563	3.077	0.232	1.90641735869
11.323	3.11680116668	0.261	1.66316458587
9.958	2.267	0.384	1.60270231151
8.91368441864	2.332	0.325	1.66719376237
10.57	2.634	0.238	1.51015799726
11.0606097994	2.625	0.316	1.393
11.736	3.07	0.399	1.575
12.4705376601	2.752	0.271	1.843
12.067	2.541	0.306	1.80942068682
12.8689879382	3.18684084441	0.324	2.017
10.914	2.98271777199	0.282	1.798
10.3957332064	2.622	0.298062161056	1.603
9.55574929719	2.259	0.269	1.76658504814
9.35	2.256	0.291	1.57462446357
9.121	2.297	0.409	1.398
9.44068372372	2.513	0.253	1.548
10.368	2.52364181122	0.26	2.22810782895
10.4766682977	2.608	0.269	1.63823721004
9.943	2.945	0.279178759759	1.73601582797
10.111	2.48	0.283	1.38572725026
10.178	2.176	0.28	1.3851399889
8.338	2.757	0.267	1.48345493684
7.993	2.151	0.246	1.4297647238
7.188	2.271	0.282	1.19812569188
7.692	2.89560203606	0.295	1.322
8.488	2.017	0.354	1.29694612422
9.31272977039	2.158	0.243	1.15824063984
10.345	1.7	0.358	1.3039927365
9.84386047531	1.97	0.35	1.41429342172
8.772	2.22	0.288	1.334
8.691	2.4379241715	0.262	1.34374398181
6.928	2.298	0.299	1.26789357521
7.781	1.903	0.326755423918	1.126
7.646	1.7	0.314	1.24063548349
6.976148242	1.804	0.339	1.208
6.849	1.807	0.395	1.38723489768
6.974	1.726	0.335	1.08
7.257	1.77950380881	0.331	1.183
8.182	1.812	0.293	1.51741583271
8.257	1.897	0.271	1.039
7.94635861098	1.743	0.241	0.999863371323
8.094	1.94	0.229	1.14430314975
7.594	1.832	0.277	1.197
6.659	2.038	0.31	1.19846990826
6.991	1.617	0.282	1.11458295504
7.107	2.026	0.38	1.06963977943
7.329	2.09061532366	0.316708563961	1.1073820084
6.646	1.569	0.313	1.09991831424
6.96498413974	1.707	0.294825647941	1.11370856396
6.923	1.83	0.28	1.259
6.525	2.499	0.294	1.27295668818
6.194	1.878	0.239	1.10309375357
6.726	1.795	0.197	1.07
