EFOS_TP	EFOS_FP	EFOS_TN	EFOS_FN
2.189	0.733	0.204	1.124
2.436	0.776	0.189	1.068
2.289	0.705	0.253	1.102
2.046	0.634	0.226	1.047
2.19	0.675	0.252	1.239
2.189	0.624	0.217	0.982
2.24	0.702	0.207	1.044
2.082	0.753	0.228	0.973
2.293	0.738	0.247	0.927
1.815	0.766	0.234	1.188
2.093	0.688	0.189	0.996
1.908	0.732	0.246	1.044
2.19749820029	0.667	0.202	0.997
