ZBTB7A_TP	ZBTB7A_FP	ZBTB7A_TN	ZBTB7A_FN
3.49921259843	1.198	0.269	2.07667731629
3.47244094488	1.057	0.264	1.58785942492
3.63464566929	1.001	0.300648778229	1.7731629393
3.55275590551	1.14	0.3	1.82747603834
3.29133858268	1.307	0.303	1.86261980831
3.35590551181	1.272	0.321	1.56230031949
3.2188976378	1.035	0.274708563961	1.69496791534
3.66299212598	1.21003481981	0.303	1.65495207668
3.70236220472	1.255	0.279	1.68370607029
3.69763779528	1.115	0.249	1.81150159744
3.42834645669	1.115	0.325	1.79233226837
3.70708661417	1.121	0.311	2.23322683706
3.92283464567	1.095	0.29	2.15335463259
3.41102362205	1.013	0.248	2.28169998795
3.42992125984	1.046	0.248353750861	2.17393246438
3.45984251969	1.004	0.264353750861	1.76996805112
3.57637795276	1.051	0.269	2.2268370607
3.73385826772	1.067	0.249	1.8178913738
3.2031496063	1.103	0.246	1.72204472843
3.3968503937	1.059	0.33	1.68690095847
3.50551181102	0.986	0.301	1.76996805112
3.56850393701	1.102	0.301940964621	2.08945686901
3.62992125984	1.063	0.289	1.90415335463
3.94173228346	1.049	0.293	2.35143769968
4.15118110236	1.09	0.272	2.62939297125
3.74015748031	1.044	0.241	1.89776357827
3.51338582677	1.138	0.28	1.9552715655
3.52283464567	1.284	0.282	1.78594249201
3.49763779528	1.148341868	0.238	1.79872204473
3.45669291339	1.111	0.306	1.94568690096
3.82288781055	1.174	0.377	2.03833865815
4.09606299213	1.063	0.331	2.13738019169
3.63779527559	1.166	0.308	1.81150159744
3.86929133858	1.205	0.343	1.99361022364
3.95118110236	1.323	0.309	2.1054313099
3.57637795276	1.08	0.285	2.13738019169
3.3937007874	1.23679786547	0.323	2.14696485623
3.58267716535	1.023	0.33	2.10223642173
3.68976377953	1.068	0.331	1.78274760383
3.66141732283	1.001	0.35	2.1821086262
3.62204724409	1.077	0.355	2.20127795527
4.2031496063	1.035	0.268	1.8338658147
3.97867595303	0.916	0.243	1.78594249201
4.18267716535	1.286	0.297	1.62939297125
4.19842519685	1.08	0.257	1.51437699681
3.77322834646	0.852	0.216	1.65495207668
4.28976377953	1.22874069691	0.255	1.87539936102
