RAD21_TP	RAD21_FP	RAD21_TN	RAD21_FN
5.71842824737	2.372	0.328	3.0
6.072	2.492	0.32317576911	3.11543316136
5.46	2.624	0.334	3.033
5.778	3.016	0.317	2.805
5.906	2.969	0.356	2.874
5.084	2.56070856396	0.38922490184	2.961
5.601	2.78870492786	0.337	2.794
5.288	2.612	0.326	3.034
4.425	2.7053039796	0.293	2.347
4.322	2.934	0.337412371555	2.424
6.21519426533	2.728	0.339	3.539
6.64914303792	2.866	0.326	3.59517566518
4.937	2.742	0.36953191114	2.805
4.626	3.025	0.412	2.458
4.418	2.921	0.328	2.583
3.832	2.513	0.286	2.25
3.774	2.325	0.294	1.976
3.147	2.26	0.327525904892	1.69
3.404	2.338	0.302	1.94208885434
4.325	2.444	0.283708563961	2.469
4.6606422683	2.734	0.305	2.725
3.749	3.332	0.304	1.883
3.857	2.701	0.308	2.082
6.75074790265	3.45707641628	0.30153191114	3.12019183998
5.35590059804	3.016	0.362845830894	2.70902499875
2.913	2.63	0.28	1.505
1.926	2.509	0.251	1.151
2.081	3.27020319811	0.319708563961	1.156
2.12157783894	2.712	0.305	1.176
1.941	2.265	0.306	1.148
2.2	2.034	0.264	1.353
3.302	2.661	0.401	1.957
2.716	2.521	0.357	1.53067464903
2.635	2.958	0.304125691884	1.525
3.585	3.34053905045	0.394	2.1
2.89535191198	2.607	0.344	1.523
3.083	2.66	0.301	1.749
2.887	2.595	0.375	1.742
3.917	3.035	0.494	2.02192404287
3.029	2.542	0.452	1.53549803785
2.727	2.543	0.349	1.452
3.222	2.927	0.387	1.92
2.155	2.675	0.271	1.207
1.966	2.258	0.361	1.08
2.066	2.492	0.323	1.202
2.001	2.343	0.324	1.17
2.182	2.182	0.263	1.303
3.003	2.216	0.278	1.727
5.4982374514	2.726	0.317	2.901
7.34353788989	3.067	0.369744982763	3.77023880921
4.028	2.495	0.340708563961	1.934
3.989	2.599	0.316	1.997
5.01648285454	2.542	0.279	2.461
4.313	2.566	0.294	2.313
3.509	2.247	0.285700636007	1.68849853753
3.332	1.848	0.299	1.585
3.997	2.196	0.329	2.072
3.865	2.319	0.309	1.939
4.40213954241	2.726	0.352	2.256
4.647	2.713	0.368	2.192
4.928	2.94265226828	0.293	2.536
6.66910952752	3.268	0.291708563961	3.84591065487
5.95743947705	2.718	0.335	3.087
4.473	2.248	0.28173613814	2.232
4.336	2.531	0.282	2.38
5.162	2.651	0.282	2.972
5.60879297357	2.541	0.328	3.037
5.693	2.41387439107	0.3	2.913
6.00732209628	2.512	0.327540694028	3.042
6.40825582653	2.591	0.348	3.187
6.213	2.669	0.302	3.126
5.74385063277	2.464	0.33	2.95507396429
5.353	2.506	0.389	2.988
5.17	2.383	0.316	2.78975279797
5.253	2.515	0.342	2.72
5.069	2.749	0.371738852494	2.831
4.765	2.34	0.293	2.765
4.578	2.281	0.271	3.11713398066
4.861	2.27258504814	0.321874391074	2.808
4.70866632874	2.552	0.332	2.874
4.501	2.225	0.337	2.55
4.447	2.351	0.288	2.481
4.722	2.341	0.331	2.436
4.7221288973	2.229	0.292	2.524
4.623	2.154	0.295	2.375
4.166	2.259	0.381	2.444
4.302	2.177	0.346	2.604
4.183	2.104	0.319	2.406
3.963	2.018	0.32	2.705
3.8228377834	2.085	0.303	2.235
3.758	2.075	0.295708563961	2.335
3.68	2.44795731809	0.292	2.301
3.63	2.058	0.342	1.892
3.55	1.891	0.302	1.83
3.619	2.351	0.331	1.702
3.37	2.28	0.289454936837	1.707
3.49	1.954	0.286	1.875
3.196	2.18762332068	0.275141447643	1.77
3.108	2.08453295749	0.31	1.536
2.894	2.26	0.283	1.699
3.014	1.943	0.266	1.907
3.064	1.887	0.297	1.458
3.074	2.015	0.323418907501	1.308
3.153	2.021	0.292	1.623
2.822	1.946	0.313	1.379
2.82	1.802	0.305	1.469
2.662	1.696	0.261	1.251
2.386	2.00264743816	0.276	1.146
2.755	2.096	0.289	1.261
2.521	2.027	0.283	1.196
2.282	1.981	0.32	1.248
2.392	1.851	0.295585217096	1.162
2.273	1.732	0.286	1.054
2.243	1.709	0.290677645291	1.008
2.181	1.614	0.248	1.071
1.913	1.59	0.261	1.049
2.102	1.532	0.275	1.062
1.96	1.59	0.243	1.054
1.875	1.873	0.286	0.898
1.786	1.69	0.288	0.938
1.859	1.715	0.289	0.988
1.795	2.285	0.281	0.834
1.688	1.771	0.278708563961	1.017
1.805	1.739	0.300708563961	0.811
1.581	1.728	0.258	0.843
1.825	1.894	0.271	0.702
1.468	2.41143365989	0.263708563961	0.694
1.502	1.87	0.295	0.746
1.504	1.629	0.351	0.721
1.43	1.844	0.336618865942	0.634
1.402	1.583	0.302708563961	0.628
1.412	1.577	0.241585048143	0.702
1.272	1.905	0.301665135678	0.628
1.121	1.78678543068	0.254	0.603
1.238	1.555	0.272	0.579
1.243	1.75594399207	0.271614798388	0.565
