USF1_TP	USF1_FP	USF1_TN	USF1_FN
6.972	0.921	0.294	1.47290723466
6.715	1.065	0.272	1.394
5.023	0.836684192586	0.235	1.132
3.584	0.708	0.15	0.725
3.241	0.785	0.155	0.707
4.08656126818	1.036	0.175	0.956
6.161	1.186	0.216	1.334
5.349	0.943	0.216	1.347
4.83973385016	0.838	0.252405108793	1.265
5.48344502398	0.865	0.239	1.264
5.1626926711	0.864	0.273	1.48747900144
4.95	0.861	0.257565640642	1.45747253388
4.88	0.771	0.292	1.087
4.68625768353	0.829	0.357	1.216
4.26574145611	0.833	0.245	1.009
4.29994453663	0.832	0.275	1.02050394233
3.962	0.796	0.267	0.887
3.758	0.847	0.285	0.874
3.793	0.813	0.303	0.95
4.20504712164	0.865585048143	0.242	1.027
4.528	0.748585048143	0.253	1.094
4.585	0.70435097905	0.361	1.065
4.629	0.841757896059	0.312491059327	1.031
4.38	1.025	0.25953595649	1.179
4.153	0.888	0.242874391074	1.029
3.883	0.832	0.245874391074	0.995
3.71057665976	0.885	0.192	1.301
3.73270963155	0.706	0.207	1.99
3.87260340947	0.754	0.246	1.965
4.147	0.742404158748	0.298	1.33254998602
3.965	0.82	0.513	1.274
3.35	0.819	0.311	1.03724737673
4.536	1.162	0.299984788895	1.062
3.9875830314	0.918	0.346	1.30465637483
3.658	0.911850974641	0.353064627113	1.017
3.772	0.804	0.356310130305	0.937902594799
4.12613702073	0.955	0.26	0.812902594799
3.369	0.831	0.227938251077	0.852
3.195	1.031	0.24	0.961173973111
3.609	0.926	0.282	1.13847591214
3.733	0.852	0.283	0.907
3.809	0.915	0.297141447643	0.950622808719
3.159	0.879	0.326	0.749
3.349	0.87	0.469	0.879024588807
3.146	0.942	0.359585048143	0.776
3.437	0.8	0.406	0.874
3.143	0.927	0.295526467483	0.948
3.378	0.834	0.307918314244	0.982
3.764	0.743	0.302417127923	0.836
3.29	0.653	0.249	0.751
2.877	0.674	0.252881844409	0.855
2.9	0.722235629059	0.339101446787	0.727
3.013	0.719	0.331919620366	0.711
2.925	0.609	0.31	0.81
2.736	0.783	0.491	0.767
3.02037849227	0.732	0.345	0.815
2.531	0.71	0.355498388491	0.744
2.653	0.746	0.228537942376	0.836
2.692	0.708	0.344	0.701
2.931	0.665	0.341	0.726
3.054	0.641	0.283	0.774
2.571	0.873	0.27	0.85
3.006	0.744	0.295	0.803
2.653	0.708	0.361	0.691
2.7504775617	0.677	0.25	0.848
2.78	0.778	0.358	0.848
2.628	0.784	0.324	0.636
2.529	1.051	0.264	0.73
2.432	1.08025123093	0.268025062213	0.702
2.673	0.933	0.216	0.795
2.676	0.861	0.189874391074	0.585
2.512	0.667	0.219874391074	0.557
2.667	0.664	0.213299676367	0.605
2.279	0.704	0.231	0.613
2.176	0.737	0.191	0.566
2.70653134415	0.641	0.218	0.689
2.224	0.65	0.225	0.605
2.239	0.688	0.279	0.620970405697
2.384	0.709629819326	0.220454936837	0.569
2.454	0.749	0.24596333957	0.51
2.444	0.639	0.247	0.541
2.6582622078	0.655	0.241	0.598
2.596	0.603	0.249648778229	0.584
2.368	0.636	0.277321186283	0.703
2.277	0.619	0.333708563961	0.676
2.3849181804	0.612	0.272534542775	0.515
