SP1_TP	SP1_FP	SP1_TN	SP1_FN
13.32	4.009	0.417	8.71954674221
13.8180390838	4.32278148585	0.429	9.06940509915
12.666	3.718	0.44	8.66288951841
13.336	3.822	0.355	9.59773371105
12.786	3.63	0.454	9.0821529745
12.421	3.593	0.465	9.20254957507
12.482	3.52	0.409	10.7956979537
12.154	3.537	0.421	9.84135977337
12.5922983475	3.43188578996	0.496	10.2850661538
12.251	3.425	0.432	9.68980169972
12.553	3.398	0.517	9.1402266289
12.674	3.601	0.437	10.4787535411
12.4752906835	3.246	0.431	10.5651558074
12.4263115192	3.698	0.584	9.79209401743
12.436	4.14081263156	0.391	10.4618908453
12.919	4.273	0.422	10.5283286119
13.36	4.48	0.354	11.5689584082
13.306	3.865	0.328	11.7733711048
13.768	4.523	0.379	11.4008498584
13.663	3.574	0.35	11.1742209632
14.35	3.891	0.372	10.516581582
14.221	3.634	0.361	9.37252124646
13.314	3.90609970988	0.364089568444	9.50141643059
13.492	3.622	0.432708563961	8.16288951841
13.8260936358	4.17948880046	0.38	9.04526402411
13.444	4.314	0.368	10.0623229462
15.104	5.126	0.39373613814	10.6246458924
15.207	5.17758759521	0.459	10.395184136
17.085	5.44054530131	0.346	10.1303116147
17.784	6.12278239849	0.405	10.1317280453
16.214	6.827	0.422708563961	10.388101983
16.006	5.135	0.326	9.90226628895
18.949	6.82497580775	0.319	11.0099150142
19.1023616592	4.347	0.266739622401	10.3073654391
19.0177067294	4.49336041487	0.427	10.5509915014
18.348	4.97754530131	0.343	11.3371104816
19.4852245285	5.16996312507	0.286708563961	10.9249291785
16.7234353496	4.60094968768	0.298955753328	10.2889518414
15.76	4.51400817506	0.293	10.947592068
13.61	4.02895363105	0.314	10.6740551381
13.4470850153	4.01873312559	0.668964772051	10.1288951841
10.844	3.12349591069	0.399247189367	9.87110481586
11.493	3.168	0.404	10.276203966
10.711	3.37370856396	0.488	12.1232294618
12.802	4.13471476608	0.704369588601	16.4070815837
17.7980345011	4.531	0.644	19.2946175637
18.044	4.213	0.662	23.1468072237
17.487	4.275	0.817	23.8201133144
16.303	4.14371786194	0.676	22.7467944546
17.732	4.397	0.755	25.563656742
16.7091405889	4.74376177139	0.672	24.7857444519
17.115	5.279	0.677	22.1756373938
12.568	3.705	0.695	16.8767705382
10.321	3.22700033862	0.486	12.8498583569
10.133	3.11320095358	0.513	11.3668555241
9.83952829588	3.415	0.317	9.56515580737
13.9740756114	5.75188578996	0.284	10.1940509915
14.817	4.234	0.463	10.6954674221
14.897	4.24463054819	0.301930151646	11.0141643059
18.6637359172	4.471	0.37	10.7082152975
19.0998286629	6.044	0.406	11.0617138754
18.8725461664	5.29174682931	0.324	12.2052145961
18.331	5.273	0.431	12.8766164809
16.5231295392	5.199	0.382121580441	11.5410764873
17.1158189026	6.73930201461	0.513696249925	11.6441425152
15.46	5.27	0.532	10.7577903683
15.204	4.444	0.559247189367	9.76062322946
16.687	4.817	0.554696249925	10.2577903683
14.767	4.25	0.428	9.67705382436
15.0121508998	4.09971763937	0.508247189367	10.1373937677
14.434	4.60884601077	0.567	9.14872521246
12.932	4.03	0.484	8.74787535411
12.818	3.971	0.390247189367	8.5835694051
13.0114136583	3.6859018012	0.462	8.28895184136
12.337	4.076	0.345	9.81869688385
13.358	4.13	0.429874391074	9.50423211001
13.679	4.453	0.642	8.89093484419
14.2965202275	4.469	0.349	10.1475353467
14.6498297725	3.89	0.363	11.1543909348
13.9375753136	3.764	0.384	11.0990785483
13.6710405185	3.455	0.425	10.5
14.064	3.516	0.333	10.342776204
13.467	3.44	0.384	10.7721157339
14.165	3.33	0.383	10.5056657224
13.124	3.484	0.346	10.3399433428
14.482	3.38306338576	0.314	10.4844192635
15.3475660398	3.481	0.37	11.621460771
12.918	3.5	0.395585048143	10.1147308782
13.542	3.715	0.305	10.0835694051
13.298	3.966	0.429	9.75212464589
12.875	4.17	0.47573613814	10.5892351275
13.634	3.888	0.35	10.2223796034
13.389	4.168	0.276	9.68413597734
12.851	4.779	0.306183947975	10.5679886686
12.919	4.516	0.319	11.2733711048
11.804	3.703	0.286	10.6104815864
12.896	3.628	0.3	11.1487252125
13.3860493207	4.421	0.266	11.4164305949
12.779	3.925	0.348	10.0311614731
12.234	3.897	0.324	10.3555240793
12.6119391303	3.938	0.375	10.0750708215
12.422	3.956	0.399	9.92634560907
11.4	4.152	0.405708563961	9.92776203966
11.621	3.699	0.328	10.7004681157
11.8203984631	3.742	0.332874391074	8.49716713881
12.551	3.73596426509	0.387885789958	9.17705382436
12.066	3.749	0.354	9.67563739377
12.345	3.846	0.346	9.59119771266
11.745	4.16694487838	0.323	9.35410764873
10.881	3.56418761965	0.474	10.5283286119
12.13	3.329	0.367	11.3937839772
11.509	3.564	0.391	9.93484419263
