E2F6_TP	E2F6_FP	E2F6_TN	E2F6_FN
5.072	1.738	0.301	3.185
5.307	2.067	0.256	3.024
5.2603772575	1.949	0.247	3.02
4.92	2.045	0.274	3.49567133802
5.062	2.447	0.308	3.13
5.753	2.327	0.301	3.603
5.172	1.82	0.273	3.22
4.568	2.036	0.31538491637	3.507
5.135	2.05223893813	0.328	3.137
5.1181075731	2.698	0.323	3.046
4.955	2.086	0.32173613814	3.118
4.561	2.126	0.283648778229	3.14
4.435	2.285	0.262	3.17725262803
4.301	1.66004770407	0.229	3.621
4.601	1.978	0.248	3.337
4.868	1.863	0.272	3.21974100313
4.661	2.11751526077	0.253	3.77267586591
4.78784519064	1.621	0.291	3.145
4.729	1.811	0.253708563961	4.14
4.86242239632	1.705	0.248	3.90372532553
4.446	1.96706887886	0.283	3.275
4.397	1.751	0.274708563961	3.241
4.48	2.207	0.277	3.173
4.64845545566	1.775	0.300417127923	3.253
4.278	1.94066806976	0.329811470064	3.07742053151
3.963	1.915	0.315	3.08
4.203	2.053	0.246475938274	3.058
4.156	2.2374376097	0.292	3.412
4.154	2.125	0.271	3.488
4.279	2.14536868289	0.239832968925	3.914
4.479	1.805	0.24373613814	3.285
4.747	1.769	0.293	3.154
4.75343470332	1.609	0.247	3.48205060918
4.145	1.827	0.28	3.058
4.004	1.76	0.297	2.88
4.235	1.779	0.298	3.22289139818
3.95	2.19148708894	0.275708563961	2.461
4.35845696934	1.76	0.283	2.557
4.151	2.20525914497	0.29	2.712
4.25805138625	2.20320190712	0.285	3.22357478375
