FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	Centipede_99_GM12878_protection_mean	Centipede_99_GM12878_protection_median	Centipede_99_GM12878_protection_std	Centipede_99_K562_protection_mean	Centipede_99_K562_protection_median	Centipede_99_K562_protection_std	Centipede_99_protection_ks_stat	Centipede_99_protection_ks_pvalue	Centipede_99_GM12878_tc_mean	Centipede_99_GM12878_tc_median	Centipede_99_GM12878_tc_std	Centipede_99_K562_tc_mean	Centipede_99_K562_tc_median	Centipede_99_K562_tc_std	Centipede_99_tc_ks_stat	Centipede_99_tc_ks_pvalue	Centipede_99_GM12878_fos_mean	Centipede_99_GM12878_fos_median	Centipede_99_GM12878_fos_std	Centipede_99_K562_fos_mean	Centipede_99_K562_fos_median	Centipede_99_K562_fos_std	Centipede_99_fos_ks_stat	Centipede_99_fos_ks_pvalue	Centipede_99_GM12878_flr_mean	Centipede_99_GM12878_flr_median	Centipede_99_GM12878_flr_std	Centipede_99_K562_flr_mean	Centipede_99_K562_flr_median	Centipede_99_K562_flr_std	Centipede_99_flr_ks_stat	Centipede_99_flr_ks_pvalue
NKX2-5	-0.3477572392	6.1980671333	5.8503098942	0.211781287899	0.197843494786	0.120772420485	0.308312043396	0.290447451892	0.166139239451	0.028481898497	-28.5120607422	0.756952874849	0.771038461408	0.0351585901754	0.787628799979	0.792609753629	0.0597430394943	0.0739747811789	-128.801652964	0.442757708748	0.439966368802	0.0618871729665	0.459297311403	0.447642937909	0.0666302484463	0.0241882708281	-0.480676083319	0.24610343946	0.239425886348	0.083815578826	0.249691712355	0.241033974815	0.112991851143	0.0470202364008	-1.02570043503
SOX17	-0.315282727	6.6900928222	6.3748100952	0.353369061614	0.342873758379	0.167404506203	0.238231249278	0.223378965839	0.11653636584	-0.0212509089421	-72.9803237719	0.733672560408	0.738417459519	0.0370684553236	0.736197811322	0.750233629356	0.0635231539707	0.12765000767	-124.393965004	0.234021884024	0.228481281518	0.0648634274942	0.220959446116	0.220103438783	0.0357972502645	-0.10583518931	-1.73734784955	0.29586689526	0.267114399009	0.154835860021	0.261926240929	0.263276282698	0.0348869876699	-0.0207838359224	-4.01179666528
REST	-0.3104942741	7.8934747556	7.5829804815	0.339112632683	0.327232361463	0.171168869384	0.22847499956	0.219409960289	0.119188773726	-0.015971655121	-91.6356911856	0.72337515245	0.729824091252	0.0386060451384	0.734115777252	0.748858035848	0.0645702220082	0.0584834730555	-279.219938727	0.437355469274	0.434825342289	0.0330631912244	0.442807852899	0.435531509369	0.0477385217946	0.0855629498846	-0.147317686793	0.280301672826	0.266447305335	0.130444664357	0.258824742203	0.259125728035	0.0398047203807	-0.0276789849032	-4.46033176341
RXRA	-0.3028018288	7.0916307389	6.7888289101	0.236202995586	0.221749268904	0.1289971997	0.354697604977	0.327767312543	0.182539884573	0.0231950588581	-52.3163747146	0.820989571891	0.826001164191	0.0528074925869	0.761271641477	0.773686440052	0.0337445694082	-0.251999842634	-300.0	0.466345176556	0.464769408931	0.0435347294471	0.466924550912	0.465463860694	0.0540905183881	0.0933598531212	-0.261895375938	0.280655992659	0.281661195525	0.0357525451564	0.300335546078	0.282598879417	0.138374666667	0.018115942029	-2.67656589053
USF1	-0.3023841979	7.3838312667	7.0814470688	0.212101361976	0.191226507285	0.116568809831	0.320886534429	0.30258404568	0.168367794645	0.0164222166124	-51.1541983525	0.724020806583	0.745795082666	0.0800322808523	0.70249558511	0.711038108465	0.0460586434978	-0.0368718882755	-299.999944849	0.252694171867	0.251941524336	0.0637349354245	0.242206969127	0.238731343911	0.0262245750828	-0.120752688172	-2.47096717669	0.241682361483	0.225638503454	0.108616706507	0.275547357158	0.229465810148	0.216124954395	0.036964576849	-1.64852102073
YY1	-0.2742424783	9.2492416	8.9749991217	0.376270606819	0.360777794778	0.188761973279	0.248131351067	0.234551256255	0.130957590863	-0.00207869652861	-50.5176871713	0.81376470887	0.818334757784	0.0570135632685	0.747792071937	0.759114844859	0.0335480869323	-0.218190761521	-300.0	0.51353962874	0.511375273011	0.0620455589357	0.537784877786	0.519510368764	0.0835944003486	0.0422496570645	-0.654619344044	0.329310528232	0.306968776604	0.143279507369	0.302037276421	0.296975191279	0.101621457958	-0.0109181141439	-3.07189977773
RELA	-0.2724742439	8.8449193444	8.5724451005	0.222252409929	0.207925985859	0.123894966404	0.336642706293	0.309142318967	0.179067721153	0.0268074856659	-30.8724255827	0.840854271147	0.845205126522	0.0538560462135	0.763370775557	0.776211665768	0.0315998577044	-0.415068273735	-300.0	0.23817541016	0.235762317407	0.0494831799592	0.253779606132	0.2438324436	0.0540403977607	0.00270655270655	-0.598468365342	0.241492413547	0.243062859826	0.0324973836632	0.263667819218	0.246079156199	0.149867890128	0.000844594594595	-2.42833223311
NR2F1	-0.269684032	5.6412763389	5.3715923069	0.422286799251	0.404572051734	0.20761663527	0.288966622152	0.27078444653	0.144011849153	-8.37645282776e-05	-14.7246123405	0.763826572759	0.775719573649	0.0405891471404	0.794625315903	0.800878586243	0.0545452436819	0.0453584840677	-77.6546872848	0.397393032484	0.393231921223	0.0382105948125	0.397788777088	0.395199059928	0.0633883865524	0.0731130150959	-0.0390397327635	0.294768662945	0.26566837569	0.140119927585	0.266196979762	0.263843782772	0.0389028881661	-0.0373104812129	-0.714271624411
SOX10	-0.2637979979	5.3629255111	5.0991275132	0.240033808116	0.223464508203	0.129160135126	0.355416698184	0.336978056403	0.177680825119	0.0128738403076	-60.4968376179	0.749608707586	0.762985022056	0.0352960861888	0.784196114808	0.789196056492	0.0596924247967	0.0572067862647	-218.505078941	0.446324610732	0.444485716956	0.0852939055838	0.449683852528	0.44936106243	0.0910694452202	0.0661524500907	-0.293406179426	0.288987449037	0.262831012779	0.16417685549	0.257926807291	0.25846572145	0.0344697199263	-0.0726495726496	-6.74188972798
NFYA	-0.2394532122	8.3065107889	8.0670575767	0.271732884639	0.264449395418	0.137230461821	0.177967298344	0.164073797297	0.0948251629968	-0.00630506134742	-101.594387933	0.702130544295	0.726295797831	0.0527206529975	0.756919533142	0.762254137777	0.0965191742783	0.0399151639636	-294.488529957	0.814186161959	0.800557060722	0.0738007646886	0.794412720918	0.786787672066	0.0720590428946	-0.0916666666667	-0.888248632985	0.352728870349	0.312286624356	0.18178743556	0.437663923123	0.335474520965	0.292280407969	0.0356164383562	-3.0380777487
