FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	HINTBCN_GM12878_protection_mean	HINTBCN_GM12878_protection_median	HINTBCN_GM12878_protection_std	HINTBCN_K562_protection_mean	HINTBCN_K562_protection_median	HINTBCN_K562_protection_std	HINTBCN_protection_ks_stat	HINTBCN_protection_ks_pvalue	HINTBCN_GM12878_tc_mean	HINTBCN_GM12878_tc_median	HINTBCN_GM12878_tc_std	HINTBCN_K562_tc_mean	HINTBCN_K562_tc_median	HINTBCN_K562_tc_std	HINTBCN_tc_ks_stat	HINTBCN_tc_ks_pvalue	HINTBCN_GM12878_fos_mean	HINTBCN_GM12878_fos_median	HINTBCN_GM12878_fos_std	HINTBCN_K562_fos_mean	HINTBCN_K562_fos_median	HINTBCN_K562_fos_std	HINTBCN_fos_ks_stat	HINTBCN_fos_ks_pvalue	HINTBCN_GM12878_flr_mean	HINTBCN_GM12878_flr_median	HINTBCN_GM12878_flr_std	HINTBCN_K562_flr_mean	HINTBCN_K562_flr_median	HINTBCN_K562_flr_std	HINTBCN_flr_ks_stat	HINTBCN_flr_ks_pvalue
TCF7L2	-1.0379809175	8.1292303778	7.0912494603	0.340946631684	0.293778771594	0.250207978121	0.325220595885	0.258937325205	0.185536329657	-0.00283291699659	-42.2702983826	0.810051767756	0.816849783262	0.0485656304414	0.772890667916	0.783162222737	0.0311063033525	-0.158711265591	-300.0	0.38846596841	0.389347034362	0.0352982115267	0.388829023217	0.389470699628	0.0521587241802	0.028801843318	-115.518338886	0.32045677737	0.32023234529	0.0127110070896	0.320740317628	0.320550331269	0.0287777025199	0.183277593375	-41.4224419159
CREB1	-0.9881595307	9.1957632556	8.2076037249	0.375978232016	0.319768628057	0.278884297302	0.345283594674	0.300177971988	0.205278341242	-0.0174758094027	-7.34083537845	0.745106958349	0.767433083002	0.07786345392	0.709854017792	0.72172677448	0.0428345641935	-0.20725926592	-254.513388896	0.570722262719	0.571257492754	0.0243367070955	0.571295222163	0.571605191497	0.039305092025	0.120335230867	-22.9299664558	0.255275962645	0.255428397654	0.0167764394463	0.257685645252	0.255718616465	0.0485666565716	0.176586932918	-13.7022455355
STAT3	-0.8814597069	10.6886940667	9.8072343598	0.319559644731	0.281505793396	0.202917921853	0.306449764684	0.257681858473	0.155664590851	-0.00135477343154	-41.6651083501	0.737799141458	0.752298576591	0.0304765899093	0.76645966486	0.772599290263	0.0627156039985	0.0261373330694	-300.0	0.425521196403	0.400571500846	0.0782639124268	0.389459057625	0.389685480153	0.0211054124403	-0.102787456446	-300.0	0.28207836804	0.281827859326	0.0136248767913	0.284983649955	0.28258595152	0.0529338585731	0.0787403342929	-225.765889633
ELK4	-0.795803281	8.3372889	7.541485619	0.269417959012	0.233058895911	0.154869651964	0.310316312161	0.233302920144	0.211858361139	0.019492623813	-62.2772878162	0.733055143177	0.75257632419	0.0439775207989	0.741696007093	0.755336723679	0.0788209605443	0.115568841706	-300.0	0.550175391015	0.537600256427	0.0431165893888	0.558028199191	0.538650697925	0.0629572790735	0.110639981909	-149.273569036	0.31416388766	0.314069444233	0.0219103954991	0.317810967689	0.315278996276	0.0593666502624	0.140427489837	-161.358534647
GFI1	-0.5620815095	5.9600981444	5.3980166349	0.395234001289	0.338608636272	0.248974796206	0.354812350669	0.33445496147	0.181217232969	-0.0205620966207	-38.8344533685	0.757015710857	0.78000078452	0.0375234605497	0.7848842767	0.795268246646	0.0753992725497	0.11184186198	-156.61438538	0.356195764474	0.341882737147	0.064464218012	0.341677137779	0.338979513117	0.0318296886964	-0.00615412058509	-240.223849998	0.350543825618	0.347888140017	0.054056297103	0.344729397422	0.344749882624	0.0223979832664	-0.0116022436635	-300.0
HOXA5	-0.5275261365	3.8746430889	3.3471169524	0.314078848435	0.278561606509	0.158733336265	0.355501797497	0.280348058444	0.221646485759	0.00132798493665	-44.8162263497	0.828939193505	0.835694532248	0.0489133397494	0.776872582142	0.790279408326	0.0276324862528	-0.326920807129	-300.0	0.446683922726	0.446298976147	0.0314003148709	0.451067620575	0.450410554867	0.053165093669	0.0403774981495	-129.14994654	0.308575408854	0.30856530237	0.0141206456527	0.312178057616	0.31144597181	0.0356637790026	0.00102645973957	-300.0
SREBF2	-0.459857972	9.3969251889	8.9370672169	0.400244187076	0.336353524362	0.230514244777	0.343671418341	0.31019353585	0.160521499817	-0.0172528781117	-39.9640615685	0.815074807144	0.822601031833	0.0550187863359	0.77302762409	0.78760736385	0.0297262754318	-0.157121027562	-300.0	0.530630369807	0.531216972061	0.0390022253034	0.52425218696	0.525706104863	0.0229521892569	-0.0407752153376	-265.081972774	0.307627202882	0.306727725667	0.0317813037292	0.303600628063	0.303545719348	0.0119417210159	-0.0466001954864	-300.0
ZFX	-0.433919887	8.1387332944	7.7048134074	0.372219177422	0.343971267455	0.218113988689	0.301424418344	0.273614940275	0.150825306849	-0.0236210765176	-134.831363297	0.8026574271	0.813335838935	0.068005942876	0.758426186075	0.780574647357	0.0360972932466	-0.0425744495315	-300.0	0.487145513991	0.477851598485	0.038251502844	0.505251413286	0.485844920514	0.0712376659115	0.00114028256758	-242.348502422	0.325125349503	0.323413983932	0.0470829599514	0.320120305863	0.319949505137	0.0185340068162	-0.0599732372558	-300.0
SPI1	-0.4202474275	7.6557025333	7.2354551058	0.462738937657	0.460519452371	0.168941900052	0.357842933515	0.338379641581	0.125735282163	-0.0713126280208	-300.0	0.836819058916	0.848937220167	0.0704379179103	0.756758742697	0.779650435873	0.0374932935022	-0.321042000251	-300.0	0.509603651575	0.489261575604	0.0703400519546	0.484792395768	0.475220970673	0.0362949321931	-0.02134454074	-300.0	0.33726660802	0.333793367722	0.0623040692163	0.330257792267	0.33002561556	0.0211286413672	-0.0826481518015	-300.0
NFATC2	-0.4050990344	7.8968279444	7.4917289101	0.513638351153	0.492500038846	0.226781714147	0.483179530239	0.460789635395	0.16237943278	-0.0391138593329	-39.7184460825	0.77322781684	0.784707815401	0.0300210380131	0.791044480261	0.797440851279	0.0516522310004	0.114959062873	-158.012595931	0.483213479465	0.482328567807	0.0428197341508	0.476095263063	0.476839274224	0.0260012846459	-0.0380230241311	-163.275685324	0.317119515199	0.316372318166	0.0280926246762	0.312867126398	0.312682734967	0.0172064677216	-0.0730640005261	-300.0
SRF	-0.368290577	8.5141720056	8.1458814286	0.321137940164	0.2716798671	0.172512805492	0.350769376715	0.285381915797	0.232327197145	0.0193046620006	-39.7797194	0.841877503795	0.848233267383	0.0486175964474	0.778467972532	0.789591692553	0.0263210895773	-0.407552954243	-300.0	0.415121628968	0.414869768644	0.0466577451071	0.409930491571	0.409867687598	0.0274987525081	-0.0243255004352	-188.316683346	0.315035435889	0.314162720512	0.0377268973112	0.310598017469	0.310423865241	0.0140908187447	-0.0349341429987	-300.0
NKX2-5	-0.3477572392	6.1980671333	5.8503098942	0.316586100147	0.247049905218	0.158986804049	0.330961098161	0.286261239979	0.216430899667	0.0298315396008	-29.6924526175	0.772699791922	0.786938284442	0.0308819908981	0.795551086873	0.803660283048	0.0545276840049	0.0973608060903	-278.590907342	0.438513773099	0.437279554691	0.0448170574877	0.433039191076	0.431842425273	0.0295831800202	-0.00351463470846	-121.446133302	0.291719070455	0.290774180186	0.0331446117491	0.287172622422	0.287123083394	0.014292788497	-0.054467663934	-300.0
SOX17	-0.315282727	6.6900928222	6.3748100952	0.365856750444	0.304572643764	0.253054400317	0.325046140704	0.29406365857	0.17849549882	-0.0117702543318	-82.3507840233	0.762917718061	0.7782849766	0.0340023768456	0.769056112267	0.778879166874	0.060704274798	0.137866213499	-278.455354593	0.391252461657	0.38372113595	0.0434504277433	0.39846500829	0.386262416416	0.0610353287247	0.0288366743345	-129.554739552	0.31013934531	0.308924374349	0.0358998708643	0.304615891646	0.304692054216	0.0127494528162	-0.11247827226	-300.0
