FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	HINTBC_GM12878_protection_mean	HINTBC_GM12878_protection_median	HINTBC_GM12878_protection_std	HINTBC_K562_protection_mean	HINTBC_K562_protection_median	HINTBC_K562_protection_std	HINTBC_protection_ks_stat	HINTBC_protection_ks_pvalue	HINTBC_GM12878_tc_mean	HINTBC_GM12878_tc_median	HINTBC_GM12878_tc_std	HINTBC_K562_tc_mean	HINTBC_K562_tc_median	HINTBC_K562_tc_std	HINTBC_tc_ks_stat	HINTBC_tc_ks_pvalue	HINTBC_GM12878_fos_mean	HINTBC_GM12878_fos_median	HINTBC_GM12878_fos_std	HINTBC_K562_fos_mean	HINTBC_K562_fos_median	HINTBC_K562_fos_std	HINTBC_fos_ks_stat	HINTBC_fos_ks_pvalue	HINTBC_GM12878_flr_mean	HINTBC_GM12878_flr_median	HINTBC_GM12878_flr_std	HINTBC_K562_flr_mean	HINTBC_K562_flr_median	HINTBC_K562_flr_std	HINTBC_flr_ks_stat	HINTBC_flr_ks_pvalue
ESRRA	0.1861202667	7.4537839556	7.6399042222	0.0561847496244	0.0477815389179	0.0447836090972	0.0892457335899	0.0727721528638	0.0531805903629	0.08057302965	87.5266568035	0.618886007761	0.627584190355	0.0434118007625	0.643183077787	0.65366700408	0.102026880172	0.128996568344	52.4923234016	0.609783830036	0.610511788725	0.0362332427373	0.621494613349	0.622206945868	0.0582035211092	0.0980079467932	43.8079380756	0.28057270123	0.280596497409	0.0125955621607	0.287385786595	0.286936196499	0.0322869889204	0.236633156638	300.0
NR2C2	0.2028058757	7.6002743889	7.8030802646	0.182687577599	0.162380102532	0.10051884295	0.117435330966	0.101970524961	0.0565713665647	-0.0214001953232	187.835342444	0.675562979218	0.682535554354	0.0898132150854	0.64819731768	0.657912770429	0.0425895208909	-0.00590533046462	76.2572067878	0.411186194846	0.40985695593	0.0406351928848	0.42530818879	0.421116485638	0.0665833360246	0.098755507357	120.38775272	0.311891630187	0.311904563799	0.0159962035915	0.320751683859	0.319327849699	0.0408488232178	0.306014647169	300.0
TCF12	0.2044455873	8.2854513333	8.4898969206	0.0971025103065	0.0851977545469	0.0445021048685	0.156057459833	0.136389162188	0.0746698569143	0.0676714126469	163.019671565	0.657646702488	0.663187793867	0.037195037236	0.661083559304	0.67042355731	0.0820630352272	0.0102970178001	63.1315006789	0.486882375721	0.486748741428	0.0389104488035	0.491837718123	0.492892589862	0.0567188631379	0.0212392489065	36.6256849862	0.313899885576	0.31376736593	0.0120001644909	0.321374693443	0.320840911269	0.0297794077118	0.307770435086	300.0
NHLH1	0.2087423466	4.6391893889	4.8479317354	0.12294377561	0.112498320082	0.0599690714835	0.211757789866	0.185443831624	0.109641875472	0.0510742283096	73.6911251528	0.640574339912	0.649363445855	0.0867349293674	0.629022871734	0.63846804042	0.0439326348374	-0.0588644193883	12.6967409612	0.507117544786	0.503971775228	0.0564235999275	0.524027403518	0.518419140652	0.0852838371738	0.0682503824719	26.7669234231	0.331026713731	0.330930131291	0.0172581964175	0.34034626139	0.338647991876	0.044104779475	0.318422897842	300.0
THAP1	0.2326709847	6.1018166556	6.3344876402	0.0593950042157	0.0523291800252	0.0302072633454	0.0936042678277	0.0785193352635	0.0509016667913	0.0370441182893	243.441451706	0.681340785252	0.691118963111	0.0313575168778	0.747511770932	0.752338414644	0.072572604015	0.304527646969	300.0	0.512889741835	0.512773775742	0.03575211671	0.524602188988	0.524277928521	0.0542160955734	0.0949826279036	163.528908514	0.3190090885	0.319092512828	0.0126653727222	0.327376184499	0.326753318925	0.0303562080423	0.333268824788	300.0
FOXD3	0.2435801553	5.7794986278	6.0230787831	0.0416380221767	0.0353162464205	0.0311772322743	0.0658439618054	0.054209851032	0.0420570780673	0.169307026067	214.09563421	0.611740214036	0.618219492991	0.0406738908935	0.641059327393	0.663979346422	0.104952307217	0.22094511506	45.5148257251	0.44646518089	0.446884897424	0.0267469073091	0.451086301243	0.451283599384	0.0413730311314	0.048220610228	44.83839741	0.336630952616	0.336754578295	0.01361290488	0.345086166334	0.344676089679	0.0298267641127	0.259475395683	300.0
TFAP2C	0.2455344095	3.2887911778	3.5343255873	0.0825305778735	0.071581014066	0.0426837125733	0.134179210491	0.121239186795	0.0699807545117	0.0313041424429	266.355053222	0.688860203338	0.696646908695	0.0847810389385	0.662307656543	0.675178110302	0.0422953778122	-0.0187505151939	81.8474522629	0.425017531571	0.423416186754	0.0416736323566	0.436032336511	0.434448146556	0.0620599774987	0.0686875712009	108.581876785	0.29851093245	0.29849747691	0.0152293647735	0.308121346147	0.306124304673	0.0411630506195	0.331143446126	300.0
HSF1	0.2577764505	7.0100452056	7.2678216561	0.0906871528241	0.0771022296326	0.0569132318798	0.143866250213	0.123338688742	0.0783837543196	0.0660671485787	114.743705634	0.663050336631	0.669477672927	0.0869094402337	0.654725844528	0.663846173946	0.0371105672247	-0.0400286427926	17.5808170251	0.581396829739	0.580499606946	0.0470503906973	0.597885914379	0.5949485824	0.0737091812926	0.105634037748	56.5270694852	0.318351223208	0.318384858385	0.0132108288263	0.324895733305	0.325290437798	0.0343036829892	0.235346737619	300.0
ESR2	0.2614649397	3.6853600444	3.9468249841	0.123848980861	0.10573177039	0.0732735020363	0.194183252037	0.16984354173	0.0955880021569	0.0479715094056	109.763701681	0.69208315411	0.698206835757	0.0785151179929	0.670332287167	0.67868124964	0.0374549209598	-0.016824386416	29.9048869843	0.562004363653	0.561340586562	0.0428025289117	0.572313558223	0.572151376952	0.0644845250398	0.0627038371581	38.1645524858	0.302203276947	0.302213577253	0.0139033684433	0.310306143187	0.309656489337	0.0301767661324	0.307474879916	300.0
MYC	0.2679101471	9.9725863556	10.2404965026	0.151838257913	0.138414054896	0.0650017010584	0.267162497196	0.225862146865	0.134948880202	0.113293450425	91.1309501884	0.62634558212	0.633459053069	0.0403046266482	0.640930713273	0.649955807947	0.0843957306906	0.0593577314997	34.710750671	0.499572462891	0.498570896171	0.0522192664627	0.513131831132	0.508036762895	0.0799890554796	0.0456361615466	23.5026961327	0.297583642351	0.297668332327	0.0118710633286	0.305556139982	0.304786485645	0.0361685115246	0.299845730374	300.0
