FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	PIQ_90_GM12878_protection_mean	PIQ_90_GM12878_protection_median	PIQ_90_GM12878_protection_std	PIQ_90_K562_protection_mean	PIQ_90_K562_protection_median	PIQ_90_K562_protection_std	PIQ_90_protection_ks_stat	PIQ_90_protection_ks_pvalue	PIQ_90_GM12878_tc_mean	PIQ_90_GM12878_tc_median	PIQ_90_GM12878_tc_std	PIQ_90_K562_tc_mean	PIQ_90_K562_tc_median	PIQ_90_K562_tc_std	PIQ_90_tc_ks_stat	PIQ_90_tc_ks_pvalue	PIQ_90_GM12878_fos_mean	PIQ_90_GM12878_fos_median	PIQ_90_GM12878_fos_std	PIQ_90_K562_fos_mean	PIQ_90_K562_fos_median	PIQ_90_K562_fos_std	PIQ_90_fos_ks_stat	PIQ_90_fos_ks_pvalue	PIQ_90_GM12878_flr_mean	PIQ_90_GM12878_flr_median	PIQ_90_GM12878_flr_std	PIQ_90_K562_flr_mean	PIQ_90_K562_flr_median	PIQ_90_K562_flr_std	PIQ_90_flr_ks_stat	PIQ_90_flr_ks_pvalue
NKX2-5	-0.3477572392	6.1980671333	5.8503098942	0.150147801194	0.114760177042	0.131632137273	0.0956988535659	0.0726793196581	0.0842118442706	-0.00781996931399	-91.9284298173	0.767019579181	0.772547141021	0.0728689333852	0.719140408207	0.731150654924	0.0403600504776	-0.0312155539498	-187.521025975	0.573321134348	0.575150515948	0.0286944112237	0.580550412775	0.582391971643	0.0418856380039	0.0585137778296	-300.0	0.296318115451	0.29258573696	0.0441472618254	0.28705177408	0.286914927975	0.0245946874134	-0.0488388899827	-300.0
SOX17	-0.315282727	6.6900928222	6.3748100952	0.139220772616	0.109176980338	0.118174953879	0.0870369781574	0.0682128053507	0.0711085267654	-0.0119530416352	-150.064007498	0.783888782966	0.787673336929	0.0670995321541	0.728359033607	0.738560098473	0.0357273994466	-0.0900109818431	-300.0	0.567695698936	0.565554893537	0.0244152412111	0.575105351929	0.572890020667	0.0326384840053	0.00831550499206	-300.0	0.284885549446	0.281673499347	0.0485798286979	0.276843378411	0.276959426547	0.0211498202778	-0.00566444240485	-300.0
REST	-0.3104942741	7.8934747556	7.5829804815	0.0554742185062	0.0423582294497	0.0500217720915	0.0871215057191	0.0646822506719	0.0818439899384	0.0108737209898	-148.700120097	0.685427029796	0.697348451166	0.0435217602059	0.705283873211	0.711555542192	0.0803769011667	0.147760179254	-79.2161358178	0.544723024369	0.544979425042	0.0292387072409	0.553200807399	0.552223372162	0.048474312262	0.0481125768987	-300.0	0.327623781383	0.327612840396	0.023696323095	0.330024898364	0.330516442412	0.0475996229654	0.093037300947	-177.511480077
RXRA	-0.3028018288	7.0916307389	6.7888289101	0.125196560414	0.0966895832949	0.110659340134	0.0774585087238	0.0594802820818	0.0660433729997	-0.00598496741851	-139.061578121	0.80841993582	0.814776986938	0.0671729793564	0.726743817128	0.737293376848	0.0410775554634	-0.305145482742	-300.0	0.629257474347	0.631735328149	0.0324013677998	0.621606869568	0.62335922135	0.0194100987636	-0.0104831358019	-300.0	0.311972838558	0.308721693221	0.0467765230947	0.303565386824	0.303312541609	0.0263758799474	-0.0289348541409	-300.0
USF1	-0.3023841979	7.3838312667	7.0814470688	0.118403735855	0.09076717911	0.105139671261	0.0756837045131	0.059121438428	0.0637567278244	-0.0023108204301	-98.88136685	0.669949488299	0.682649046356	0.050180954169	0.675166238808	0.682789829314	0.0926154407249	0.134777454206	-61.0906871742	0.426757158699	0.423828348486	0.0321256207581	0.435985676068	0.429526684063	0.0517007152313	0.0780107555969	-299.999999092	0.333849847414	0.332940925178	0.037605446071	0.346443856581	0.338377637996	0.0864779066034	0.016787193352	-263.079978056
YY1	-0.2742424783	9.2492416	8.9749991217	0.0867991406361	0.0698345064522	0.0698879845659	0.131398706731	0.102286581435	0.112381561444	0.0083091769061	-89.4627246337	0.802519305259	0.806240676693	0.0666219781365	0.721325869816	0.72915155208	0.0393081955835	-0.269938249202	-300.0	0.491766565404	0.491285073011	0.0327751510899	0.50112113973	0.498150873452	0.0548312987655	0.0502199522475	-295.493795838	0.345076383355	0.345402731731	0.0288442912509	0.345532336475	0.348003873033	0.0532631320746	0.105751092678	-94.6994877809
RELA	-0.2724742439	8.8449193444	8.5724451005	0.130290407405	0.0997939249904	0.115314567441	0.0828744983325	0.0621410606053	0.0738901216033	-0.0125890229674	-113.232157403	0.827077715295	0.830951932076	0.0694900000433	0.72466863672	0.735408722944	0.0348220717617	-0.427878822966	-300.0	0.656796649569	0.655443808492	0.0285746086398	0.647419253916	0.646388860831	0.0200769345498	-0.0513661153979	-300.0	0.309641415213	0.309767625274	0.0191032118042	0.313529878531	0.313391249296	0.0423759460253	0.0562523883079	-244.213879387
NR2F1	-0.269684032	5.6412763389	5.3715923069	0.130747589871	0.0997599531834	0.119144616271	0.0802420565428	0.0595599870772	0.0706437774696	-0.00433164586288	-36.5982999899	0.803079282794	0.809828559485	0.0636219607387	0.736682632963	0.747211911198	0.0433954889269	-0.23057124515	-215.91592834	0.360763994559	0.36189810698	0.0245682801147	0.366598191052	0.366986795036	0.0407672056122	0.0523776226054	-148.628038629	0.294802680672	0.292209171599	0.0417178305156	0.287963158999	0.287026281843	0.0268771988776	-0.0291554805993	-152.398192682
SOX10	-0.2637979979	5.3629255111	5.0991275132	0.114460215601	0.0867408825782	0.102094191345	0.0688040777255	0.0528893096336	0.0611090484845	-0.0138839537984	-162.392116239	0.778191230148	0.783263019696	0.0695897393785	0.702260730119	0.709043583082	0.040632772305	-0.215793053928	-300.0	0.553112337221	0.554698758009	0.0272489965167	0.562709306953	0.562559983249	0.0425146947118	0.0264738265169	-300.0	0.339375243998	0.335199389474	0.0512305597434	0.328882287929	0.328866584224	0.0208047755771	-0.114197029991	-300.0
NFYA	-0.2394532122	8.3065107889	8.0670575767	0.11878037653	0.0982837992324	0.0978659071504	0.0805825170036	0.0659551409202	0.0693361306595	-0.0351497948393	-203.080734447	0.808763024694	0.80975816614	0.0830153367002	0.653554241009	0.650828825058	0.0476079004566	-0.43519892936	-300.0	0.539819185641	0.520555448677	0.0686493907366	0.512371717246	0.506606192622	0.0381766507074	-0.0554301673898	-300.0	0.340992677985	0.336533829287	0.0705163674766	0.36128809342	0.341116285546	0.132710317298	0.106558961401	-92.115656459
