FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	Boyle_GM12878_protection_mean	Boyle_GM12878_protection_median	Boyle_GM12878_protection_std	Boyle_K562_protection_mean	Boyle_K562_protection_median	Boyle_K562_protection_std	Boyle_protection_ks_stat	Boyle_protection_ks_pvalue	Boyle_GM12878_tc_mean	Boyle_GM12878_tc_median	Boyle_GM12878_tc_std	Boyle_K562_tc_mean	Boyle_K562_tc_median	Boyle_K562_tc_std	Boyle_tc_ks_stat	Boyle_tc_ks_pvalue	Boyle_GM12878_fos_mean	Boyle_GM12878_fos_median	Boyle_GM12878_fos_std	Boyle_K562_fos_mean	Boyle_K562_fos_median	Boyle_K562_fos_std	Boyle_fos_ks_stat	Boyle_fos_ks_pvalue	Boyle_GM12878_flr_mean	Boyle_GM12878_flr_median	Boyle_GM12878_flr_std	Boyle_K562_flr_mean	Boyle_K562_flr_median	Boyle_K562_flr_std	Boyle_flr_ks_stat	Boyle_flr_ks_pvalue
SP2	-0.1813165365	6.2019310444	6.0206145079	0.00576641270169	0.00490295998556	0.00478192087272	0.00791208110559	0.00676400721458	0.0068579778451	0.112169042048	-300.0	0.747228357158	0.759868915727	0.0345037296633	0.772750181577	0.778987029663	0.0532312664008	0.118742892687	-210.87477907	0.581938635663	0.581294524939	0.0238230834523	0.585876558292	0.586459055142	0.0351591204802	0.0312118500119	-300.0	0.330119758423	0.328449758738	0.0255393448307	0.332419744342	0.332751425707	0.0597931060284	0.0333018524841	-300.0
INSM1	-0.1721305868	6.3427609889	6.1706304021	0.0227027151667	0.0193002577433	0.0132469226138	0.0309421442805	0.0261022437554	0.0190054316407	0.033492705151	-300.0	0.824020871587	0.830995232606	0.0623994646204	0.733450113139	0.748506460464	0.0394440273324	-0.40701798354	-300.0	0.614131454577	0.610123430859	0.0450541456815	0.602580281343	0.600573340698	0.0303009593971	-0.0412080635788	-300.0	0.30558559504	0.30246498093	0.0296877698089	0.313794352804	0.306787763119	0.0770636013879	0.0103668207353	-266.490999431
MAX	-0.1670527532	6.8057894833	6.6387367302	0.0239605786959	0.0193211021319	0.0144461364059	0.0170608598649	0.0138108772591	0.0101209876891	-0.0671644609004	-300.0	0.72971006129	0.737852220648	0.0426757994214	0.738364736411	0.752267490139	0.0594823815611	0.0811249442503	-109.59644194	0.384833275292	0.386286668947	0.0201146277961	0.387921158251	0.388760400572	0.0318613272869	0.0227414048349	-187.058574676	0.322202966926	0.32124603544	0.0536134323394	0.319391938458	0.319600619969	0.0327154845351	-0.0366798531836	-244.516775295
MAFK	-0.1667808765	5.9367657389	5.7699848624	0.0187944668913	0.0150504783308	0.0134267856292	0.0119738839073	0.00942555925975	0.0087872472263	-0.102482513274	-300.0	0.736840460375	0.746981899329	0.0403860427082	0.770841208703	0.777302491179	0.0536319031946	0.00112029105882	-148.221556025	0.432652120159	0.42683777335	0.0440014081812	0.419619734172	0.419219055375	0.0226831702912	-0.0312469003051	-243.916139166	0.27283500076	0.269196830914	0.0596457655103	0.263785831102	0.2633946547	0.0269392472586	-0.0739860268396	-245.67112219
PAX2	-0.1591111566	5.4571127333	5.2980015767	0.0154831586029	0.0125046454962	0.0135843844087	0.0223808909696	0.0176029013459	0.0198371668124	0.0701700425233	-248.154328879	0.682925961708	0.699181403484	0.0501411447469	0.717285485631	0.724829144507	0.0840744325837	0.107225387187	-28.0015564117	0.456044924807	0.447994408646	0.0507433566755	0.474257405804	0.457895482784	0.082276585768	0.0584516129032	-26.9508127893	0.312925402243	0.305554633161	0.0569059725676	0.328891230849	0.310861466603	0.124748432472	0.031183636471	-35.9427233405
ZNF354C	-0.1560589466	2.5165529889	2.3604940423	0.0119553267533	0.0096446317621	0.00922486213098	0.016267072769	0.0130174609504	0.0132692778322	0.0783039830617	-300.0	0.731980497405	0.74769065161	0.0505253638033	0.760646425399	0.770339954517	0.0627529051808	0.0943094650515	-74.2465834857	0.45825142709	0.458473567543	0.0312703317875	0.449852836271	0.450631377563	0.0236937050381	-0.0439101459604	-267.091519571	0.329935316529	0.321519198896	0.0666261419788	0.320233974394	0.31594087538	0.02897988154	-0.0906863627635	-261.19911786
CTCF	-0.1501554426	8.7064197389	8.5562642963	0.00784975587161	0.00679171544037	0.00538901170652	0.0101766679671	0.00844941965685	0.00757236321349	0.12918594229	-300.0	0.805246740611	0.811600194225	0.0595466979594	0.740048255601	0.753862927704	0.0368394491682	-0.237122655591	-300.0	0.541877407082	0.538517167155	0.0428877164842	0.528559771257	0.527921256456	0.0282072540032	-0.0540784625832	-300.0	0.341355828233	0.337389027868	0.0625995324377	0.334613614319	0.332342063646	0.0272246926621	-0.0114449507525	-300.0
HNF1A	-0.1420992513	4.9258633889	4.7837641376	0.0436749299246	0.0335530333118	0.0290687812513	0.0293519855483	0.0222347878433	0.02024367329	-0.0819979492459	-300.0	0.732357615317	0.74588238136	0.0614951223973	0.693578395272	0.701764341479	0.0432628973012	-0.191448834723	-225.123630927	0.47323103773	0.475099928511	0.0403000383944	0.46821771141	0.471165381142	0.0249288885469	-0.00327694773552	-144.293016252	0.363293296226	0.359452476092	0.0478804059282	0.354126578442	0.352737355128	0.0286780104624	-0.163202056565	-258.92319058
FEV	-0.1396182302	6.8418069444	6.7021887143	0.0151974618626	0.0125236117857	0.00938032754719	0.0204500770362	0.0167100659463	0.0136065530312	0.0389156630882	-300.0	0.703889268379	0.71407607307	0.0460656937873	0.707019717001	0.720179995661	0.0735977502032	0.16601532189	-73.8814193596	0.552689210755	0.54732256757	0.0375376198313	0.565133815927	0.557505492664	0.0537226424407	0.0236746822374	-202.002192407	0.344260510981	0.346269462067	0.035775781053	0.352497700793	0.350885506014	0.0732584100422	0.0199659537488	-195.810134847
FOXL1	-0.1054099931	6.8846849667	6.7792749735	0.0100522929973	0.00814299562893	0.00935357102445	0.0148231956338	0.011901298871	0.0135966797272	0.0582524997007	-300.0	0.734435082785	0.743810108406	0.0492159258741	0.735295501485	0.752178691609	0.0645093991007	0.129165365202	-21.5302577057	0.541094844491	0.543578171219	0.0291583203346	0.536415337983	0.538207394395	0.0198547298033	-0.0675191241385	-251.579361697	0.195261293185	0.132158065989	0.16135239331	0.242845084411	0.216704453177	0.175232986906	0.0337796197578	-2.56951778611
