FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	FLR_95_GM12878_protection_mean	FLR_95_GM12878_protection_median	FLR_95_GM12878_protection_std	FLR_95_K562_protection_mean	FLR_95_K562_protection_median	FLR_95_K562_protection_std	FLR_95_protection_ks_stat	FLR_95_protection_ks_pvalue	FLR_95_GM12878_tc_mean	FLR_95_GM12878_tc_median	FLR_95_GM12878_tc_std	FLR_95_K562_tc_mean	FLR_95_K562_tc_median	FLR_95_K562_tc_std	FLR_95_tc_ks_stat	FLR_95_tc_ks_pvalue	FLR_95_GM12878_fos_mean	FLR_95_GM12878_fos_median	FLR_95_GM12878_fos_std	FLR_95_K562_fos_mean	FLR_95_K562_fos_median	FLR_95_K562_fos_std	FLR_95_fos_ks_stat	FLR_95_fos_ks_pvalue	FLR_95_GM12878_flr_mean	FLR_95_GM12878_flr_median	FLR_95_GM12878_flr_std	FLR_95_K562_flr_mean	FLR_95_K562_flr_median	FLR_95_K562_flr_std	FLR_95_flr_ks_stat	FLR_95_flr_ks_pvalue
ZEB1	-2.2585500701	7.4546499167	5.1960998466	0.0432044075744	0.0369411998232	0.0225682865016	0.0313077953779	0.0269021637644	0.0148790086764	-0.102135604207	-300.0	0.739349308321	0.746855212553	0.0345702750176	0.740935703064	0.750566308836	0.0543768984812	0.110086816959	-86.5149589363	0.493920736645	0.492773081161	0.0441070247834	0.487433209771	0.483610592182	0.0224112063378	-0.0661578618249	-300.0	0.300446892731	0.300002432388	0.0593290689109	0.293948150611	0.292102708431	0.0318562466523	-0.0700330557653	-156.182548222
HNF4G	-2.2212048127	4.5430166222	2.3218118095	0.0251237937722	0.020274852724	0.015431704391	0.0186052388702	0.0151580205117	0.010955080282	-0.167385446664	-300.0	0.727650809664	0.743884095268	0.0665351839995	0.694248606192	0.702599648111	0.0402412566344	-0.237352056567	-231.513593912	0.34510178336	0.345868308697	0.0406625808774	0.336280412966	0.336763460458	0.0241501277902	-0.0511853660859	-155.834865499	0.328925362024	0.327534109398	0.0580553524223	0.31275163919	0.313481177789	0.0443222933436	-0.136280991736	-71.05121694
REL	-2.0628250132	8.3178302778	6.2550052646	0.035042084398	0.0305912499125	0.0146835024315	0.0292534709319	0.0262242736932	0.0104007400443	-0.0607953248824	-300.0	0.839165916002	0.844871142415	0.0539657211282	0.751407328287	0.764724259633	0.0342806485008	-0.521038100687	-300.0	0.67518558405	0.673028333595	0.0433677380031	0.663313858638	0.660000712217	0.0259049470032	-0.105852962138	-300.0	0.345723581484	0.345281835117	0.0829191314904	0.341843155039	0.337751546022	0.0343003678612	-0.0686863999202	-96.7536981276
FOXO1	-1.8556499325	8.4851884722	6.6295385397	0.0219377885363	0.017104021937	0.015296335028	0.0154605174184	0.0122379842365	0.0109110287718	-0.0215765267559	-300.0	0.734538534115	0.74861840403	0.060315126533	0.698170772131	0.705177033301	0.0373204974186	-0.220652175143	-300.0	0.572356577228	0.574162382198	0.0477927224549	0.558446469549	0.561946320918	0.0273199026542	-0.0694360095659	-300.0	0.315203199013	0.314559682697	0.0649463986108	0.310307335512	0.308545265265	0.0366455878722	-0.0214890934328	-62.0032124669
NR3C1	-1.8464264783	9.6750664889	7.8286400106	0.0256949676168	0.0205271625398	0.0155810693322	0.0189674416763	0.0149885450245	0.0110012272747	-0.130937486723	-300.0	0.811169402054	0.817202395015	0.0456704877612	0.75889315048	0.76926951845	0.0320815155102	-0.285927417195	-300.0	0.538255076403	0.537143609455	0.0512536827852	0.525290855903	0.528799464367	0.0312645590134	-0.0398891082078	-225.447592267	0.295846660465	0.295296238101	0.0579826454694	0.293404231505	0.290996468686	0.0341355880665	-0.00459495338107	-44.1367079375
IRF1	-1.7207699439	8.2650849333	6.5443149894	0.00691886400581	0.00614037170562	0.00496321561766	0.00879298976566	0.00767527337032	0.00683736203618	0.0858817151055	-300.0	0.744729930805	0.758143586216	0.0336464191148	0.771795683713	0.778114758392	0.0558014415619	0.0702174365447	-298.296259662	0.668182123737	0.666913391333	0.0266803278357	0.65782678263	0.657838823923	0.0167527713391	-0.157183746368	-300.0	0.309769042504	0.172992154184	0.342964567552	0.232003721427	0.15167351819	0.176679018518	-0.0517543859649	-0.0170703891915
SOX9	-1.6463590651	7.5684512556	5.9220921905	0.0353169390066	0.024443164685	0.0289910985001	0.023327248664	0.0153202802249	0.0199843586348	-0.142859080478	-300.0	0.738231255909	0.752471201587	0.0634494276331	0.684570591198	0.69307844541	0.0393691285958	-0.334226914399	-299.999999999	0.526939985072	0.528051729704	0.0385149488581	0.517281212003	0.520931676558	0.0226954392688	-0.056778294499	-156.53550451	0.313292577389	0.312322417503	0.0411903309304	0.313658070898	0.315062671898	0.0609529633965	0.0427002178488	-7.8215792581
RFX5	-1.5997156902	8.0311831611	6.4314674709	0.0647585922446	0.0542758510358	0.0335103632794	0.0469675386273	0.0398326920477	0.0228178287896	-0.0623400217967	-300.0	0.725196967661	0.73240565105	0.0397961155527	0.732235091602	0.749465187528	0.0656150611231	0.046237467936	-207.793225492	0.472514319741	0.470105947458	0.0230817854956	0.476444818313	0.474227919617	0.0380942555323	0.00721521770608	-249.346684237	0.307179974451	0.305364908322	0.0397220217334	0.311534235901	0.306600116249	0.0830139371477	0.058354084589	-23.9744677391
ELF1	-1.3094928196	9.8966036556	8.587110836	0.0091290422057	0.00742025708576	0.00792582514666	0.00704124599082	0.00580085401406	0.00565043495622	-0.00710794963907	-300.0	0.731196486411	0.745900071675	0.0376083707447	0.765545546098	0.772238119934	0.0621742289978	0.0601683160025	-300.0	0.516812148101	0.511311211039	0.0323632499038	0.518188024826	0.513804152699	0.0518727524536	0.069673317403	-210.872995244	0.327604874965	0.326511414611	0.0348612990296	0.332420115886	0.327288983699	0.0836996581781	0.049683852143	-55.9806056083
GATA3	-1.2686822069	5.6419831222	4.3733009153	0.0180452291306	0.0149060371239	0.014952767329	0.010596369197	0.00779391404757	0.00961195826589	-0.0794999462664	-300.0	0.725410170251	0.740847822737	0.0665464829912	0.700725228157	0.707162899271	0.0337301514776	-0.155777073421	-300.0	0.4358205793	0.426269990819	0.061814372135	0.418797748153	0.418786013535	0.0265519649637	-0.0390331747689	-262.370583766	0.32458685297	0.323119055292	0.0248470175809	0.32634687212	0.326145398948	0.055573697394	0.0296877829872	-20.9143397
T	-1.1067090704	6.8493768111	5.7426677407	0.0146482406375	0.0117460014148	0.0125511745308	0.0205857131631	0.0160919059453	0.0172301192406	0.023405127776	-300.0	0.747004739003	0.759525410947	0.059848228796	0.701637533648	0.706679643959	0.0338636587411	-0.28153461156	-300.0	0.540623230639	0.536448018272	0.0318928851353	0.541654916133	0.539481881355	0.0554268862028	0.0980928947609	-21.5609289792	0.277323159225	0.275489785677	0.0348666125325	0.278628898958	0.27568872539	0.0613257403267	0.0444495314168	-11.0749453611
TCF7L2	-1.0379809175	8.1292303778	7.0912494603	0.0173286403502	0.0128872199907	0.0147900960211	0.0121749110157	0.00894262271051	0.0104247541649	-0.115977369389	-300.0	0.753936455575	0.766038113619	0.0345329285108	0.770471833099	0.777227205195	0.0528707645958	0.154839836862	-48.9043613853	0.479003349678	0.48110794194	0.0218580974408	0.482676614098	0.48283666933	0.0347045076331	0.0698248832151	-70.8795383768	0.321597490483	0.319778460616	0.0320081450948	0.322051073639	0.320730617934	0.0622378897874	0.0334540565633	-23.8182450102
CREB1	-0.9881595307	9.1957632556	8.2076037249	0.00897356447276	0.00633159644706	0.0130979945746	0.0128061492241	0.00887221442718	0.0178563526608	0.0731517923117	-127.93028005	0.741719620539	0.760026880674	0.068079907449	0.708991708399	0.714242747485	0.0407506245563	-0.134928864553	-88.1681182353	0.462657118679	0.461559670218	0.0319598361379	0.46416695597	0.462153207138	0.0535628505033	0.0997775508338	-9.15715586668	0.253091923995	0.253119861469	0.036136487517	0.262306321752	0.25440027491	0.0980286668831	0.0341815161583	-5.68830765083
STAT3	-0.8814597069	10.6886940667	9.8072343598	0.149117460664	0.129087315701	0.0802874958476	0.0920073618823	0.078238598043	0.0469833162474	-0.150022723691	-300.0	0.730102132854	0.745883307201	0.0665966488039	0.705856125856	0.714380607407	0.0385393104749	-0.13584516194	-300.0	0.403997516741	0.394188860526	0.0625972876141	0.384820774183	0.382488495413	0.0260325183161	-0.0766534302028	-286.495009825	0.283788825097	0.282777425126	0.0390121138933	0.287251340307	0.282822991102	0.072561011549	0.0454671360043	-17.8034164137
ELK4	-0.795803281	8.3372889	7.541485619	0.0519233361462	0.0450887753403	0.023491498213	0.0417991735787	0.0367107709563	0.0160656365942	-0.00598106563244	-300.0	0.710381828569	0.722358390516	0.0429762374072	0.716705710937	0.722676715069	0.0720775774539	0.166555870368	-97.8074561923	0.500062810714	0.493005315574	0.0405939381125	0.507070379067	0.49735559083	0.0645896739095	0.104349900928	-72.3112456369	0.314629244224	0.313929633027	0.0403476683382	0.322296294623	0.314897446725	0.0978098851495	0.0418448714261	-48.8327820563
GFI1	-0.5620815095	5.9600981444	5.3980166349	0.0502763932662	0.0393340316205	0.0336823881142	0.0332961551637	0.0257160220979	0.0217263509057	-0.0598904324783	-300.0	0.735388543927	0.759375525085	0.0408165097151	0.774665755765	0.784917288561	0.0748876899628	0.083019081349	-98.234463975	0.398736126669	0.396218888927	0.0291186202736	0.409125317164	0.399147525387	0.0603942170414	0.0580767106942	-66.7696941613	0.345358945987	0.344034003414	0.0542614349456	0.358335925865	0.347712475079	0.104719121595	0.0029376591442	-34.2598515571
