FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	TC_GM12878_protection_mean	TC_GM12878_protection_median	TC_GM12878_protection_std	TC_K562_protection_mean	TC_K562_protection_median	TC_K562_protection_std	TC_protection_ks_stat	TC_protection_ks_pvalue	TC_GM12878_tc_mean	TC_GM12878_tc_median	TC_GM12878_tc_std	TC_K562_tc_mean	TC_K562_tc_median	TC_K562_tc_std	TC_tc_ks_stat	TC_tc_ks_pvalue	TC_GM12878_fos_mean	TC_GM12878_fos_median	TC_GM12878_fos_std	TC_K562_fos_mean	TC_K562_fos_median	TC_K562_fos_std	TC_fos_ks_stat	TC_fos_ks_pvalue	TC_GM12878_flr_mean	TC_GM12878_flr_median	TC_GM12878_flr_std	TC_K562_flr_mean	TC_K562_flr_median	TC_K562_flr_std	TC_flr_ks_stat	TC_flr_ks_pvalue
T	-1.1067090704	6.8493768111	5.7426677407	0.158602849157	0.119889767028	0.0885375789983	0.11436739368	0.0857913987031	0.059481183534	-0.0551378151385	-300.0	0.599351261177	0.599322223808	0.00138080149872	0.60014530398	0.60121031543	0.0623211472917	0.0364732006528	-300.0	0.599351261177	0.599322223808	0.00138080149872	0.60014530398	0.60121031543	0.0623211472917	0.0364732006528	-300.0	0.261808599273	0.261588119826	0.00369353107981	0.263298034796	0.261866863902	0.0388737856567	0.117947285375	-55.9688343081
TCF7L2	-1.0379809175	8.1292303778	7.0912494603	0.202364212866	0.168774829956	0.0857370537396	0.157902977636	0.132280520459	0.057599375135	-0.0665389702181	-300.0	0.559827654019	0.560738055061	0.00204511149576	0.566867447972	0.566858435815	0.080613189692	0.0140614099815	-300.0	0.559827654019	0.560738055061	0.00204511149576	0.566867447972	0.566858435815	0.080613189692	0.0140614099815	-300.0	0.294595868279	0.2944913489	0.00340258075375	0.296481196286	0.295477015599	0.0420758663033	0.100020396333	-64.20329014
CREB1	-0.9881595307	9.1957632556	8.2076037249	0.181122966097	0.131556840565	0.125635426501	0.127700948829	0.0896271174968	0.090224743611	-0.00635972254888	-165.251298538	0.514667468685	0.5152829956	0.0127818121628	0.516815517196	0.518635824173	0.0600879521636	0.178404102354	-199.817540254	0.514667468685	0.5152829956	0.0127818121628	0.516815517196	0.518635824173	0.0600879521636	0.178404102354	-199.817540254	0.47219047574	0.472171213789	0.00621839796221	0.473571414142	0.473586116361	0.0585658429707	0.142783573723	-86.373938762
STAT3	-0.8814597069	10.6886940667	9.8072343598	0.0972087295909	0.0853217299766	0.0441131330205	0.135940395758	0.124053643108	0.0733063972292	0.0320010399704	-300.0	0.478244874729	0.477496927419	0.00167995237445	0.481855565687	0.481833917667	0.0697938592798	0.0145266207555	-300.0	0.478244874729	0.477496927419	0.00167995237445	0.481855565687	0.481833917667	0.0697938592798	0.0145266207555	-300.0	0.221872132156	0.221816031874	0.00358243501595	0.223421451217	0.222485756344	0.0418698166089	0.106866406361	-50.1958623233
ELK4	-0.795803281	8.3372889	7.541485619	0.102762803247	0.0881435900556	0.0452472762171	0.0769321979382	0.066704345911	0.0311249673653	-0.0378407536332	-300.0	0.573409773108	0.569570808353	0.0974973480168	0.518143676119	0.517877972694	0.00396991942	-0.161040711891	-300.0	0.573409773108	0.569570808353	0.0974973480168	0.518143676119	0.517877972694	0.00396991942	-0.161040711891	-300.0	0.27647883274	0.275280092975	0.00487299259538	0.276934606656	0.276820371519	0.0542893626501	0.0358635940508	-205.599222075
GFI1	-0.5620815095	5.9600981444	5.3980166349	0.12324802067	0.103115893566	0.0648199210594	0.181269231374	0.141923944701	0.105654406505	0.0573945094926	-300.0	0.55357743501	0.55104226912	0.00078483436154	0.555982895061	0.553567640905	0.0768063556667	0.0319613369865	-300.0	0.55357743501	0.55104226912	0.00078483436154	0.555982895061	0.553567640905	0.0768063556667	0.0319613369865	-300.0	0.293893561936	0.292624270901	0.0038782118768	0.295908949289	0.295971496531	0.0642085340274	0.0356444369206	-88.5305492435
HOXA5	-0.5275261365	3.8746430889	3.3471169524	0.0826486463123	0.0705749056015	0.032773209845	0.104722462731	0.0910069980285	0.0484831396937	0.0361242519217	-300.0	0.633012534479	0.632996135922	0.0696576622455	0.625907995022	0.624910569421	0.0018023408029	-0.0133488892981	-300.0	0.633012534479	0.632996135922	0.0696576622455	0.625907995022	0.624910569421	0.0018023408029	-0.0133488892981	-300.0	0.240118827397	0.238544895239	0.00346828447182	0.241436834479	0.241374838664	0.0474741035722	0.0410741570859	-123.718533116
SREBF2	-0.459857972	9.3969251889	8.9370672169	0.184451893726	0.164936534187	0.0591163945712	0.22822704405	0.201568406264	0.0868270286538	0.0241739157682	-300.0	0.516551574404	0.516588829967	0.0738592165507	0.506049799785	0.506352012854	0.00198401138758	-0.0130891340647	-300.0	0.516551574404	0.516588829967	0.0738592165507	0.506049799785	0.506352012854	0.00198401138758	-0.0130891340647	-300.0	0.244912777233	0.244517900973	0.0259188013931	0.247408784981	0.246627681742	0.0375863911215	0.0659843843427	-94.7598728436
ZFX	-0.433919887	8.1387332944	7.7048134074	0.130034426828	0.112745680953	0.0445863138442	0.0988565100769	0.0902645064508	0.0252424597266	-0.151812036664	-300.0	0.540690625368	0.540626608478	0.00264844760404	0.552412857722	0.543344680699	0.106848205438	0.0423739651421	-300.0	0.540690625368	0.540626608478	0.00264844760404	0.552412857722	0.543344680699	0.106848205438	0.0423739651421	-300.0	0.287513480634	0.285646093347	0.00365966943012	0.288712283244	0.288713217716	0.0670685272924	0.0191824128468	-261.860370068
SPI1	-0.4202474275	7.6557025333	7.2354551058	0.120027028081	0.113734290556	0.0365481687507	0.141626158002	0.125787490734	0.0554689375705	0.255337792578	-300.0	0.557261884172	0.548354792995	0.100118906335	0.521647854344	0.521633104519	0.00166232386445	-0.0751390904707	-300.0	0.557261884172	0.548354792995	0.100118906335	0.521647854344	0.521633104519	0.00166232386445	-0.0751390904707	-300.0	0.333888453489	0.329944644925	0.0039101240731	0.333923697493	0.33384104862	0.0717514776467	0.00211829767613	-300.0
