FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	Dnase2Tf_GM12878_protection_mean	Dnase2Tf_GM12878_protection_median	Dnase2Tf_GM12878_protection_std	Dnase2Tf_K562_protection_mean	Dnase2Tf_K562_protection_median	Dnase2Tf_K562_protection_std	Dnase2Tf_protection_ks_stat	Dnase2Tf_protection_ks_pvalue	Dnase2Tf_GM12878_tc_mean	Dnase2Tf_GM12878_tc_median	Dnase2Tf_GM12878_tc_std	Dnase2Tf_K562_tc_mean	Dnase2Tf_K562_tc_median	Dnase2Tf_K562_tc_std	Dnase2Tf_tc_ks_stat	Dnase2Tf_tc_ks_pvalue	Dnase2Tf_GM12878_fos_mean	Dnase2Tf_GM12878_fos_median	Dnase2Tf_GM12878_fos_std	Dnase2Tf_K562_fos_mean	Dnase2Tf_K562_fos_median	Dnase2Tf_K562_fos_std	Dnase2Tf_fos_ks_stat	Dnase2Tf_fos_ks_pvalue	Dnase2Tf_GM12878_flr_mean	Dnase2Tf_GM12878_flr_median	Dnase2Tf_GM12878_flr_std	Dnase2Tf_K562_flr_mean	Dnase2Tf_K562_flr_median	Dnase2Tf_K562_flr_std	Dnase2Tf_flr_ks_stat	Dnase2Tf_flr_ks_pvalue
ZNF354C	-0.1560589466	2.5165529889	2.3604940423	0.00967165988043	0.00889390471357	0.00804951651814	0.0147536800612	0.0122655761868	0.0141610333549	0.00150966881975	-300.0	0.765993007544	0.780267932103	0.0362283360561	0.791602001118	0.800503742968	0.0557498999554	0.07604634731	-256.238284466	0.603588564104	0.605458602364	0.0292655430727	0.59408551734	0.595803508805	0.0188101969508	-0.0805461927033	-300.0	0.311487594268	0.310781310388	0.0333708937544	0.306588614372	0.30612962268	0.0140367530945	-0.128303468487	-300.0
CTCF	-0.1501554426	8.7064197389	8.5562642963	0.00880949766353	0.00702113395989	0.00745021722466	0.00581474666335	0.0047495329626	0.00483046083812	-0.0401810566075	-300.0	0.830876822504	0.838785806351	0.0539932928043	0.773332037931	0.788255925778	0.0297115816808	-0.299799081666	-300.0	0.555668632577	0.5527012247	0.0325492392851	0.544582458584	0.543827758293	0.0195829899117	-0.0737697157501	-300.0	0.330833561046	0.329804060185	0.0381189183304	0.324397879329	0.324473617266	0.0147644686032	-0.175703584663	-300.0
HNF1A	-0.1420992513	4.9258633889	4.7837641376	0.0207218755194	0.0170244323923	0.0165481349866	0.0303048407977	0.0235354608468	0.0249087401351	0.14368309006	-300.0	0.761315221723	0.773491196426	0.0555888800782	0.715899382996	0.723372932224	0.0324278955649	-0.307758417563	-300.0	0.459769577963	0.466483580682	0.036919727227	0.45394990805	0.456368896127	0.0270174000264	-0.00665169433598	-300.0	0.35071500799	0.349704960199	0.0266178653468	0.344141145862	0.343722686154	0.0155637469297	-0.177123034046	-300.0
FEV	-0.1396182302	6.8418069444	6.7021887143	0.0178517976023	0.015006421842	0.0128027422103	0.0117728239879	0.00961691096909	0.00828601447469	-0.034652930821	-300.0	0.736289481765	0.747180450199	0.0419196881412	0.74073322797	0.760238171396	0.0710332425287	0.0462834946834	-300.0	0.478714889428	0.474619614246	0.0354993503841	0.470648179557	0.467033946005	0.0253406963375	-0.0226269607601	-300.0	0.346183903987	0.344385704088	0.0449851317235	0.338382268312	0.338590518283	0.0182625955254	-0.190804963877	-300.0
FOXL1	-0.1054099931	6.8846849667	6.7792749735	0.0110949289728	0.00745625227987	0.0122170883372	0.00730756936112	0.00489442632679	0.00842050918007	-0.0623916080013	-300.0	0.758748063385	0.766063446311	0.0333029187908	0.76466265504	0.776892841978	0.0564980101895	0.00463130070547	-150.074714047	0.56004229164	0.563609066887	0.0262991835843	0.5521010402	0.553658719304	0.018032546727	-0.0992014815447	-300.0	0.576650067772	0.607892088086	0.321774395542	0.614136709098	0.625738862614	0.333982964967	0.0410270534672	-104.172729788
FOXF2	-0.1000125386	5.8514796444	5.7514671058	0.0386146228611	0.0336320075542	0.0248682296168	0.0255527137842	0.0233894811102	0.0173322166472	-0.0498118924593	-300.0	0.755857353084	0.768822140257	0.0594569447743	0.699303852843	0.706976503722	0.03350663543	-0.355261729801	-300.0	0.567424796961	0.573691510912	0.0356259434142	0.560179801984	0.562559224922	0.0235789070699	-0.0401869455535	-300.0	0.313494790792	0.313169471209	0.0318371618373	0.307379344159	0.307712168617	0.0143938474847	-0.158078003117	-300.0
FOXC1	-0.0984576794	6.9359443778	6.8374866984	0.0617385192915	0.0439078281456	0.0459993481242	0.0381613300153	0.029521652011	0.0228426357467	-0.305432592154	-300.0	0.746330159917	0.759244097532	0.0601978355588	0.684256729249	0.692592116369	0.0356566305415	-0.329485989591	-232.639972341	0.613233999327	0.617315353084	0.0467478167897	0.604123146204	0.606151071345	0.0310414758938	-0.00854030458344	-169.847826944	0.240473242389	0.239953985911	0.0363557289699	0.234715909896	0.235479520117	0.0130822862045	-0.0785717709316	-151.300746074
CDX2	-0.0860509947	6.1550031111	6.0689521164	0.0165979397343	0.0141061414367	0.0147943077478	0.0102968801618	0.00767156674608	0.00879284803562	-0.0548273254882	-300.0	0.764621133165	0.775957755769	0.0303680636434	0.769493666783	0.776132150104	0.052117567112	0.158316081735	-80.7961740823	0.618236045612	0.624464328004	0.0375390858665	0.609611615102	0.61230446072	0.0259839151689	-0.0424567247389	-300.0	0.309196105447	0.309087334185	0.0307490247985	0.304507495939	0.30421117357	0.0141066283521	-0.110855185068	-300.0
PPARG	-0.0787696799	2.7470595	2.6682898201	0.0202845757965	0.0171556322111	0.0119681293981	0.0139759937583	0.0128941581379	0.00840446657503	-0.0404816829738	-300.0	0.841549627281	0.848339663929	0.0482896182493	0.779875783303	0.791950030198	0.0281599476559	-0.389121020013	-300.0	0.591517622746	0.591572667733	0.0391126817402	0.580950745699	0.581303254037	0.0257962451481	-0.0113425756841	-300.0	0.261586345429	0.261127538925	0.0313069755902	0.256613579557	0.256574166037	0.0156846195297	-0.0799835430107	-300.0
GATA4	-0.075628319	6.0066849222	5.9310566032	0.0192570137673	0.0142834209582	0.0149788647819	0.00829160346172	0.00636167166164	0.0114647944492	-0.263942563273	-300.0	0.739490226461	0.754109044871	0.0296307663942	0.757545199263	0.764002605688	0.0594534183699	0.13520019568	-168.505139672	0.391807626573	0.379342127741	0.0514493329044	0.371711987648	0.372735166945	0.0203885351118	-0.0733980780467	-300.0	0.310315194186	0.30877210437	0.0444208736471	0.303607969275	0.303414521205	0.0112331836889	-0.1302165857	-300.0
HOXA9	-0.0604689519	2.9673686556	2.9068997037	0.00856803762251	0.00666336810039	0.0105501419455	0.0144735118364	0.0119351560159	0.015593926932	0.0155491957984	-300.0	0.763837416927	0.776191430596	0.0296014002837	0.772085089538	0.77858915386	0.0546317425659	0.172835754343	-58.0811796155	0.372801862222	0.375451352551	0.032780466864	0.366384320072	0.368650806295	0.0211394718125	-0.0287851281132	-300.0	0.299224165802	0.298134631593	0.0298891175318	0.293797772344	0.293243544554	0.0150010355326	-0.112048084431	-300.0
ZBTB33	-0.0601326492	7.7412005222	7.681067873	0.0337885796133	0.0289597416112	0.0195879235407	0.0233226813022	0.0213532129548	0.0126012173428	-0.0883324765296	-300.0	0.788925820318	0.798363020404	0.0747423746555	0.727678508967	0.741269465306	0.0428471569187	-0.0361320325163	-288.214225146	0.617860500844	0.611352888711	0.0398255490914	0.633768948964	0.624277065789	0.0610693651082	0.0121216097728	-300.0	0.323611231655	0.316655226436	0.0882388817387	0.311881399547	0.311328420427	0.0330317530462	-0.0451650940667	-300.0
FOXQ1	-0.0558904127	6.4711133333	6.4152229206	0.0136404521611	0.011162978772	0.0131117439929	0.00887420992972	0.00714260859165	0.00830660885317	-0.0385177490457	-300.0	0.754787438811	0.766197272663	0.0575557847129	0.676670074774	0.683845323757	0.032377016234	-0.441674615581	-300.0	0.54113532039	0.549541826044	0.0396597051313	0.534616743212	0.537802463237	0.027659205309	-0.0176026359838	-300.0	0.324004110095	0.323510619589	0.0279373714877	0.317670878194	0.317683856039	0.0111077919923	-0.193542622391	-300.0
ATOH1	-0.0433124675	4.6328258167	4.5895133492	0.0268192895442	0.0230939715791	0.0136915698807	0.0188028227415	0.0169645970072	0.00831254712928	-0.050067860641	-300.0	0.750621168405	0.761616331776	0.0315368582483	0.768694992093	0.775814311563	0.0525552113589	0.161025717856	-161.79722015	0.673611689211	0.671211853792	0.0338859420987	0.660750067465	0.659125367303	0.0208643079046	-0.104422787148	-300.0	0.288701948298	0.288298591417	0.0346099308393	0.282992381782	0.283194979262	0.0106560370513	-0.0983075881332	-300.0
MYOG	-0.0219246632	5.1665229278	5.1445982646	0.0267861130843	0.0240968343222	0.0136603111441	0.0174537863171	0.0164575241863	0.00899337347109	-0.108260704929	-300.0	0.798975526441	0.818307846809	0.0997607271944	0.709446931624	0.743609896809	0.0535723380204	-0.0969346681326	-300.0	0.499251354347	0.482641091783	0.0568043340813	0.474581191427	0.469135030914	0.031078783895	-0.107552614044	-300.0	0.372747897661	0.353440280928	0.127728968959	0.348044095169	0.346249995177	0.053603877372	-0.0997804305564	-300.0
NKX3-1	-0.0187725392	4.7804244333	4.7616518942	0.0244639383549	0.0191399415554	0.0179414279381	0.0164463048519	0.0133640876817	0.00957396207019	-0.187592691569	-300.0	0.757182889077	0.768746048994	0.0559850608801	0.726391708269	0.733393823291	0.0310365514484	-0.203043322266	-300.0	0.519783250818	0.523819172836	0.0417093363201	0.511203691104	0.514152187545	0.0285751713044	-0.0321231895015	-300.0	0.294762889164	0.293373061306	0.0304056153566	0.287696521084	0.287694619589	0.0118083095804	-0.190181513567	-300.0
NKX3-2	-0.0082280677	5.8686394222	5.8604113545	0.0955514529421	0.0742089304615	0.0558996229496	0.0640735418744	0.0557487050256	0.0322086182785	-0.00917804942377	-300.0	0.746526969892	0.763456029143	0.070545254414	0.67997716433	0.689853092233	0.0371025184808	-0.364802479407	-300.0	0.543586904486	0.54358055698	0.0346704998612	0.532844146038	0.533444308513	0.0233231908769	-0.0556582432849	-300.0	0.334416494995	0.333249110218	0.0332327073431	0.327216710832	0.326923330483	0.0132650508783	-0.200020083457	-300.0
PAX4	-0.0037464452	5.1896305722	5.185884127	0.0151952858195	0.0120748832858	0.0107161076237	0.0205496275652	0.0160005948847	0.015462952859	0.177286130584	-300.0	0.815045224728	0.821737029852	0.0479725673261	0.775079842473	0.785952207576	0.0283545880511	-0.136048176792	-300.0	0.506064192461	0.505677096354	0.0276014202964	0.496108412529	0.49620630096	0.0174359306175	-0.0917710640397	-300.0	0.417569005447	0.379894491044	0.262933086288	0.470262646498	0.454399682602	0.292294157746	0.137625655599	-38.330142981
FOSL2	0.0101847878	5.5744170111	5.5846017989	0.0109440250533	0.00907359847422	0.00814848068408	0.0194652063445	0.0153760183414	0.0132101790038	0.0840419496943	300.0	0.765144570722	0.775001267624	0.0265960433459	0.836764346486	0.842948534903	0.0460668723629	0.389273431991	300.0	0.552812672326	0.551185771155	0.0257442335317	0.566939916233	0.56185140895	0.0450871666404	0.0506940277977	300.0	0.260209513131	0.260116252427	0.0118733698723	0.265253639853	0.264916175195	0.0343709967064	0.0882782879644	300.0
SOX3	0.0110805013	6.2065415833	6.2176220847	0.0114361725808	0.00931338860977	0.00942309351051	0.0180953777425	0.0155426869001	0.0166120600236	0.127845202501	300.0	0.796328522373	0.80303831509	0.0519201357608	0.772037902872	0.783438152692	0.0283504086381	-0.0759842022227	286.824436415	0.492204450622	0.494576377907	0.0207362973192	0.500011752509	0.504154998402	0.0302335534701	0.071064905649	300.0	0.335517844002	0.335452342507	0.0108701161394	0.341955108209	0.341782955941	0.0270522537683	0.23515631186	300.0
ZNF263	0.013611772	6.7028140111	6.7164257831	0.00673066176161	0.00582983177213	0.00382909598017	0.00973624551675	0.00818902677955	0.00606828892371	0.0658608948696	300.0	0.773121478786	0.788861192872	0.0299046637399	0.838812399626	0.846939344954	0.0553693356654	0.355836719889	300.0	0.506312348011	0.505574198609	0.0158652934501	0.518226885946	0.515390067865	0.0274634678905	0.137059156524	300.0	0.333347404743	0.333351151813	0.015426000507	0.341257844197	0.339856814283	0.0412597820585	0.238038102576	300.0
EN1	0.0206112087	5.9012505056	5.9218617143	0.0443155410128	0.0382049616928	0.0308327707417	0.0284575450251	0.0234390532168	0.0187370841407	-0.0221038968857	300.0	0.695468232339	0.704369560754	0.0380745568175	0.750790154005	0.766382434186	0.065870154699	0.31813358889	300.0	0.640973216249	0.642512486175	0.0261586807129	0.652798772517	0.655072279268	0.0383724783986	0.0599336346423	300.0	0.274065831302	0.273869036879	0.0199935242082	0.28057586089	0.279512523624	0.0383989644029	0.141883150267	300.0
