"","FACTOR","EXPR_FOLDCHANGE","EXPR_H1hesc","EXPR_K562","Boyle_flr_ks_stat","Boyle_fos_ks_stat","Boyle_tc_ks_stat","Centipede_90_flr_ks_stat","Centipede_90_fos_ks_stat","Centipede_90_tc_ks_stat","Cuellar_90_flr_ks_stat","Cuellar_90_fos_ks_stat","Cuellar_90_tc_ks_stat","Dnase2Tf_flr_ks_stat","Dnase2Tf_fos_ks_stat","Dnase2Tf_tc_ks_stat","FLR_90_flr_ks_stat","FLR_90_fos_ks_stat","FLR_90_tc_ks_stat","FS_flr_ks_stat","FS_fos_ks_stat","FS_tc_ks_stat","HINTBCN_flr_ks_stat","HINTBCN_fos_ks_stat","HINTBCN_tc_ks_stat","HINTBC_flr_ks_stat","HINTBC_fos_ks_stat","HINTBC_tc_ks_stat","HINT_flr_ks_stat","HINT_fos_ks_stat","HINT_tc_ks_stat","Neph_flr_ks_stat","Neph_fos_ks_stat","Neph_tc_ks_stat","PIQ_90_flr_ks_stat","PIQ_90_fos_ks_stat","PIQ_90_tc_ks_stat","PWM_flr_ks_stat","PWM_fos_ks_stat","PWM_tc_ks_stat","TC_flr_ks_stat","TC_fos_ks_stat","TC_tc_ks_stat","Wellington_flr_ks_stat","Wellington_fos_ks_stat","Wellington_tc_ks_stat"
"13","FLII",-1.1177311693,8.8445722222,7.7268410529,-0.141732674085,-0.0515875084887,0.0528430052195,-0.0179591979246,-0.151533203595,-0.0225313708803,0.0143303475348,-0.0755122630517,0.212176818856,-0.219426515579,-0.0618854920585,0.135426237459,-0.202178400515,-0.101413144972,0.00885400711596,-0.0150778900875,0.00279899803855,0.275616782371,-0.186143973519,-0.0657944313898,0.250739005466,-0.339244243912,-0.0767462029444,-0.0767462029444,-0.218168467033,-0.197744098287,-0.0760922575639,-0.213370114334,-0.202762491758,0.00522084773593,-0.208884754967,-0.0552017282981,-0.0418987588522,-0.0405225576112,-0.110221341657,-0.12311967728,-0.0893480225939,-0.0217932752179,-0.0546691425003,-0.00951336247592,-0.16255479944,0.107176815938
"14","FOXH1",-1.0990882063,7.0327085556,5.9336203492,-0.168039637598,-0.084048451231,0.31552294053,-0.0852049108344,-0.22038751148,-0.454738066414,-0.023479597111,-0.0557917525746,-0.279021699872,-0.26905326672,-0.180681840311,-0.223000116216,-0.244943089459,-0.151329346112,-0.290958824227,-0.0434949729784,0.000762776506484,-0.206294541105,-0.173409821342,-0.175600102298,-0.279334619617,-0.491694659776,-0.166031966973,-0.166031966973,-0.265087638905,-0.236354030447,-0.332560323487,-0.257449640945,-0.287198054065,-0.343482616315,-0.244096024805,-0.229454450079,-0.337403159193,-0.180579501916,-0.249505374818,-0.167260570807,-0.116997418407,-0.0518427518428,-0.257184059486,-0.0762635800429,-0.190838893519,-0.336832955001
"15","CREB1",-1.0226017196,9.2302054444,8.2076037249,0.0573196539005,0.0723337872359,0.0772236207796,-0.0311996811479,0.0904477745242,-0.396062947703,-0.0316754531668,0.0685015984715,-0.085236023657,-0.137273324552,0.0321138857299,0.179124516472,-0.117684687817,0.0187070560442,-0.0915120926495,0.0285613365581,0.272702816863,-0.00606861516942,-0.146375622023,0.0227295506333,0.152088470069,-0.280763409878,0.0227879608332,0.0227879608332,-0.130699168611,0.0457609589645,-0.324436369398,-0.122966741574,0.0358348151854,-0.258415591696,-0.0970477282709,-0.0295698924731,-0.285037871814,-0.0343962008141,-0.0564563725189,-0.0438187852314,-0.0895866056643,-0.0700603968939,-0.0754483015857,-0.0420937599764,0.0631691649055,-0.267135443273
"16","EGR2",-0.9853411587,4.5985511111,3.6132099524,-0.128797177161,0.064225695039,-0.138223721733,-0.0335240844747,0.0426367882376,-0.394353458467,0.00857699177361,0.0310066886269,-0.413071258005,-0.184515545305,0.0300872542754,-0.448358779558,-0.175032091437,-0.0124752070346,-0.325522769692,0.0592120813902,0.0138446520412,-0.203729733921,-0.142182731396,0.017975123126,-0.159966360863,-0.414915870609,0.00470800320873,0.00470800320873,-0.182360497382,-0.00629945347201,-0.434039266332,-0.179370773631,-0.00999730480244,-0.440027391636,-0.148702073674,0.101937024589,-0.426735447255,-0.104007893183,0.0402621993646,0.630904532895,0.0139655968867,-0.0560587035465,-0.359521070561,-0.0317911388472,0.00701408151277,-0.450991137639
"17","REST",-0.9317503519,8.5147308333,7.5829804815,-0.163331420958,0.00067314975443,0.0334238407837,-0.0208259614787,0.0163389985371,-0.202405384538,-0.00585154458696,0.060475343298,0.31766903675,-0.125987967545,-0.0219209632106,0.298603800537,-0.111224805492,-0.00586665892003,0.348225990071,0.0265557489815,0.0106409618574,-0.00358586728698,-0.0811011657941,-0.0124555436329,-0.145044576692,-0.280083063073,-0.00252065377803,-0.00252065377803,-0.122941449469,-0.0126487160455,0.0233420170651,-0.117755465093,-0.0197223736872,0.206933128756,-0.0954000413479,-0.04407493465,0.147175335854,-0.0911814624684,-0.161673185757,-0.0484317796427,0.0350864487892,0.0156579876474,0.324656097963,-0.0371819468074,0.00917114746717,0.219037340548
"18","RFX5",-0.9070030291,7.3384705,6.4314674709,-0.118313185464,0.0307423589028,0.0221858702621,-0.0141585289026,-1.55142175373e-05,-0.0200866244382,0.00846556451618,0.0756086845901,-0.305782700077,-0.0978985544823,0.0287069350197,-0.279308656081,-0.0830740040666,0.0285175062858,-0.272922956979,0.0237879071526,0.00370827985965,-0.0534696146181,-0.114473064464,0.0300842250929,0.103139709545,-0.321291802051,0.0209908033266,0.0209908033266,-0.0940070376471,-0.0471053907379,-0.284254389912,-0.0891264692949,-0.0529792096262,-0.310198345492,-0.0625270964342,-0.0157556598001,-0.30313244903,-0.0222841586725,-0.129362165911,0.121106701114,0.0150222445592,-0.00860435281673,-0.234793602951,-0.0213513157039,-0.0229900090879,-0.3159016534
"19","SOX3",-0.8815224709,7.0991445556,6.2176220847,-0.133824334696,-0.046419597571,0.0423439410575,-0.0744061172255,-0.148162846056,0.116122025388,-0.0581090368719,-0.0385700177496,-0.0410796060996,-0.222886313494,-0.157306119607,0.13583768916,-0.192189001338,-0.153525008361,-0.0516336700567,-0.00514092962663,0.00117576888662,0.428973183586,-0.134614152602,-0.155697758888,-0.448705947621,-0.341004348123,-0.153468813115,-0.153468813115,-0.217712601267,-0.207850856023,-0.0171506022334,-0.210034676671,-0.220584832244,-0.0392418003622,-0.158005440483,-0.247860669227,-0.0348881484019,-0.00656565656566,-0.218522325609,0.527091014856,-0.0475193467217,-0.0863650743436,0.347333548329,-0.0740981051399,-0.1444916938,-0.0337412231162
"20","FOXD3",-0.6445018836,6.6675806667,6.0230787831,-0.138972386512,-0.0861352263308,-0.468228226576,-0.0152618638163,-0.207040777563,-0.461832140534,-0.00704815416487,-0.0614415075869,0.326349518704,-0.111095890688,-0.175113712017,-0.238142311987,-0.0978651893582,-0.161246247014,-0.298141062424,0.017215176628,0.00210805949752,-0.145759751727,-0.0869252275935,-0.169835303701,-0.44787124278,-0.242856963896,-0.166975543799,-0.166975543799,-0.10901295631,-0.212702127963,0.0860860847658,-0.106109431457,-0.226085441843,0.156694265097,-0.0976222980858,-0.277569963979,0.122337388969,0.027672850827,-0.212138996706,-0.0951995770772,0.0712832481599,-0.0275772074815,0.358470697449,-0.0300231227942,-0.167807715442,0.244557519393
"21","HNF4G",-0.6026098016,2.9244216111,2.3218118095,-0.0810804458562,0.0303546822282,-0.113712850138,-0.109310814541,-0.196611616966,-0.195212073069,-0.094233163554,0.0564101636349,0.207331767524,-0.165107082137,-0.0427333031066,0.327247723567,-0.138244953873,-0.0506627644953,0.289858551142,-0.0716528749432,0.0021418660794,0.271351923629,-0.151481358001,-0.049152208862,-0.0580047308029,-0.280493749803,-0.0552236427125,-0.0552236427125,-0.159501832994,-0.210832611522,0.329347215674,-0.152563179188,-0.222473494274,0.306073494509,-0.138270770804,-0.17585446527,0.306677427803,-0.105834053587,-0.129274295245,-0.155232928199,-0.102227205879,-0.00484848484848,-0.207377710122,-0.111490338929,-0.144813634184,0.329765645387
"22","SOX9",-0.5931329762,6.5152251667,5.9220921905,-0.153484513459,-0.0389162465615,0.291646402281,-0.116812545587,-0.0881742892726,0.17783966689,-0.142526539278,-0.026549775789,0.0468686417851,-0.116985529895,-0.103489993653,0.190652683369,-0.0929755471093,-0.103172890289,-0.00381766724417,-0.036802281515,0.00121223579336,0.457435528107,-0.129240678541,-0.0982813782429,-0.460242486608,-0.263207516233,-0.0960684675204,-0.0960684675204,-0.112611529428,-0.162680212745,-0.0373798226949,-0.106741619322,-0.175529087198,-0.052192453907,-0.0933693488128,-0.223321606567,-0.0539834295345,-0.0126583013826,-0.174893086814,0.516558451534,-0.0603312842354,-0.103220035778,0.362405463342,-0.110117126754,-0.106453176867,-0.0242829544742
