FACTOR	LAB_MH	LAB_SS	LAB_SY	LAB_IU	LAB_BB	LAB_FU	LAB_SU	LAB_WU	LAB_SH	LAB_ES	MOTIF_RAW	PWM_JASPAR_RAW	PWM_UNIPROBE_RAW	PWM_TRANSFAC_RAW	MOTIF_FB	HITS_FB	PWM_JASPAR_FB	PWM_UNIPROBE_FB	PWM_TRANSFAC_FB	CHIP_USED	PWM_USED	
JUND (SC-74)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	JUND	MA0491.1	NA	NA	v-JUN	422	NA	NA	V$VJUN_01	LAB_SS	MA0491.1	
KAP1 (AB10483)	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP	NA	NA	NA	NA	UA10	259	NA	NA	NA	RAW=NA / FB=CRITERIA		
MAFF (M8194)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	MAFF	MA0495.1	NA	NA	NA	NA	NA	NA	NA	LAB_SS	MA0495.1	
MAFK (AB50322)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	MAFK	MA0496.1	UP00044	V$VMAF_01	v-Maf	500	MA0495.1	NA	V$VMAF_01	LAB_SS	MA0496.1	
MAX (SC-197)	BP	NP	NP	NA	NA	NA	NA	NA	NA	NP	MAX	MA0058.2	UP00060	V$MAX_01	MAX	492	MA0058.2	UP00060	V$MAX_01	LAB_SS	MA0058.2	
MAZ (AB85725)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	MAZ	NA	NA	NA	NA	NA	NA	NA	NA	RAW=NA / FB=NA		
MEF2A (SC-313)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	MEF2A	MA0052.2	NA	V$MEF2_01	MEF2	472	MA0052.2	NA	V$MEF2_01	LAB_MH	MA0052.2	
MXI1 (AF4185)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	RFX5	227	NA	NA	NA	RAW=NA / FB=CRITERIA		
NELF-E (SC-32912)	NA	NA	NA	NA	NA	NA	NA	NA	NP	NP	NA	NA	NA	NA	TBP	39	MA0108	UP00029	V$TBP_01	RAW=NA / FB=CRITERIA		
NF-E2 (SC-291)	NA	NA	NP	NA	NA	NA	NA	NA	NA	NP	NFE2	MA0501.1	NA	V$NFE2_01	NFE2	383	MA0501.1	NA	V$NFE2_01	LAB_SY	MA0501.1	
NF-YA	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	NFYA	MA0060.2	NA	V$NFY_01	NFY	483	NA	NA	V$NFY_01	LAB_SS	MA0060.2	
NF-YB	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	NFYB	MA0502.1	NA	V$NFY_01	NFY	500	NA	NA	V$NFY_01	LAB_SS	MA0502.1	
NR2F2 (SC-271940)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	NR2F2	NA	UP00009.1	V$ARP1_01	NA	NA	NA	NA	NA	LAB_MH	UP00009.1	
NRF1 (AB55744)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	NRF1	MA0506.1	NA	V$NRF1_Q6	NRF1	498	MA0506.1	NA	V$NRF1_Q6	LAB_SS	MA0506.1	
NRSF	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	REST	MA0138.2	NA	V$NRSF_01	REST	415	MA0138.2	NA	V$NRSF_01	LAB_MH	MA0138.2	
PHF8 (A301-772A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAW=NA / FB=NA		
PLU-1	NA	NA	NA	NA	BP	NA	NA	NA	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAW=NA / FB=NA		
PML (SC-71910)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAW=NA / FB=NA		
PU.1 (SC-22805)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP	SPI1	MA0080.3	UP00085.1	V$PU1_Q6	PU1	500	MA0080.3	UP00085.1	V$PU1_Q6	LAB_MH	MA0080.3	
RAD21 (AB992)	BP	NA	NP	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	CTCF	499	MA0139.1	NA	NA	LAB_SY	MA0139.1	
RBBP5 (A300-109A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAW=NA / FB=NA		
RCOR1/COREST (AB24166)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA	NA	RAW=NA / FB=NA		
