FACTOR	LAB_MH	LAB_SS	LAB_SY	LAB_IU	LAB_BB	LAB_FU	LAB_SU	LAB_WU	LAB_SH	LAB_ES
GABPA (SC-28312)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
GATA1	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP
GATA1 (SC-266)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA
GATA2	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP
GATA2 (EGFP-GATA2)	NA	NA	NA	NA	NA	NA	NA	NP	NA	NP
GATA2 (SC-267)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
GTF2B (SC-225)	NA	NA	NA	NA	NA	NA	NA	NA	NP	NP
GTF2F1 (AB28179)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
H2AZ (07-594)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K27AC (AB4729)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K27ME3 (07-449)	NA	NA	NA	NA	BP	NA	NP	NA	NA	NA
H3K27ME3 (9733S)	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA
H3K36ME3 (AB9050)	NA	NA	NA	NA	BP	NA	NP	NA	NA	NA
H3K4ME1 (AB8895)	NA	NA	NA	NA	BP	NP	NA	NA	NA	NA
H3K4ME2 (AB7766)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K4ME3 (07-473)	NA	NA	NA	NA	BP	NA	NP	NA	NA	NA
H3K4ME3 (9751S)	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA
H3K79ME2 (39143)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K9AC (07-352)	NA	NA	NA	NA	NA	NP	NA	NA	NA	NA
H3K9AC (AB4441)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K9ME1 (AB8896)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H3K9ME3 (AB8898)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
H4K20ME1 (AB9051)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
HCFC1_(NB100-68209)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA
HDAC1 (SC-6298)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NP
HDAC2 (A300-705A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NP
HDAC2 (SC-6296)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
HDAC6 (A301-341A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NP
HDAC8 (EGFP-HDAC8)	NA	NA	NA	NA	NA	NA	NA	NP	NA	NP
HMGN3 (NB100-61076)	NA	NA	NA	NA	NA	NA	NA	NA	NP	NP
INI1 (SC-16189)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
IRF1 (SC-497)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
JUNB (EGFP-JUNB)	NA	NA	NA	NA	NA	NA	NA	NP	NA	NP
JUND (EGFP-JUND)	NA	NA	NA	NA	NA	NA	NA	NP	NA	NP
JUND (SC-74)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
KAP1 (AB10483)	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP
LSD1/KDM1A (A300-215A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
MAFF (M8194)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
MAFK (AB50322)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
MAX (SC-197)	BP	NP	NP	NA	NA	NA	NA	NA	NA	NP
MAZ (AB85725)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
MEF2A (SC-313)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
MXI1 (AF4185)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
NCOR (A301-145A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
NELF-E (SC-32912)	NA	NA	NA	NA	NA	NA	NA	NA	NP	NP
NF-E2 (SC-291)	NA	NA	NP	NA	NA	NA	NA	NA	NA	NP
NF-YA	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
NF-YB	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
NR2F2 (SC-271940)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
NR4A1 (EGFP-NR4A1)	NA	NA	NA	NA	NA	NA	NA	NP	NA	NA
NRF1 (AB55744)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
NRSF	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
NSD2 (AB75359)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
P300/EP300 (SC-48343)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA
P300/EP300 (SC-585)	NA	NP	NA	NA	BP	NA	NA	NA	NA	NP
PCAF/KAT2B (A301-666A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
PHF8 (A301-772A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NP
PLU-1	NA	NA	NA	NA	BP	NA	NA	NA	NA	NP
PML (SC-71910)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
POL III(SC-21754)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
POL2 (MMS-126R)	BP	NP	NP	NP	NA	NA	NA	NA	NA	NP
POL2 (PHOSPHO S2) (AB5095)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
POL2-4H8 (AB5408)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
POL2A (MMS-128P)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NP
PU.1 (SC-22805)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
RAD21 (AB992)	BP	NA	NP	NA	NA	NA	NA	NA	NA	NP
RBBP5 (A300-109A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NP
RCOR1/COREST (AB24166)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
RCOR1/COREST (SC30189)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
REST (17-641)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
RFX5 (200-401-194)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
RNF2 (A302-869A)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
RPC155 (1900)	NA	NA	NA	NA	NA	NA	NA	NA	NP	NP
SAP30 (39731)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NP
SETDB1 (11231-1-AP)	NA	NA	NA	NA	BP	NP	NA	NA	NA	NP
SIN3AK20 (SC-994)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
SIRT6 (AB48192)	NA	NA	NA	NA	BP	NA	NA	NA	NP	NP
SIX5 (SC-55706)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
SMC3 (AB9263)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
SP1 (SC-17824)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
SP2 (SC-643)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
SRF (SC-335)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
STAT1 (SC-345)	NA	NP	NP	NA	NA	NA	NA	NA	NA	NP
STAT2 (SC-476X)	NA	NA	NP	NA	NA	NA	NA	NA	NA	NP
STAT5A (SC-74442)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
SUZ12 (05-1317)	NA	NA	NA	NA	BP	NA	NA	NA	NA	NA
TAF1 (SC-735)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
TAF7 (SC-101167)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
TAL1 (SC-12984)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
TBLR1 (AB24550)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
TBLR1_(NB600-270)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
TBP (AB62126)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
TEAD4 (SC-101184)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
TFIIIC-110 (4286)	NA	NA	NA	NA	NA	NA	NA	NA	NP	NP
THAP1 (SC-98174)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
TR4	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP
TRIM28 (SC-81411)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
UBF (SC-13125)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
UBTF (SAB1404509)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
USF1 (SC-229)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
USF2 (AB60931)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
XRCC4 (AB145)	NA	NA	NP	NA	NA	NA	NA	NA	NA	NA
YY1 (SC-1703)	BP	NA	NA	NA	NA	NP	NA	NA	NA	NP
YY1 (SC-281)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
ZBTB33 (SC-23871)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
ZBTB7A (SC-34508)	BP	NA	NA	NA	NA	NA	NA	NA	NA	NP
ZC3H11A_(NB100-74650)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA
ZMIZ1 (AB65767)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA
ZNF143 (16618-1-AP)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NP
ZNF263 (H00010127-A01)	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP
ZNF274 (H00010782-A01)	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP
ZNF274 (H00010782-M01)	NA	NA	NA	NA	NA	NP	NA	NA	NA	NP
ZNF384 (HPA004051)	NA	NP	NA	NA	NA	NA	NA	NA	NA	NA
